kenoasjjuw,tbmfxgvmfi,equahiizkh
-103,-0.482,-317
517,167,Dog
516,-0.352,wkpobfsymu
qsvrrmcygc,-820,zdfoiuqylf
jyrnxntxyi,-0.198,DOG
0.4345,0.205,0.163
0.0845,bqefemlkkn,0.291
jxtutuwada,zcikamsggh,0.3035
Dog,846,0.041
0.2665,zzautrtgxx,tyqssosysi
nlzydoqlnk,259,luixogktye
rmyjcudlvy,dOG,467
-0.292,augxfnlqww,-354
705,-732,cAt
0.4835,kiabvylrux,awppcyzzao
-0.3235,cAT,vhuqbkaaul
0.2615,876,cAT
CAT,dog,cAT
-160,-448,bqppjewygo
pjzrzxtgad,769,0.0365
54,-783,772
qcvaoyulvp,CAt,0.1915
eljlslxkkt,0.3235,amwdwrqyhf
-0.2325,-0.3705,ntzgxctnzf
-928,-467,CAT
0.19,0.3055,ctidqimvsx
-0.0585,-253,0.239
yevcvuporv,CAT,kifckluaui
0.4245,0.038,0.3825
CAT,-0.0125,gbhwtjucht
mkbzadzhnh,swcjcwwjzv,tkefpqwkhw
wdrnzkutpd,-0.4265,dOG
wathbckvky,-0.4735,-0.1515
DOg,aguwdnmdhj,-260
0.0795,0.316,783
-248,sepvhgjhcu,795
-0.198,238,-316
-0.085,0.459,-0.063
-0.496,cAt,ryyowbubjz
0.133,CAT,289
-989,0.276,spexnjjbxa
lastvpmjbc,0.0055,129
CAT,-424,xifgazdofe
halaudfmsf,dOG,-965
caT,qdwjyfciqb,DoG
413,adpnplxicv,-454
-0.1575,-0.2115,-0.0845
qndtucmhkc,logkwcdmhi,sboadsqcwx
-0.328,-900,yscoyovzhe
-396,DoG,udwwgqimjt
207,-919,cat
Cat,873,579
xanvxsjfvz,0.3425,egavjdjwwf
-773,-272,-0.1955
tocsojxjlt,-0.1975,fovhptzskb
irljaasewa,zdhcfjsngh,eqpvnfirra
