wjphzevbze,sckjvtjirp,bhpsahntri,Pet,udklgrfuhl
zdxyrkiixf,-0.041,0.1465,DOg,-0.159
-0.34,cat,CaT,caT,dog
dog,-0.4225,idfppbapqs,-31,83
-0.102,hywbirycwh,434,Cat,596
907,uagujtoxpw,dog,DOG,ullhaydimt
0.4705,xhuwsbyieg,917,takltfhgmu,0.211
-0.381,wczwjtcfdh,feqapqxsyr,CaT,-0.418
258,0.1415,CAt,doG,967
-663,zthzoehwfy,uhxjswbnwm,dOG,kysgzfnxgp
-0.411,Dog,672,-0.0945,0.3585
CAT,450,-633,38,286
0.492,-0.2655,0.318,cat,-795
-0.308,Dog,306,55,-420
Cat,-922,-0.149,-743,-947
DOG,dgojtljatl,reerypztjo,Dog,vakftjokaz
649,DOg,115,Cat,0.2045
-284,-0.429,-669,cAt,-0.047
gjbebfpaxw,-356,182,0.0695,cAt
-700,234,-865,CAT,ifvlykgehh
Dog,-0.498,mwnagttdha,cAT,-860
235,creutqznys,-0.2895,caT,-0.4805
-0.492,-469,0.4445,dOG,cAt
-0.214,-993,whprbawsme,Cat,dOG
771,kiafbqbotv,CAt,-0.3825,oxoodnpvkm
nmtpvenbgq,650,mrmyhpqcno,DOg,DoG
gpwvorgfpf,icrpmbdbal,dog,dOg,-0.3545
0.395,grcrwwxjtg,zbnanssjax,cAt,xwkfbvrejg
-0.4245,ljyzmfysqv,374,DOG,ughuybneun
-226,nnrsrrejmh,835,-0.441,cAT
icozvnexzo,-0.4165,448,CAT,dOg
zcycfcdqhh,DOg,0.2405,tjdbdssogo,cAT
-861,-0.4775,nchxdjpkqs,caT,0.175
Dog,dOg,bmbheoyyej,0.278,0.26
-0.4375,gkfuabxfti,byvfzxooto,ixfswzzjbl,dog
-271,rgdlnkghcs,176,Cat,-0.1645
0.351,cmfoeghxjq,0.434,cAT,-0.133
791,-388,leomuqbfpe,cat,iusczfifca
wrnphlwfso,822,egjkitgeft,Cat,rbuxgoqgjl
-670,tehtsxkjjl,-0.1515,cAt,ixgmqlmqbw
kxcwywrwrg,0.441,dOG,Dog,-0.3755
jnmexkdcxx,740,DOg,cAT,393
jlftjqfzfc,dOg,984,rwhnhwegel,Dog
0.0905,0.3545,caT,0.2695,DOG
dhyaihusgo,DOG,-819,cat,-0.0135
0.405,dog,-505,doG,0.059
CaT,429,bqrjoziztv,626,dOG
