ivjgtbavmx,tnraspoapl,bmqqvfnzmo,otjizojjrs
nqswilezsf,355,cAT,100
-0.3535,0.083,127,-0.456
-873,CAt,gecpueajcb,-61
0.2805,fhrqfxteia,bodwfkxvow,-824
280,-0.383,862,oivbhqcctx
68,sfttcsievv,0.0985,-693
-167,0.207,-0.0575,islywtfijv
234,0.111,fklmbozxrk,0.258
0.4135,-71,tvmsekidpo,-786
doG,wimiihdjfz,Dog,cAt
-671,658,cgbcunblpu,vmnnjzhbkp
-0.1285,-967,103,sduhcmmeiu
owuvffygqr,xzpggdrion,dkfhgtzwhc,yhzokaynlw
dxklliqmdd,0.126,Cat,qjcwebtkrp
kkohvivaqz,tmlyusdram,lvumnhhrig,nwgeuldwzh
-643,-0.081,DoG,-0.376
0.1645,krfqolsnpj,0.4225,djxnjuwkgj
bxexfmsrhi,ecqcpgsjys,-0.4375,-0.1665
aynirjeklx,723,0.0205,0.311
esuauyuwss,qfcmtpacxo,-0.48,-0.1395
-0.4025,-0.432,979,-374
0.315,-0.4425,cchddkkgmv,adfwdelipz
bqdfnfyxez,dog,zvzalwpocj,-735
okapvkdzmr,639,0.447,ydfpmzylkr
376,0.1815,-0.267,jcqrlxpxbv
711,lwvcqpuocc,cnwlgnjgkp,gqrubcupuj
0.123,914,0.1045,dlphdraiuc
679,-933,854,0.437
Cat,paltmhyprg,-0.0105,cAT
-325,-0.253,eeyuokceuj,kznnibykae
798,wtwrbzcstd,-0.314,-14
-0.218,ufpxzlbrmq,-922,-859
bjdnkrlzwx,DoG,latfkvsjxb,bigpcujfzp
-0.404,-0.0455,CaT,903
543,jjsworwtjv,0.4685,sneujbtwyu
hajrosyntz,dog,-0.3375,-83
