brrshugtfz,obmhhqhoxb,fdvfpiwqcn
0.2095,109,enodgvtrgg
Cat,ssramkwwmc,-0.2555
538,-973,-0.1675
doG,-0.3825,ocfigfbsce
438,-36,voldlzikat
-0.0975,Dog,0.229
203,-0.2585,-299
vdstkicsup,doG,0.296
0.4655,ocwxbrypfr,0.4735
-586,0.1195,476
cat,-709,svremfpnkq
DOg,-0.039,0.139
DOg,254,rdyrcauwrh
nahkqngeog,cat,780
260,0.112,tmvernkojc
-0.048,0.2105,dog
721,564,0.347
0.1235,-0.435,393
lucxksyxyc,dkletnqhoi,-0.1775
420,-0.28,jjhoakjkeq
756,bdzpjgkzhc,-0.194
-756,CAT,-113
-0.1735,DoG,-866
-595,-0.484,-0.072
tocecsrhqt,269,0.3935
-0.3085,-719,-554
-307,0.133,-672
-81,rrlhotyrwt,-157
0.116,qrwynfvywp,0.328
882,pdnhegyzfh,edbfpwovcj
0.318,-5,848
-0.0895,104,ifvzjooxlb
necocygxwu,cat,0.175
tdwprrkynq,54,-92
CaT,lgnmnqsffl,dlhercobfd
-0.2605,tnjivuhdta,hccwpdwmdi
ragxcnketk,DOg,mdiaolgiww
tlxsqtxswo,Cat,uieniimhkq
-0.01,dOG,0.0025
dOG,dzyznnagyq,pomjqidwxq
dOG,xwwijtpjeq,-127
-755,346,-654
kaqnkmogit,pdozqwtwme,-17
