raecwpacnc,ketcsemvql,ydndpdgxnp,udnrxzzapf,nivukuljzs,foqzwsjkdl
0.4285,dokuvnmxpd,gijgkvfkdv,Dog,-892,-433
gybtkwmswg,0.059,dOg,0.457,qsrmjajisn,owsnuskqmj
-0.3965,0.164,987,-467,caT,dOg
DoG,CaT,-0.472,cat,CaT,knghpzpwmp
776,539,-277,doG,-0.0085,-700
129,rvrltvyutg,-726,0.161,dog,psknlngrcr
dOG,aqglkvwgpz,-0.0265,CAT,0.4295,0.124
-108,0.3915,-0.3385,955,-966,wfebilapja
-905,-0.2535,0.116,-0.023,oyovlxmvdu,817
mwflmsrdob,-0.3595,0.194,0.256,CAt,Dog
-502,-0.075,-441,-391,0.1965,dog
-589,471,564,znonywztnu,0.2035,-0.2895
ueqsqiujww,824,honhtdzkbf,ymscowfcgx,557,drucpkoiuj
ptycyglkns,157,0.298,Dog,Cat,-0.4135
445,mhrdefcdao,-0.456,gmivayptda,-0.353,dOg
0.105,mftyzwbgxj,CaT,336,0.2515,-0.0845
ikxblipqjr,-0.036,enwoosfyvw,-0.0275,fdguyyekyk,-0.1535
-0.1955,dog,dOg,-0.457,zhifufgssn,cAT
asbsuehrxe,-0.294,yivrrjurim,444,0.1975,-28
CaT,ecfybqxgvr,-197,-689,gqpxrjvtlp,xhcfeaclng
ctvlicakfp,-0.0075,556,-0.03,attnztwmhd,-53
qfdbinmfrm,-0.3305,CAt,wgbdtcqaks,-883,88
-0.439,qxbyxnpmco,-0.193,rcbtpkliyx,294,-0.0305
-0.13,-0.3155,dOG,elhofoccpm,423,625
0.308,gwjyekedqk,0.457,-0.4735,cat,-0.223
-908,caT,-205,0.4945,817,-0.0695
hzejlrcqze,uweyjspiuk,CaT,-112,0.3795,0.3435
630,0.462,dspuqkxjzs,xcyzxfxznh,-275,-151
-464,-0.169,0.248,axhjyqokop,Dog,caT
-454,dpiayxiwus,Dog,ihporkvvse,zhmlprtlub,noqdvibiud
-369,-0.353,-0.407,gnounxthuu,-754,wtsyetibyq
-0.0605,262,DoG,39,613,znxrlpghxl
egdzbvlrhm,-425,dog,bjuznxzxzx,yrnzpypfcy,-0.1435
qdekedhiyc,282,-943,qmbftgadcg,-0.212,jxfousxebz
axxwdeyiqx,doG,770,CAt,DOg,20
DOg,576,dOg,0.4045,-0.394,434
-0.4785,-589,txnuyldscm,988,-989,izxxbbdwuc
-0.2025,-805,CAt,doG,doG,-0.139
727,qhxjupqzud,0.0835,-898,CaT,dOG
cAt,-320,bhtuploaya,-551,-64,-560
DoG,-0.152,cAt,-116,raqiemrbjg,-0.167
-0.1015,0.352,75,-87,cat,-0.1485
-0.2645,pjbujushww,xyxrowfiva,0.265,duagxggouh,-0.432
-0.001,-0.0165,913,1000,0.43,chpiplvxwm
-145,-336,0.0905,173,bqajrsvnbj,-594
hpuzlgiwjb,dOG,23,doG,-387,doodzndxhr
nwqjwqkkzh,-0.2515,dog,bhtwkygwaa,-0.2125,-0.0085
vhemlvogmh,DOg,Dog,-0.3845,tuigsgvuxo,CaT
896,cxptgvnccg,758,gjimxptspd,679,DoG
-0.2155,cat,pbomwtdejb,xwcxsgugiy,0.4255,977
940,130,dOg,0.244,560,cAt
lzpocbkjco,cat,496,-633,pgabuxkcvl,0.002
gntivcisjs,Dog,-0.3285,aotagpllvz,0.227,-208
0.2005,0.081,-123,cfrzodeftn,gkgbvtnfvd,cAt
-124,898,hymdrhfoot,pqidtxzrpi,DoG,hyqakqpvcq
0.038,0.3125,0.23,-0.13,cdbdtnwtci,qtpybfysop
317,-0.439,dOG,-264,0.348,-637
-0.4345,zrgmkfepnk,-373,550,-422,CAT
