ytdxqustjo,vawftalhyg,qahgkhjonm,brablbosnk,igzfszgsqg
DoG,0.095,uhfdmwccdi,CAT,309
-0.099,Dog,zgwiyrtopt,-0.0355,CAT
0.402,-0.242,-153,-291,irwnrqbyqd
cAT,819,-0.426,DOG,791
rblwshroav,0.345,0.3415,twatmegfam,nempoqobfi
jluspasieg,-0.02,0.132,718,418
CAt,0.004,-355,DOG,0.022
-5,DoG,-0.048,eqndmwutnx,-0.238
tszibvfnnx,0.181,pzbmuhoqgx,gdsrkchqvo,0.293
-0.246,-0.3285,0.2475,DOG,jtbcqdjjwz
hngwhqkwwu,cat,-0.39,0.0545,688
dxwgstomik,-0.225,owfhfxnwkd,-0.271,-0.4545
cAt,-0.4735,-0.3725,-532,rqyurpdnew
-64,818,yvdfwftops,267,0.22
Cat,-0.2025,-0.325,-934,-0.156
-664,-0.486,CAT,mitswxyngk,-0.26
-6,0.38,0.0425,0.409,iyvstovczh
-54,77,-355,627,0.384
-762,taxpygoukj,rkiwtwfnqp,-928,-0.128
528,cAT,0.4575,cAT,cgczlcwfvd
0.499,dOg,CAT,dog,0.46
-440,ztyxdibelj,-0.4255,cat,0.011
-0.0145,-0.0735,344,-0.1005,-213
951,-0.4435,CAT,Dog,-378
-107,-0.371,0.094,-384,-321
tazroyakvz,ujqzxsbqwz,-887,0.34,-0.083
-895,123,doG,wubuxmcfde,0.344
CaT,CAT,0.1445,-505,dOG
0.238,Cat,-0.128,ejeoxpolpz,0.1015
