peT,zveyxrvjvu,lvngkyvhgq
Dog,dyghngjjyl,cat
CAT,qurjhaleik,255
cat,vvzwqjfvgz,ludeshsbwz
CaT,41,-404
Cat,-0.12,CAT
cAT,0.1015,-0.0255
caT,914,-0.2085
Dog,0.0395,-284
CAt,0.3125,907
CaT,-304,642
-0.367,-0.4735,-739
DOG,0.4235,dOg
gqwovimikn,-0.2815,doG
cAt,0.0195,ljdbvisnst
-0.0935,0.496,-917
Cat,0.3835,exvmyrogba
Cat,-0.478,dOG
caT,jzqvswvsfo,dgssuprqys
cat,ljbjabtzor,953
CaT,-0.0085,CaT
doG,-0.086,ykkuqpcngu
cAT,0.1415,928
dOg,vqhdofsykm,956
0.47,-0.4615,-588
CaT,-895,0.3865
CAt,0.3465,-0.0405
dog,caT,-0.4745
pgbdamqxiq,771,166
0.2695,-0.1375,czblbrjpvc
caT,0.3375,cAT
CAT,0.032,ywslrliaip
-453,-0.4125,871
cat,CAt,0.0865
0.4015,dog,-0.2635
rihcsmobzx,0.203,870
cat,-0.244,48
cAT,-0.2135,kgjmzjwipu
-663,dog,-30
-0.179,jvolydytgb,DoG
Dog,zqjbdknbim,jjgwphxqbm
-0.3245,bclxomuish,vkjjvaffix
Dog,uywmlisxmg,tedpkhdjrt
DOg,-763,101
Cat,-809,-0.151
nvjbdhvyjh,0.415,dOG
CAT,zdgmfcsapi,0.054
DOg,-0.38,-0.453
488,-0.137,0.1265
doG,819,921
CaT,-0.3345,-370
0.402,0.162,0.332
CaT,zqcckglasn,CAt
-466,977,258
CAT,126,cat
DOg,-998,-0.204
