ppgszpjiqi,qsazcsorvq,yefcacvtcn,zghvzlogvk,crstrlnpns,pET,bchhfbhsbu
fdicdqwchl,pvcxmplyel,-853,67,Cat,0.1405,jdxwhmupdf
-384,-0.3785,-903,0.005,ctpbgidlux,cAT,143
ifrpeyntzx,cat,utoxkryhnb,jdaybcytzt,0.026,qlpenyzpgc,-748
DoG,-316,cat,pikgrwjcuk,0.2555,DoG,iiwhhqepup
znticwynci,caT,-370,0.4015,Dog,dog,0.1145
-0.2015,CaT,-462,0.2555,-0.4395,-766,0.087
605,-450,0.386,0.4875,ifysflmvwu,CAt,0.033
pnobokbzvi,doG,390,cAt,-0.261,DoG,Dog
0.4185,0.01,wzpmeyirzb,0.4755,dOG,CaT,0.185
pxbuiruzlh,-0.3965,397,-271,DOg,cat,853
952,-0.3625,gojfnuxgxe,adbyinqtha,dOg,cAt,dOG
DOg,0.1555,-851,-806,280,cat,suqyuxobmj
-0.199,890,cat,0.3785,cAt,-0.0675,-0.4205
-328,nmelvdeojz,tmcsgwxzga,-570,780,DOG,dncvgbkhxb
-0.397,999,-0.073,Dog,-0.2005,cAt,0.1835
947,-362,-0.1175,Dog,-1000,CAt,861
dOg,0.121,tnbetcpnff,-0.2005,136,cat,zcsadinzww
460,0.4035,qxcirdwusp,sjtdbbxref,-365,dOg,-964
-0.2525,0.4055,-0.484,-0.4425,dog,cAT,0.4045
33,-489,-950,939,-0.2225,cAT,-9
DOg,hbhyimjjbc,571,-0.048,0.1395,cat,gdrmkpugiv
ucagniqona,302,lycnhxodkm,-0.2885,157,cAt,dOG
dOg,DOG,621,-0.1805,Dog,dog,-763
vpkzhdwuda,fwkxcoahze,-991,ueuyvehxay,-883,DOg,0.1975
mwkqvubxiz,-725,-851,coijllhfvm,-0.3475,doG,-0.138
523,DOg,43,ncjcpxshil,0.0865,cAt,CAT
253,tcamhoptcb,fqfelbaghu,0.218,0.018,CaT,vdpmtdqbdy
ytblilkuar,0.053,yhcdtcrkdt,-108,DoG,DOg,0.0065
0.4795,-0.2785,-0.3055,CAt,wkgcocdlqw,DOg,dog
529,673,dvgmqnhxwz,urthafqkvy,-36,DOG,638
gaggwgsgqk,582,897,-730,-0.022,CAt,-0.4265
-175,dog,-0.421,huchzcjblg,Cat,cat,jrdssfvxsb
CaT,-321,jlrtqpkumq,doG,owturbasbb,dog,cAt
dOg,535,Cat,pfhevlauut,kljhxnuhbf,dOG,-0.3615
bvugieljil,mnhbrmgkdt,dOG,enolyjvoyp,-483,DoG,giethvvrds
mixdpksfmf,-655,-0.472,-0.356,-722,DOg,0.263
foxcqmofxh,0.0065,0.203,fwupyzmroe,411,qznwdqnvoh,0.0645
0.481,dOg,-861,cAt,CaT,odhztihnlm,-308
987,-511,-780,-309,caT,Dog,906
lzsrnfpmey,-430,vgshnpovns,-32,583,caT,dOG
-740,CaT,skfbwkfrft,0.2505,0.216,-0.179,zcgplypkpp
pofemawrrg,-0.1165,mhpzcxynss,-601,qdelrlesbo,173,caT
-0.2935,vzgsjwaxfy,219,-615,-219,DoG,-53
doG,0.2655,Dog,-622,-586,Dog,0.298
kpcnsgdzen,eisgxqfwtq,0.101,575,-534,caT,-479
4,648,caT,qmtqwryeol,-0.2595,CAt,0.202
dOG,-455,774,jgajhfdkil,0.446,cAT,0.013
njvpmkugja,-0.434,yznestfayv,0.444,xbbstecqca,CaT,244
-425,-0.1335,-58,425,Dog,dOG,269
0.0905,-78,-298,jxahlmkuwn,Dog,Dog,dOG
kkrapaghbe,-521,DoG,997,0.083,cAT,-0.3985
-0.16,stxdxdetsk,-0.355,nnrctybdyk,171,CaT,caT
-548,0.1575,556,baxwoqsawn,alnooaexmk,cAT,doojowoqui
-0.282,isyjaljwsz,-0.165,DoG,-493,-0.373,0.047
wmldtfgpsy,-162,njeqpusads,619,-800,CaT,tjnpbbwugh
-0.363,tmrdprlnfh,596,cAt,aiorqfctzx,doG,-617
-0.204,-0.4645,-0.472,CAt,853,906,-647
0.1225,yzjkjzoxod,0.1985,jnflnfksko,0.223,CAT,-0.254
-0.233,jdkdjwfipd,0.122,373,-0.1415,CaT,790
-0.4805,DOG,eeushjmdta,Dog,dOG,0.2805,-0.4705
lcmtmgvtsj,-841,zvjolguyin,mhztkvdmpj,dOg,CAt,0.052
hlptfdzrhj,782,0.3625,arwndsmvqf,mumjtnqpcn,CAT,0.4455
