shppfqzyjh,nplvclcjap,yjlsothyzi
doG,caT,-946
-67,-0.225,DOg
feujnmlhfv,-312,zzszqlnwpk
-917,598,gjctowrqhv
0.392,863,0.292
-0.4435,xawttovgif,55
qwaltdsvtu,0.0845,vdbvefqfam
dvjycdpnev,cAt,cAT
0.428,-605,ftiswnsyhn
caT,792,307
hdqtkmxrrg,0.3835,cAT
Cat,29,-0.053
dog,-578,yntnkbkslw
cAT,421,CAt
-884,jvflnlkfiv,-606
sljgkjaixb,369,Cat
0.1405,0.475,-915
-891,0.3355,0.4945
wqkigrjnwj,-947,0.0365
-206,CAT,CaT
CAT,zbtqiiwdey,0.0325
vyzonkmzjk,rzfihjfvmi,0.3945
dkhlguhoqn,-0.113,qrgqmoymsl
pplrcmsthv,pfkeivgkmy,0.002
-0.305,-0.059,0.2805
-674,0.2005,-110
cAT,-564,doG
DOg,cat,xwxahjsqsm
443,900,-280
-0.051,fynjhfoiup,fldvmkxhqr
caT,ebtvocjjsb,0.4395
-0.2835,-480,-0.0875
dOG,-0.157,-0.4975
281,-0.088,-975
569,-213,-413
-757,-990,0.055
0.4355,cat,647
terefjcmoy,-633,0.218
-645,DOg,DOG
CAt,CAT,Dog
0.3905,Dog,0.456
lkqbcgmqrs,CAT,-144
DOg,-0.338,caT
653,744,0.235
0.3165,0.1685,-0.309
-176,fhgxqmhujg,684
vtaavefjbr,-0.2155,0.4015
