ebtodihvjh,pgyumzzmgb,ufmtbwwjke,gnjhqybgrc,iqgauwfzov,pizvpojpse
CAT,qomwfnxivg,881,0.347,CAT,0.1955
ijjrkxqhhh,377,caT,xrrmpaterk,ybcfovjtwz,DOg
148,iabsoqmnsv,823,ilfmyltgve,0.143,339
xcnycgslau,dmzfmsufrs,-0.397,-0.309,mffnaynspl,-729
CAT,fiiyudtach,0.412,imerpoaonz,dOG,ujfdtjvych
368,CAt,-444,906,0.086,-860
cAt,-0.166,0.1725,655,cat,-423
0.269,tkrrkmpivh,crksllejvn,-971,-0.485,-776
0.229,-207,-0.2175,0.382,-937,816
mzdydttlwq,arutnjbwgq,ufvkvxijag,-0.2555,-0.2545,lclyittuhp
ynauazidbk,yxegzhyukp,umletxggrd,-303,-0.446,-0.2965
-0.49,-0.071,403,DOg,-404,cat
864,Cat,461,doG,0.245,semilaxkdp
dog,DOg,DOg,dfboxonymj,jmarnwdsqm,CAT
ugizoxkxtr,dOg,436,0.428,625,-0.185
doG,-142,-0.4625,cAt,-0.298,371
333,rjsnpartcx,DOG,-0.124,0.221,-0.021
-0.0175,-718,rdwkwwqrgm,cydnfsxuau,CAT,fajrcljunz
-954,CAt,doG,-447,-0.3035,-0.3955
xojpftjnrw,CaT,CAT,cAt,-0.23,Cat
uzctmrbkim,-0.3,-629,28,cvmqjsuxqu,anrffpmejh
-5,CAT,820,ofnxzivnif,957,Dog
0.127,rdsipnvaua,CaT,zuhioepuhq,-0.2405,-0.143
0.114,358,ztsrybcvuo,0.309,xyaitxgaiq,tjepvwlulz
lyngwjrivv,905,488,Dog,-0.118,-513
hyqytwajpj,-0.227,msqmcnlria,noluhxboih,cAT,79
dOg,doG,-638,0.3715,dog,-108
divjbnqssz,-112,bqtispkzmm,16,-329,-967
ywkvuvbgdd,679,rtjjriktcg,-0.21,Dog,qkilbjsshc
0.0935,caT,-0.2635,-0.067,npodzzyyzj,-0.1745
330,-458,-0.483,-325,406,-613
-0.0455,5,cAT,-55,-0.493,dog
DOg,978,-875,-0.4075,-905,-951
CAt,-45,illxuszvkm,-0.3615,-552,gfpzxthcoa
0.1945,cat,-0.092,-0.132,-253,udkehgtwmw
0.047,-988,druwscgaxs,-331,dOG,0.357
779,hxhqhxbdua,jgtclghrgh,gfdufakyya,hjtaugdsgt,-0.489
-0.263,btoftrcskf,rqsftmxltt,-0.122,-384,DOg
-0.004,cAt,ameoadkalo,-355,0.197,ipdslqealp
cAT,-0.291,0.291,-0.334,cat,tucniwivjf
-1000,-0.0845,915,-0.142,644,awrizezzil
xqenylyxap,vmfsbnqsej,fqmjbdqxlx,604,dOg,CaT
xaijtjrmpj,rpincqojmi,-882,0.331,0.4725,-0.4095
-212,520,-448,579,724,nysewiczye
-101,0.4835,-13,mzruwzmkgl,681,577
-285,mtwcxenwiu,-431,-657,doG,dOg
-0.0875,CaT,iciwnwtibh,87,0.281,-0.099
0.3465,-788,810,Cat,dOg,0.056
0.479,196,0.009,mymcuirvqz,zunhtyhycd,caT
