lphojlidfa,vegotubfzl,xetqyuukli,rosscvzdgz,mggzkgohfx,loufrivevm,cftygfdzse
kstgzacmwo,CaT,-525,185,doG,0.1495,-574
uyoqammzlu,-0.007,0.1855,vdfjcgetmv,cat,edsnnezpci,-0.1955
ctkanbgepk,-0.179,0.3655,0.255,-661,212,Dog
-148,-0.0345,0.0965,cAt,-859,frhcvbkwfb,pvhcaoqtxc
859,gztsopislf,-2,yujksquakr,787,DOg,-0.253
995,euqqprxoji,yzeydbcirt,DOg,Dog,-882,0.345
nvfaenmqyu,kgirvieszz,-0.055,0.494,129,cgycrnhcsu,0.383
jyfbkxspok,Dog,-872,-759,0.024,dOg,trowrbckwl
-0.129,0.447,cat,DoG,-0.232,CAt,scjzsxvhcq
kwnfwiwusj,0.311,-557,woyvwxffmt,CAt,0.2515,0.4775
CAT,-773,ylocjlxmqu,0.4075,713,-0.039,hjzivdazng
DOG,cAT,0.162,-0.007,-362,-0.2355,670
sfhayyqxlw,-0.086,miajtujkcy,-0.035,-378,gqqgjhoyqh,-0.4295
-0.042,yymqpikpbr,dog,-367,-34,-0.277,-662
-0.164,290,0.027,saccjoyavx,Cat,irfryxnyrb,494
