Pet,ncuudxpqcm,zkpnmszkhv,uraxmpkngs
-298,-630,lpizqinlgc,361
CaT,cAT,0.145,0.31
CAt,tecgpgwjdl,dOG,-0.3075
Dog,-705,-0.473,-861
doG,-989,-275,831
-0.107,uxfychgytb,Cat,-762
dOG,CaT,DoG,0.1235
cat,Cat,457,DOG
jszeqilkhb,-644,hibfaqhkez,-222
Cat,dog,-0.19,0.2825
CAt,-312,DoG,uxwxfjozrk
dog,vwqwpjvwtj,lidnyleifc,kvorpwdmkc
Cat,-0.3745,Dog,0.046
dog,-0.4015,-0.0855,0.22
729,cgmkpkjhnc,dog,45
dOG,pymodpeqis,0.3115,-0.247
doG,caT,0.489,ckjuaophtb
dOg,0.457,811,doG
cAt,-0.1205,CaT,CAT
321,txufgzyigi,491,khpvhdjvqp
cAt,bpspqhcvii,179,879
tigxfevdue,fxvojrincw,dOg,526
-626,-847,DOG,CAT
cAt,zsegqbluhj,-0.048,65
CAt,-0.105,0.205,eyytbvqwqy
-466,-0.357,-0.233,783
dOg,-113,-239,0.355
-10,-0.0545,61,-0.0615
dOg,xswkfcviom,0.135,DoG
dOG,DOg,ndgvxxfxpd,-773
DoG,0.323,dog,459
jqhxduemju,229,-0.0215,-146
CAT,436,tqodcseisw,-55
DoG,0.2205,wlsnhoqbom,125
dOG,DOG,-0.184,fnelwttves
dOG,qaavvefhci,CaT,-0.1915
-0.3615,utepekjfig,0.4285,cat
DoG,0.0675,wogajttpwc,-338
-0.2575,CAT,CAt,zswgprechz
dog,-0.275,DoG,olntfxadwg
DoG,-218,-0.433,cAT
CAT,0.309,371,-48
CAt,durxpmkgid,dog,epfitbbczl
DOG,qxsacwrniy,806,cat
hlpfonlhfw,doG,kemqstegzs,-488
Dog,471,smljlezifi,965
dog,166,-0.0425,caT
DoG,0.2265,CAT,cAT
caT,501,951,rpierqznex
-0.025,532,709,219
-25,-0.0515,dOG,dOG
CaT,847,0.3355,738
Cat,DoG,ydtrhatufb,lrtpovrmyn
CAt,CAT,CAt,uoftwrtzmh
441,jusavsoskp,cAt,enqmdwbylj
hwonbgtfss,330,-0.0555,0.2535
doG,-0.3655,ipyyrnpoda,Cat
dog,0.1935,0.29,0.271
Cat,-0.193,-377,DOg
cAt,rvsvbbztzl,63,mhupaelkws
dOg,kjotslqwli,-0.1725,Cat
hjizuskxrd,cszmsnlchi,-504,naftrzvheb
-287,-428,rdwrzmmtcl,lscmdhclnu
agcnwffwth,-14,632,DOG
doG,154,-424,dog
doG,-0.1405,cAt,-0.2045
zdjturxwyc,mzohqwuxul,dOg,wpgwetttte
CAt,gxpvfrzcbh,cAT,gcuggemgnx
0.488,doG,-191,-0.008
dOg,901,tvprbmzvll,rryuqwmeos
cAT,-0.0675,739,zrfhpgswwi
dOg,caT,gsivisptwp,-0.2565
doG,-0.254,ymjbqultni,qmrnfrnubx
caT,0.1145,icdkwybplc,697
dOG,-0.415,cAT,dOg
caT,xaggamvdyj,hrkfpdfdzo,lcodljzolu
Dog,uywsodphuh,-0.277,cAT
DOg,0.1835,cat,-0.222
oqinklfist,-0.006,piklgrvajf,0.219
DOG,ggtdzvawgh,-0.0025,0.4455
DOg,-0.173,tnzthmmfae,-0.4825
CAT,sspedpnxpk,-0.458,105
356,DOG,-273,rbwzkbcbdg
349,CAt,0.3975,cbcruachml
CAT,-0.0675,955,554
544,68,fogeukcdhv,ndznbreteb
dOg,ipflkcqeys,oorjjanwkq,CAt
-0.4825,fkglxirbpr,0.347,996
dOg,725,-0.4455,spupdsouyd
cAT,caT,586,-0.071
DoG,-894,670,-0.1065
cfjxfegcsj,0.3405,-0.3935,0.448
DOG,lujpxtapjy,-733,cAt
CAt,0.0305,doG,CAt
dog,-418,yrfqqkvbat,705
CaT,51,-774,0.363
-0.2765,-312,lajhlqpvro,0.2975
DOG,-0.156,zfjcbqmrqg,680
0.149,891,ndxjuioxob,ekysujvkoh
