hbsirssjjy,asrifieqkc,pet,gooollhvbt
-915,xvxxssnlcm,tabrtnimeg,-0.029
187,-150,48,hfzsurtnxn
-309,cat,dOg,120
-276,644,CAT,dmqvceihgq
0.3715,doG,CaT,hbyafcntko
CaT,-0.1765,Dog,-0.4695
DOg,cAT,CAT,CAt
DOg,CaT,CAT,473
DOg,0.0655,CaT,225
823,-837,dOG,-909
-725,DOg,Dog,-865
763,CaT,cAt,-301
vvbxsovsls,0.4875,caT,-646
cAt,CAT,786,Dog
-510,isbiokmqjd,doG,125
448,ffitsiblgq,DOg,ghsesmjulg
frsvbeyszi,-0.449,cAt,-706
yrhvkvtkcy,gsrifvlusv,fsvqqbwany,-0.0425
0.0095,0.21,Dog,cat
Cat,95,CAT,-845
0.4,arandtsypw,DOG,mkrwpkouly
-0.2375,nfzmppoaou,dOG,-0.334
661,0.166,cAT,-0.489
0.022,cat,cat,605
dOg,ymigwzocbm,Dog,100
huqigrpcqc,999,DoG,mxxycwdpmr
-0.186,DOg,-594,aegmlatoql
ncybgpwfrv,-0.1465,DoG,0.052
-0.408,-0.2805,905,-0.0095
algllolxtq,Cat,dOG,73
0.069,mrtrhfseji,lwcetkzxje,dllcaqtruh
acwhlgpogh,-977,CaT,boqytmcpew
-391,gefafjkgqt,0.4605,dOg
-0.328,ndwhkvrzpr,cAt,-618
fragssyjfe,iyflrkqflc,Dog,-0.2865
-288,yelauunhdk,0.4815,490
doG,gxxgjvnlcy,DoG,-721
CaT,0.0045,DOG,0.0675
txosmjagqz,-0.4165,cAT,868
892,zhksqcsabr,604,wnktooousi
DoG,-0.293,dog,vljgptmxpw
DoG,dOg,doG,tzshqxhwde
lzrvmuvgph,ivwgxstcot,cat,978
-0.029,989,Cat,ntmpyqelsf
900,355,cAT,0.4675
fnjfxoaxzp,Cat,CAT,-298
CAt,ukgktcrsan,qkrtjmmwrp,DOG
-513,-950,DOg,286
-0.2185,siaytpfjtm,heljrbxhay,-0.028
590,-0.154,snygwhvzqx,0.3915
0.4625,909,0.068,0.0765
-0.1105,0.034,-0.1435,rjwuabixzx
uiveflodac,ckkxvorxsx,dog,-442
zrmovzwsyk,wtghfbueoe,CaT,0.0475
ytufyxhmwb,0.487,DOG,78
bpubqyoxkw,-13,cAT,0.408
dOG,qnjoamaces,CAt,-590
batqwudxwh,741,Dog,0.185
-428,-0.384,0.364,ptonyhpkbc
404,dageyegcnu,dog,ssfdxqjfvb
0.339,-212,DoG,cauchjaicn
0.357,-69,cAT,nfmwmzcrtw
-0.0895,-837,CAt,-538
cat,CAT,838,dnmxparmfs
ctxiassanf,rjbfpxxafp,CAt,116
bltnapucfe,0.384,CaT,ninluwfbua
413,778,maceihestp,0.1535
-0.151,doG,CaT,0.2885
-331,cznbuuyyda,DOG,dOG
bdqdbchtte,bsomrqqnug,Cat,540
jwcagqcjyv,-0.2135,CAt,-28
-0.497,xfqfnhwwea,868,-196
568,-0.276,Dog,caT
cmzzntildw,dOG,CAT,-0.36
zcasbcaplj,hewnzlruvc,dOG,CAT
-0.0975,odwjuasftz,gulxktulzh,hrosquhrrd
305,dbtlirfycb,crtdaxcwak,0.1035
-447,-0.3065,Cat,0.316
terapclmhi,altfkxvdkg,cAt,uwwkxsxvtq
hcwjunnvlx,501,DOg,nfthhdmrhl
caT,0.2375,CAt,doG
dOg,hnpkgjijkg,dog,-0.4855
caT,nbbcwwhokw,CaT,dog
952,cwcmusbrjy,-0.4835,cwexhriqxz
0.1995,-960,dOg,427
620,0.2545,DoG,532
DoG,0.009,zinrluyijz,460
223,bapudhveoc,cAT,0.374
0.4655,dog,dog,wxjjurerlz
-0.138,0.3615,cAT,yoizgxblzs
-110,385,vwjeuqvtky,-30
-37,bwihfbizfg,doG,rdsdtbakcw
-0.3055,dog,dOG,-0.346
819,314,doG,595
hitdidachg,951,-713,dOG
ohcwdempgm,0.0315,dOg,ytcwltlpyu
