okaesjrgqv,mbxpbtasvh,qeabugoxot,vlgxnphnru,uzxjpgwirx,pgwudrgvwx
-864,-894,yzqspihbfw,0.321,807,wbsnapruwk
406,-652,-171,doG,-0.3,329
thzqehidtv,781,-729,688,661,-0.0295
-0.121,okckrmmsgh,-283,0.407,0.257,569
0.0765,0.0265,104,csfmumospp,-461,nzodhelemj
-420,-353,zrctowleao,-0.1785,-0.028,dOG
0.464,-0.038,CAT,120,-0.0125,-163
977,0.0205,173,-0.307,324,-0.0095
jhmudkzusn,0.3495,-502,-0.358,ybxicvoesm,kpbnjzxlfi
-420,fucffysvam,-0.2335,-723,0.055,-0.378
dOG,-260,tuznqgbakh,ytfenwgcpg,-0.094,itslzzfpso
-0.3025,mzdavwbfvd,-0.3575,vmmtkwbjjg,-406,-336
gwnxwbwtzt,duyepozjxt,-382,0.1135,-679,-0.078
CAt,0.1265,uixsomtcdm,fygvtpzlii,0.0995,-987
xsarwodrfo,dOG,kvvtqbgmmx,895,taoyzcraqw,0.4485
0.0305,zosaqsbhiq,0.411,0.1525,0.19,-0.24
-0.0695,doG,caT,-193,krfwmqqebp,0.39
ltlnbpvsft,fmquadltid,0.153,cat,-0.0255,lvzfxhvrtx
xdsoksoszw,-0.1525,xsjxcghzpw,-0.451,yipyxfguee,uerzzossah
0.3025,cAt,0.371,63,caT,-0.3635
ntjkkgkwzb,-0.066,dbkifxiiqr,DoG,ybrglktqtm,-618
pvrrkgxrqd,-0.422,cixmpgdztv,42,zhblcnywov,-0.372
raalovasgg,0.3845,CaT,0.4185,exlpdthwzb,umdipqtcsr
DoG,sgqurigxzt,CAt,-0.311,-487,0.1985
kfjxnsmphf,77,-0.1455,dmqdoctgrz,ocunajukug,oxhskgtwnu
-702,bldtcxlmnf,ssdszrgxwu,kzstucohnh,urgdtctebo,Cat
hcwbavfnwn,xnmjuhrsut,hdoornxgcv,DoG,901,-0.2765
sdbnmiwlge,737,-892,373,-838,ltkfdejftd
vhzrznctoy,0.235,tbumtrcuoa,fyjbajvkvs,447,0.483
CaT,-481,-333,614,0.4385,0.2725
-0.1415,CAt,uppupnprsg,569,0.4835,dzkuxgktww
-977,101,18,-641,jtkmobighv,0.3385
-0.487,-0.201,0.4555,-0.0325,dog,vmasaumsdt
0.36,hykmtliywk,575,-456,gpspngvwmp,dOg
-0.0635,CAT,-0.0615,-625,-329,dOg
-0.0865,Cat,iplxtvfixg,0.278,0.2635,956
