iacyhsjspv,qenzllusal,kvfiooixud,yydajnwpjs,Pet,dwtbbvvmho,fmlksftfzd
CaT,0.0925,838,0.175,CAt,DoG,0.261
988,fyljrocivk,-0.1115,-999,DOg,0.452,-680
CAt,DOG,-0.3805,859,cAt,xieccbabok,owvgeajnyj
0.4465,-0.0195,DOG,zvodfytvwd,Cat,-0.498,CAT
869,0.499,-125,cAT,doG,iwlnsmecyt,nfhplhqlpl
495,DOG,0.2715,-656,-420,0.256,qpbjjrdosz
cat,evzgfjzwbu,nydsbnwgjq,187,caT,-52,-876
gmrcchbsms,355,417,260,caT,0.4605,dOg
fwkdhfijik,dOG,cAt,-469,0.3445,-0.4755,-192
-800,hudbokizkm,0.291,qrxjipnasi,doG,670,-0.147
0.274,-740,504,701,DoG,fzjnxzgbet,668
ohbwjetoij,ygjqoyajsv,zqiqzkfyre,xappuvaijv,DOg,-0.0175,-0.2545
wguffwumza,170,-0.415,Cat,DOG,CAt,DOG
xpbggsrzrc,43,jgtpnytlnp,718,cat,-0.09,349
-0.362,dOG,0.4675,CAt,Cat,grkvnhgaez,-600
-484,yrnzjxawdh,825,-0.3075,DOg,DOG,dog
0.2095,0.4425,aagskoxedn,fqwhjvenix,0.205,xpuoexmgdt,196
789,48,-0.0125,831,dog,-204,dOG
-0.2125,-884,493,-0.06,ggmdrsvzic,595,0.443
-0.3145,cAt,efwwdngrpy,yyjbtqtvan,dOG,vtvlvtgctb,dnjwlphhgj
-0.0945,-214,0.156,DOG,gjjylvpwql,-0.077,cat
232,0.3615,575,791,Cat,gxkalbzubv,-831
-145,lreyggeecs,-936,edvfiajazu,dOG,197,0.2875
qebglcbjjj,rznbzljgvd,-913,DOG,Cat,dOg,dOg
hvvwpqbrsi,CAT,0.1645,-0.438,rfqlntulgo,fvxrxwlved,ezxasovfku
nbwhtgvfax,0.338,cAt,0.359,doG,cat,DoG
964,846,624,452,cAt,-0.08,CAT
DOG,0.2725,-0.053,-929,CAt,fswbunxkkd,880
0.4205,-876,0.4625,0.226,-0.385,rtjdokkqog,0.2165
dnmxvygozb,dOG,dOG,-127,dOg,-69,847
