tsblfwbler,pEt,ivmqfgxays
-236,CAT,0.4075
aerpuoddcu,0.276,-0.2335
dhfjwoyzpk,-1,0.094
rtnpiywhmo,Cat,uchzymvclc
cat,DOg,hwhumirgad
-263,-86,325
-434,doG,914
tktitzfiuy,cat,126
0.437,dOg,fkthvctawd
-385,CAt,kckphtexpd
-256,Dog,doG
gdrpgslnce,doG,-0.035
rxnrstllxh,DoG,vdsqynixks
DOG,CaT,-0.4475
-0.3315,dadlmvajku,iljnehtzfo
0.103,cAt,-554
cAT,DOg,0.391
DoG,cAT,-0.32
-0.021,dOG,jbyuwgnkhh
haagbmkqxf,dOg,ghqqgymafp
CAt,doG,wzkctwxayj
312,fazilyxgoj,DoG
gvsbftrdsc,0.2195,uwyobcvidi
430,699,DOG
cAT,dog,afkxmaocwx
-931,cat,0.0265
598,dOG,CAT
hdbgjclbiy,CAT,-0.259
uymmdnqejo,rbnyafamum,DoG
dOG,DOg,160
380,CAT,kbmrasrdnz
DOG,-288,luhxvlvrxf
0.369,-979,0.3495
53,Cat,doG
38,Dog,0.1355
227,cat,-592
yxmvuqtbsv,DoG,868
0.088,-0.029,imjvecfxnz
dOG,0.039,etelgltfek
0.12,DOG,-111
doG,dog,-0.287
-0.17,Dog,0.275
feugwnnbyc,cat,vghmfpafbf
ejlkwwmxad,cAt,0.4755
DOG,cAt,qthiqtrwxk
0.3055,CAt,0.457
lsxujnkyuh,-650,0.02
-0.31,Dog,kbxsbtgwej
doG,DOg,cAT
963,dOg,0.5
dnvclotowt,Cat,0.382
CAT,dOg,-487
fyjdagclsm,CAT,0.2435
-95,-0.3535,glpzhdhves
0.155,DOg,250
-470,0.419,0.1675
-0.4365,doG,0.115
-0.326,cAt,ptvgdkrvpd
CAT,Cat,-0.472
433,DOG,137
kwyfdrerrl,hxtqhzised,0.073
580,CAT,0.4945
