hzauibeskz,jydwheakax,corxtwaymc,dxwdewyyif,gtwujhbdec,xiyclvawvc
234,jathedbojt,934,-289,137,Dog
-0.4265,0.224,qwlyfwerrr,0.1395,-791,dog
caT,caT,0.4215,-0.0105,-614,hnklqjsggd
0.332,DoG,daujwssgyx,kzffajiijj,618,huszogtgoz
dOG,zcfrdbdkjc,enkndmnigz,-0.469,0.318,arysxoeszc
-512,-347,-902,maimdmhqzk,Dog,CaT
-321,0.421,133,898,wrrolibczl,-0.3145
0.141,rksoujupzm,53,wmadqcvnuq,983,0.211
0.1215,-467,mmoevokmhk,afivpybcdj,-0.1955,DOG
CAt,-0.0915,dOg,0.075,apntbwusun,ekjxbjisxw
0.3985,-622,-238,Cat,0.26,-0.4775
CAt,541,0.3605,wbogppjnpr,0.2855,xnmtuqprrw
Dog,dog,lkgnduilym,dOg,coffcgkhqg,lukyhgxaxf
dOg,0.2355,kmdheupahb,-565,0.1405,939
-354,-0.0335,-0.04,puilhfbbqo,-0.294,mtiasmwzgl
ckwlihzvaq,txsxhdjwfc,rzhgbdqzga,0.4985,993,-786
mtnnommsjq,-894,0.056,tqzqornhcc,57,-922
caT,-931,0.067,lgsfkqmrvg,885,714
-983,-0.437,-813,183,602,-494
0.3465,ebsneheodh,czrqutlewp,DOg,mwpktxmyut,-27
0.147,spgglukiep,sxtndubjds,ocvslnvqnp,0.468,DoG
-0.414,-0.0865,cAT,ymjhtfhvgx,-0.443,cat
cAT,-0.0805,dOg,blqjgdehre,Dog,-0.103
-955,vqjthfcxxd,-0.2465,cat,0.41,96
0.4725,rklwctnpml,dqvscbizew,cat,-157,Dog
doG,-0.1995,38,223,768,0.263
rruwatezat,nfmfbujvbv,-0.465,dOg,tidmxniotk,rxkzkulaqs
bcczyppyur,0.483,ewvxbdaotl,-0.01,0.438,Dog
196,967,htnksdwutq,Cat,-52,-399
rffgyaozmi,yjjcqvjsvc,-0.45,emfnvrzveo,dmpydpimbt,-242
0.2975,0.2355,nvnifgnitb,-0.096,qnfwsyjvov,847
fnycdmgxkc,Dog,lrcrlsoakg,203,-112,-700
545,lgssoyjrqz,abaowupjjz,-0.0215,-0.145,cAt
doG,495,483,-521,vilbysnlaf,iwvfadfzrz
kerwwzllul,0.157,CAT,samgjcrnua,pskivtpljk,0.235
0.1635,imbuxafhwg,ejxadgfmve,-0.4775,-329,ziatwinpfp
-0.329,0.2725,0.424,0.0065,-0.136,gquhbsmqcr
-0.0205,DOG,xjyfyagdht,0.0875,-366,dOg
0.185,0.371,Dog,-977,xyzpehpghs,knxqmuqvmq
0.235,0.2075,-263,npjzahwloh,Dog,lgswrahbyc
353,dog,Cat,0.266,CaT,kaijricqbi
-690,839,xryabeuyqb,pdhvimcjmm,lxzwiqdzfy,0.3175
575,rkfshemxqz,tuczsxunio,-0.056,aldchosmfr,CAT
282,myvocnuadp,-162,bcvmmyknyx,500,zgblzqslxt
221,tdqwegsrhj,0.143,cAt,349,-0.1785
507,twepxogjto,dOG,110,htzfzafyvv,-572
jrtuphyfnl,cAT,CaT,Dog,Dog,mpvsyyifgs
-842,409,-587,-23,0.078,0.007
-0.4165,0.183,-0.239,-658,-0.4745,cqehbtavue
-0.237,ntercybtek,-56,DOG,-0.4855,-782
0.0745,-232,-502,splcrdyxic,-0.119,dfvldnwmzi
0.24,nturjjgmyn,-0.145,-968,kzraaffffg,0.238
jtqghuzmtz,gcrqgkrdzs,-0.2225,907,DOG,0.2575
zortgtgivi,-429,0.227,-643,CAt,40
-0.3685,0.075,0.355,cat,tbtfcbjblu,-663
cAt,27,182,cAt,-821,-0.247
jjxtfhiwxc,malepwncms,-0.003,-453,86,-0.0195
DOG,vtnfracbzy,-710,381,CAT,482
-0.196,416,-0.3225,kjdngdfuqe,0.3555,doG
-0.4005,-0.1975,530,-0.1515,0.1375,-0.362
-0.3295,pmzecstubt,-499,hjlakaaxev,434,-0.418
0.109,uynkcjckfc,zkkqamkolm,-54,DOg,-684
CAt,caT,-0.1735,jekwckvqdq,evchwaoxnu,ptrjglxkbd
jsxecmqrlv,433,-238,443,CaT,Dog
-0.3875,gksgtruvad,ivnljvvdhh,cat,360,caT
-547,heslgnstul,cAT,-0.292,424,0.4665
dog,0.2905,754,-0.3265,0.0375,-342
-0.23,-862,caT,zisjpbetxr,doG,-0.1245
123,0.006,cAT,0.201,euroihzqkr,-635
dog,-245,0.285,brocithsew,cAt,-0.2885
-0.4205,uxlgbaqmxn,uwlgzqsyyn,ilkgnpkxxs,0.146,-0.314
hmybdensav,-0.4025,488,0.4035,vuvbuvxhky,99
-0.483,-854,ctbqlzogjo,hbnkohclfh,tcfmxjeozo,CAT
-0.359,-123,caT,-684,161,hfqxcljcio
-0.029,-219,-0.2505,doG,hhbdsxepms,-923
66,yahuvzyabi,-0.289,0.2515,mkasisfzou,0.4445
DOG,uvbxcdsfsl,-0.264,-230,0.2315,dpiwligvsa
pubjchfonj,0.487,anzxvbhjlh,0.433,doG,ujsftojryl
-751,153,CaT,veqjzydkrc,omfgnkecke,yslkekhsno
dOG,Cat,CAt,-0.4065,xtnlokqszj,doG
DoG,626,-503,-91,dOG,zddcxhcqnd
0.394,-0.229,cAt,mynozamowt,-0.121,dOG
ecfdqdhozb,634,tndfawjoby,987,-206,-78
-708,doG,dbtujzmugc,pgcpilgtgm,-500,jfzuydbteo
-104,dOg,0.358,DOG,cAt,0.4195
hntwpwadkd,qneupppxsz,-355,-0.0545,Cat,-990
nxapfjqqhw,-0.0575,276,-0.182,0.353,dog
acuskpssdm,ssvetotpot,0.1115,0.3,CaT,0.233
cAT,946,-0.031,dOG,xdaenheuzi,CAT
