hsxcyuaabc,crndmfasoy,ejlcrfzkhb,iipskqsggp,xfoagfslsi,jsspjypowr,azcgdbeobz
tysdgzreza,cAt,bhptefnwmm,-916,0.496,cat,0.039
-949,-624,ckhcygxsub,agfmizfbwf,pcfhvhlubd,0.136,0.052
nptvywjvhb,14,iapmoholvr,0.226,egtoohocme,Dog,sivsrqgnwf
493,-0.0725,DoG,zymudyykhm,CaT,qjuaxbvfrd,CaT
caT,tghpunduwg,-0.244,313,0.2105,doG,uvdtjnthbu
-346,dcjxttborv,-0.0995,810,693,qsizjwxeea,kirtvuhwem
rqyrbwfecr,0.0275,pqataejisv,oinydnyuej,-0.2825,0.473,uxyduspmoy
oqiutndpco,slpouijgod,pvbasliswl,hkcvkvcarn,tjktnfmprw,-0.0755,10
0.054,0.0955,0.1935,-525,0.1325,cAT,-594
vtrjnjosvy,cAt,DOG,-0.065,CAT,ntxtebktmm,-205
372,uyyhbeuobc,cAT,xukufgjmsr,387,qflyypqxeo,CAT
-219,cAT,vytowpgyyy,ppgskfqwyu,100,CaT,-0.1815
gnncdalszr,0.3095,DoG,-700,941,652,kghsyqqjeg
dog,-923,-969,Dog,0.4885,doG,-0.3375
818,0.0145,xfnemsflsr,-485,zdzowlaozu,cAT,phzqbcrrkk
-624,cAT,DoG,dOG,Dog,orgzcnvgfw,-0.376
648,641,839,-386,972,umwxypucek,uibagxhspl
-0.488,-614,-0.4285,bgjcbhqpps,DoG,rxmapqmxel,fsudshauqt
zwsarlxvcb,-0.4245,0.3805,raydsbvyqh,alhmrvbkwv,0.099,434
djlwrxqayf,CaT,451,ytkmfwkbec,103,ojrvhzlbua,-0.3655
0.0765,-884,iklikpdnis,725,ycalwrhrya,CAT,-0.26
170,CAt,lgmxxcxveo,eghseuianh,0.195,dog,zrflujmehh
mwinmthqtl,476,0.31,0.0495,zdlaqcgykm,698,0.0485
-0.03,994,176,-447,529,-0.2815,oxvnnxllxq
doG,Dog,0.137,nvnxyhmqqg,DOG,-120,694
-562,0.2425,wrgnelwggu,-804,-0.4835,709,chepnszczr
-972,hdwpexxvbe,wlyaqgxqkd,0.2,dOg,jzibvqdnly,-342
dOg,516,ynazjtqznj,220,DOg,DOg,cat
DoG,0.4955,dfunxtilfp,0.2065,-0.0015,gjnsnllbwx,0.1005
uecrjpzeet,-428,dOG,-804,696,715,CAt
-0.2405,0.229,yuzwoyqult,Cat,doG,caT,55
-0.041,zzewldbfrp,CaT,974,zlyfnhjwwl,-0.0105,-0.4705
pkkcrunhke,pjjgdgflnl,skwggpazik,-94,Dog,CAT,dOG
xwqiaqqbbo,0.4525,-517,-161,906,udrxnnsuak,56
wkojulcizs,0.487,yryhnwvjcp,dOg,0.394,bhtqlisrsy,reydumdojm
0.313,0.2445,-855,fhmyorzixn,DOg,rgzilbzrdi,yhihluypwi
-197,wsaluiyuob,0.3725,-0.1175,cAT,287,-0.201
0.4365,-0.351,0.3805,-0.3445,kmplhcqakr,-519,-0.2945
DoG,hgrtgenjse,DoG,zdhekjxlnn,186,0.143,0.3575
cAt,zvgxhkozqt,DoG,-0.3765,CAt,0.0275,752
0.0185,rbocsoicls,930,zuyvocukoe,-0.2155,127,cAt
yplltzxdwb,-449,717,vfnocuohyz,xvxkgewnvh,938,0.3905
iywbskrksp,oirnkfmtqj,0.103,CAt,553,-313,wafkcqwhqp
wmansipicz,124,-488,0.187,howfhiyalk,0.2715,-0.0945
515,-0.068,0.28,749,-0.216,542,cAt
0.0585,0.04,742,753,0.3905,uhopomyhlk,-791
-0.1895,cat,-91,CaT,dOg,-0.002,641
0.379,-0.413,21,pghqcoxadn,-639,wgrfpcnlsf,-0.304
DoG,mubsaeqqoo,0.5,pqgentekuc,103,-653,CaT
caT,-42,0.4105,0.326,-0.0165,DOg,eeijcwfplf
tyobmzzigl,cat,jucnmjdsjk,dloxxcnrxo,lrdovwwmox,-0.2895,qsthubjwmn
whvofitttn,965,885,dyecwwfzps,avjqnalywn,0.386,-0.0435
-0.071,dOG,833,CaT,jnmwrucojt,-410,0.396
-0.13,mioqwiusgw,spoiamppsw,0.385,451,437,740
515,0.0805,lsryrqfkhe,DoG,DOG,upokosjtqr,-301
-849,CaT,0.3645,-0.474,0.421,hcjvvvhqar,724
0.4925,0.306,918,0.121,jjacjkpjzm,hlcrjruvlz,vnsnxapspa
CAT,-0.2375,DOg,204,DOG,651,0.18
-156,0.1125,onaizjmvoj,cat,vqwbttuqqy,krhitkbkhz,-150
598,0.1525,-861,514,Cat,971,umwspzgcny
wtuyejinxz,kovsxfyyfa,cAt,DOg,qhgoozyxbv,0.3515,-0.4005
dOg,732,wkdibgicld,CAT,yrkfhantsg,-957,-0.0925
itfnknzwtr,rccinjusqh,-489,0.002,0.0115,-219,vlupiwthyd
wokllymczo,cAt,glosoxshsm,dOg,-0.158,-0.4175,xnxxiuawbw
0.1695,-0.444,CaT,-0.031,CaT,cAT,DOg
CaT,dog,doG,0.4325,cpsznswvis,-361,-961
-0.4475,-0.1525,DoG,-0.1015,-0.232,-479,dOG
0.11,0.049,-0.2215,nnuojskjkc,-0.4595,21,hhdliculda
-334,CAT,dmebwmagcc,830,-0.489,-789,cAT
DoG,rzsnzmwihs,94,70,DoG,0.3135,spmveegbsw
707,-847,0.46,354,-316,0.2865,CAt
0.4465,rctupxyqnp,0.062,xruaqmrlax,xqhnopvzyu,161,ljtswvxxid
964,Dog,-624,0.337,-813,izqaljtrjd,DoG
hgkgvppktz,0.126,-857,0.0565,noygzqnfzc,nlopczszhk,sqoyzhnyhx
Cat,488,cAt,-0.263,doG,-791,-731
trirtehdmw,qjiqdqrsgg,cAT,-242,puobkexkxu,doG,DOg
-0.226,710,0.0555,xcxvizbkqk,365,-0.101,0.466
-32,thcpnkxnlf,xbsalpioot,0.2715,0.4795,-507,-0.019
0.4545,492,166,-44,doG,CAt,0.114
ndhnavozvn,boinskcybp,37,cAT,63,-557,dOG
0.2015,-0.463,cAT,-0.36,-368,veyklqnaae,-0.1485
-616,0.4455,319,944,0.185,708,0.1665
ruzbhbwqho,-0.2175,sievojixdd,ycdmvtzzil,-709,dog,-0.306
108,0.0985,0.32,zrqvlwpwhj,Dog,CaT,dog
0.3405,dfkjeljlpi,-0.416,-436,-480,493,10
-0.0815,0.4255,cjnezsrqwb,0.0685,451,0.121,54
sozcovntny,-0.122,-0.1695,0.001,-503,fyqkwgyxfd,chezmacnps
vbqzmunaoq,-591,Cat,uptqjvhnba,999,pflfgdxbcf,dOg
cAT,922,296,DOG,dOg,-140,zyytetugkl
puzmbklgdx,488,qcrvfuierq,-0.424,0.4315,624,779
-0.038,-836,271,dog,axuxlovbmr,vkvbeknzch,cAt
CAt,-0.131,tuzeindhbj,-580,ckvggeloao,0.338,CAt
-0.3275,-0.0275,-757,0.3955,-515,hywjzaixwd,-0.1695
