inienllsbt,vtrgedpmzc,zaiorlfjtb,cojsgltrtb,bsvqcvrkci
-431,148,bhdzanyxcl,0.472,-0.03
pgcbpbqgak,0.451,geisofjava,858,0.1875
-876,-369,-0.364,ycjbznztwf,-997
irmeihomah,DoG,-731,mwysyblfgi,-661
dmxwerpbds,DOG,0.031,-0.097,cat
ipursjnrgk,srjabjxmai,-0.389,DOG,0.239
dOg,dxeaenwsto,0.289,-0.38,-569
0.4025,-652,-21,-529,DOG
DOG,0.1225,-0.174,rfegpxqpqx,qkvbdlqchz
253,bceizyiyic,0.357,muwoayjidt,-313
-0.2835,523,-0.2115,538,171
-0.319,0.4,gdpnrscnpj,902,gysybybmxw
prhrlcbbjd,-311,0.355,ozkyxkeclc,-0.043
-0.179,CAt,yofldgclqr,-651,732
0.4955,-0.3695,dOg,DOg,-0.487
-869,-0.0405,0.492,0.109,0.001
819,-428,doG,CaT,0.244
-682,259,-3,pbjumncxaw,tldvmjzlzo
0.286,DoG,-0.406,caT,kggpfluoiy
590,cAt,96,lturfmixcf,0.118
dehzlphcdy,149,639,lcyszylxzn,0.121
-157,-701,ccoqxigsta,blwedxpamz,CAT
-579,-390,xphivowlsx,-344,330
901,-0.027,tlrxmhlycu,0.082,0.367
-0.2555,doG,blaopqtgux,0.323,-0.2725
rcpaxvxwnw,cat,541,hmtobprnrg,caT
doG,0.435,2,-0.4025,-799
708,0.1685,vkhadwibtf,-765,nwbmgtnkyz
Cat,0.1915,uvjfyicwko,ezcvjjyndl,vcynwiudem
381,fyrkvesdkr,0.3915,mgkqsthaiu,305
-860,-0.2515,rpqaibyxbn,dOG,0.2045
dOg,0.4975,jbubjloolx,Cat,wnqpadrxez
yirxhmpbul,DoG,jlyychpgjx,402,cAT
-0.4975,ktvwcuzuol,155,mekhfevdtg,CAt
-197,apobizyjdw,-0.0425,-155,Cat
cAT,xfskaebhyf,nfseqqexbm,crzvypcguw,cat
0.1235,kemngspoya,CaT,-229,dfjdqwenjq
-0.453,orwrxaigmg,-0.0855,ixxoalfaih,enrarmqskw
dOG,-0.3315,-451,jilioabizb,ndufzdkuux
0.3705,dOg,-202,DoG,eonhdkjbdh
-0.1375,-0.005,aralrfijtn,banzcrdoyh,Dog
313,fmwgjurybk,cAt,759,aodwmgvtyp
DOg,933,qbcnpclgvz,wvxxjypyna,CaT
831,jcpyaqyxua,0.4965,-0.4535,0.035
0.036,-540,-0.2165,DOg,caT
gesheqytih,DOG,391,-0.4995,DOg
-0.4015,745,0.4715,-0.326,-0.363
xswvwqbuvg,oohsgggeus,anrrclezyo,-0.4875,ebdskymzur
DOG,dOG,-996,443,0.268
