kaottwawgr,urouqdneqt,whymzxxxqf
-0.412,-0.0285,dog
31,-507,caT
-0.441,-0.0645,0.1435
-93,-523,-0.204
gxdbjbyauw,-0.176,0.0915
31,slykqgsjus,CaT
fkdlqqywcc,cAt,-19
0.483,-953,-0.345
aydkwonkoa,0.2255,kkfeilsxha
0.018,-875,cAT
0.376,buerteebza,ofmyxnhidx
-313,Dog,0.1205
dOg,596,fnsgsdxuqe
0.2775,827,110
0.3435,-154,-0.118
ysujuwjvca,qxeaogcjtf,-70
CaT,0.073,-0.3665
-0.048,-0.3195,0.4535
-63,-0.0955,-0.3005
tzjuwuiafx,rqngrrhjzw,-324
270,-0.2765,doG
-0.437,3,vtdgvowfqw
dOg,-977,-941
rreqvnqdzp,-0.1395,220
roxupnoplg,yqivajhnmu,lttpeyopjz
cat,0.2345,Cat
555,0.272,doG
cAT,ciikppzbny,-0.1125
cat,kjvecablvy,doG
0.4935,chquscttcr,fumpbrjbqj
-0.0335,-538,-0.149
zkdepghiox,387,fmvknalutd
2,-707,orusddwuiu
-955,564,0.3185
cAT,-0.058,-0.3335
mgftjenpyf,0.0245,-0.2955
-883,-160,fcmpcqwvel
470,-0.224,gyinubwwht
doG,drpszfwfxr,-0.1815
613,-875,dog
caT,-940,743
-214,0.397,-915
-0.022,bxlzlzzgew,536
DoG,0.451,266
doG,-419,lmdgxkjmll
-866,kueslcgqce,0.2365
dnxhgaoqbh,-0.0225,-0.083
dssifdrhlj,doG,cAt
CaT,433,paqprzdhoi
-0.267,-0.1105,0.089
hyqgdgiobt,dog,nfwgxzimrt
Dog,-0.1925,tdvmsswybd
fckzgbzpgl,Dog,kfrddcakvm
-729,0.228,0.092
-0.4175,0.4355,doG
egfgydaffe,-546,oxaanusywp
tqirekviie,-0.143,0.027
swjxktffaq,cAt,-858
-0.347,cuqaeuofko,0.193
jwxrokedhz,244,-550
uyxbhslutf,-565,dOG
drwdffhxkj,CAt,861
28,vtauzdwuqk,-48
280,pnwawuxvnz,0.388
0.025,-258,cAt
