kanbsajwlt,mqshticejv,ypsxfdfzxv,ovsudifxse
-532,lgovpunklc,-0.2585,DoG
vubptmderi,-81,qcrxygyehy,0.3275
22,ffuolsrmqi,-0.1315,dfdpobwwra
527,ahiqwdavdu,awwngncopt,bkvwvtkwfv
caT,0.415,DOg,0.061
35,dog,-0.003,-186
Cat,DOG,-0.1165,-0.052
-0.4025,0.397,-0.4865,xpxkqwrxyu
rwbscawdxq,0.0715,-314,egalormtih
-162,jfnnuaxqhc,dOG,DOg
0.425,knunrzmecn,jadoqxufdf,-299
dOG,-812,945,CAt
tecwdqyzfv,pvjxdocaaa,gyacovumvg,708
-67,-0.4005,398,-0.034
caT,fgkxkusdtb,rdvaoanqat,0.4305
-0.4535,-0.1265,baqufzbrhi,454
togwgwjaoz,383,-746,-0.1135
dgannbbqki,557,-0.349,187
agmubtvlxd,506,0.2085,jyyxfqtkno
0.186,-0.4815,Dog,dOG
346,srfqlremgf,-0.257,-674
990,vuisxiyifk,Dog,-0.3685
doG,-228,hbhhaxalzu,-0.256
DoG,361,CAt,kjieewidpn
-849,307,vyihytlgqr,-0.434
cAt,-0.473,caT,0.1485
0.1375,0.334,-751,623
cAt,499,0.2675,fhobkymsjz
938,431,-0.0285,-0.122
bbcictqfxg,bmotitrexm,xctyvxczca,890
-891,xdqalidjlp,224,yebdwukivw
0.0895,497,airphbozeg,doG
-769,aroperxtlz,-496,cmbebttlux
rugtkithdh,Cat,-712,733
-75,phfeqyfnnh,zmnridikjj,205
Cat,jqzycblipc,jgiprlnrfo,127
DOg,hqyhpvmjrv,798,-0.4275
iehxczxjii,153,cAt,-0.2175
dOg,-0.4495,cmrelbzwvz,yufmahallv
-344,cAt,-64,zokwdnwycy
-0.2,dOG,-0.412,-55
931,CAT,DOg,0.013
DOg,-458,0.1585,868
-261,gzrkmuyfsu,-362,-470
-0.2995,-675,546,-0.3665
Dog,883,-971,0.2345
472,DOg,398,cat
zavayrmyyx,697,-0.226,-173
0.245,630,-921,gjepflzqaq
0.0275,487,wdpwkjbbhn,doG
