pirctpbfbx,uxpfatcryl,rzunbeveub
0.321,Cat,tpxybsajnf
cAt,897,cknhonbjum
0.051,0.398,-417
-158,105,DOG
0.2515,-0.306,985
rxdywsyfod,-340,-0.063
fpvfnahjgi,-946,dOg
dog,0.0995,cat
yiqtvrioqi,-280,-0.126
nksonzrajn,rpyhemqiix,ezwxghpfaf
dxlasgdidi,CAt,183
cAT,itfrjswxsh,ongxsltbcb
nulxgruxuw,doG,dOg
odsubwylmd,899,emekjbuqns
-0.3675,-0.09,-0.324
-540,0.3775,-906
-0.035,0.391,wsalezmnki
ohqizdruvb,-0.3665,cat
auxsdfrjxk,dog,DOg
0.4955,kjckpnrpzt,btptmsilgc
-0.0795,729,581
vorpfsaksm,DOG,0.041
CaT,986,-241
397,-871,Dog
-0.226,879,DOg
DoG,140,-0.4915
90,-0.011,cyafcfhdsg
gueipgcnxm,975,-451
0.229,naxjrwihsu,qsqigifvpa
DoG,218,172
-0.1795,0.093,CAT
ebcgwxqykc,-0.2245,0.231
-786,-0.3185,zeqdsghtlj
dOG,-0.334,-314
