jefuethkgy,idegyrrzgr,PeT,qwpfukjuyn,krcreqmbuz,hirjwnksoo
0.479,916,Dog,509,mbqtghrvob,-0.447
0.294,-602,0.113,616,ucgzabrvjz,CAT
0.087,-0.1585,DOG,297,-307,togsfpbcvs
DOg,-161,Dog,-353,0.144,-0.177
rziohmkpuk,-776,cAT,dOG,lptdycvopq,692
947,25,dkzfqkkmyw,CaT,-0.402,dOG
0.312,dOg,DOG,djuqbhlsbw,DOg,-724
-627,0.0335,-89,gqvevntlfz,dog,Dog
DoG,cAt,cAt,iiizbkntwk,0.221,-0.458
751,qtpkzhdrgn,DOG,-0.3245,-0.4755,mzkdlopacn
0.266,-0.0255,cAt,ezddgzfhif,CAt,clsdcqzdjp
tyzdoshffx,bjglzorkou,167,qdtihbrvif,apilogfevo,0.4345
oiooopjoqn,wfxgjtdlxb,Dog,jaujmolkec,-197,-968
-0.347,CAT,CAt,cAT,-196,0.1435
-501,cAT,CAt,-616,jydlndvwck,0.246
44,DOG,dOG,0.251,-682,0.1435
dtuxtsszsx,fxjlkmwodi,DOg,doG,405,-641
-0.1945,-0.454,dOg,yhwtzryvyt,vhzlbqfkuo,fqctidmwxm
179,669,Dog,-681,0.1245,-945
0.3125,0.0555,dOG,kohgjsulbd,367,doG
0.061,Dog,Cat,-669,CAt,dhcrfkfhnt
-0.2765,-881,DoG,xtsrdgxhmv,154,pjybdouwlu
987,byijgrnusp,DOG,-864,cAT,397
0.205,mvgyqzbipj,cAt,doG,frpoqaifvf,ecfpivwake
fhonpqjwen,rvqykdzltu,Dog,Dog,0.2315,-0.1035
dOg,154,562,pygdcujjfn,-0.3595,DoG
DoG,hsybeomoie,caT,-401,-0.2415,0.484
glasszunqz,shocaclaur,dOG,dOg,CAt,qoxccuhfpm
uhbzgfbpqt,nxklqwwgcy,dog,295,790,Cat
-260,0.147,dog,cat,415,CaT
dOg,111,DOg,-0.331,0.432,-923
0.018,0.466,Cat,-727,xjulwcazet,124
uevijjnqhf,-935,DOG,-0.2475,CAt,-0.2545
unhlvsuyba,hentstwoqc,dOg,-37,Cat,bwxynybnlo
297,equrwnfzok,CAt,0.3955,-0.0765,qigsumzmlr
-0.0635,0.044,-346,-391,-0.487,wnpwmybhoy
DOg,0.408,dOG,-631,cAT,190
-0.239,0.2515,CAT,-899,vkzengdojo,0.1485
cAt,-217,DOg,0.0565,-0.139,-722
xrggwxzlxu,hmzffrnyqm,-725,-138,doG,cAt
rbpzeiuayb,fdaglnidnm,CAt,-0.1185,0.477,0.3785
-0.0605,-0.387,0.0215,hrzhcyfdqh,20,-0.485
-0.007,-0.437,-280,-603,rnyiebtcox,566
cAT,-0.2425,590,lshwdmgqti,-696,oddryolbkg
-0.2605,doG,Cat,0.136,-776,0.095
caT,caT,Cat,-0.2565,-0.2755,cAt
wlcxhlulgx,caT,DOG,-207,Cat,DoG
ablgkorban,dOG,cAt,-0.4815,327,eyxuwhnxsu
-668,0.333,-0.193,-0.277,rrreequxmd,-0.454
DOG,-760,CAt,cxntfiajlf,hpfzoyrogp,0.035
207,-661,dog,0.0115,0.458,-0.4485
caT,dOG,cAt,kdhsygtakf,-736,gautjxvoib
-656,cAT,tunltrelsh,262,cat,0.3955
cioegfiqhl,iyihrvtkwk,cAt,-0.1185,ssshhyfphz,470
0.3,0.3715,dOg,0.3985,-637,632
-0.1365,DOG,DOg,negpguhooy,CAT,wycyluqfkq
0.0875,jeleecxffi,dOg,-0.2085,iqfvbtkzdz,-137
730,426,Cat,0.448,429,DOg
opphhwdiip,804,cAt,caT,0.3795,Dog
40,qsogvcmelq,DoG,doG,wstvrkinbo,-0.3805
azjybusrqz,-0.329,352,0.448,DOG,CaT
-885,CAt,Dog,cAT,0.3195,-0.1595
DOg,0.2235,CAt,0.2195,cat,DOG
-31,276,cat,883,-0.3885,CAt
141,-489,Cat,-306,-0.38,0.4555
fnuajsnbmq,-0.2275,cAt,wponwpqjvd,-0.0705,DOG
0.1255,173,cAt,893,-0.3655,396
-0.421,dog,Dog,0.2985,416,-803
DOG,0.324,caT,CAt,400,cAT
-844,itfaejqknu,-673,-0.246,334,-549
0.285,0.191,cAt,-67,306,-450
-0.128,pcfgeqqurl,DOG,0.4775,-148,-0.3475
CaT,fgbufcewdc,ndegqcpeta,-406,0.432,gddjfaafcf
piaoyefrkl,caT,322,917,vmchkdnuwh,-346
usfjgydqsh,-0.0415,0.2075,-0.0415,Dog,eosfgkgglw
-688,-0.245,CaT,doG,398,cAt
829,DOg,cAt,zycdeicgtd,-0.268,dog
cat,0.3095,lihoajdtwa,0.2385,526,0.1525
