wfvtpomund,uqqdnyfeqq,depueulnua
edyikymjqs,-0.2105,-0.326
-750,dOG,-0.1775
498,-779,-647
-0.303,0.284,-0.07
-0.3515,0.176,698
cat,-0.148,0.037
msuiijhiwr,406,-701
zxokjuuhrc,485,0.0685
DOg,tliwxiawkb,tstkqudydi
-0.197,0.4375,xzmizgcljx
ohhqmbpvhz,-690,rfalxeydff
DOg,zeqtutpltx,goyspgnwjp
-52,ombxiahitb,rbvnlfctdg
mxlmxkgdrv,353,zbttgeewgd
119,0.309,0.2295
dOg,-0.0895,dog
-0.175,988,-874
dog,-821,-0.0655
0.22,doG,-0.0625
cAt,DoG,0.154
onwtfkkhbc,DOG,-16
728,lokhvaikca,vmwmczltjh
caT,0.302,0.211
ctgmjsjine,-813,0.133
-0.3105,mvgzvmdhss,860
-0.3825,xofjyroytl,23
-107,0.0675,545
-0.494,-18,-511
0.275,oghuilrpot,-427
0.361,-0.244,684
Dog,579,dOG
ihypklnbwh,-0.301,owdhreknht
-385,-67,uztvadhzyh
0.174,wxmukmxbeh,jmbxecoapm
0.1335,lburgpfiep,-859
dtdpgtiakj,581,-0.1705
-0.368,rmhocqhrvz,-0.491
181,194,-219
464,rbvgisoubg,423
456,0.007,256
0.2585,585,-0.002
0.4195,111,-0.4845
-488,DOG,747
evbadtufnv,uitbcwdwck,cauetdqccq
DOG,0.451,caT
dOg,atnsfmmpid,-0.0745
-205,-823,DOG
0.2395,-945,-0.142
Cat,vrfeajqumm,mopqvftgyh
gooenesdba,0.2595,937
tofsnuvush,rizrazzgaf,ntdbefnvhv
0.0245,0.242,oedmyvjpqc
