ognrueigqt,vlsmxlyava,pEt,rmqrgeezny,yanqejbmdu,wockwymhrj
dOg,-429,ahqquhozqg,0.4595,Dog,0.2015
qneorskszn,DOg,dOg,0.22,aziqxgzbav,ybjyrfcvxd
0.397,arfzawwdnv,Dog,376,-950,-445
tlcdjdocbl,0.4415,-0.4185,0.2015,356,-0.017
dOg,-421,DOg,cxwcfsljnn,xjhmrifjad,qmrjtgyrjy
-0.385,563,cAt,712,urjujoccin,-954
DOg,-0.3285,dog,qllrcsmvlm,CAt,-0.245
Dog,-532,cAt,0.2745,Cat,402
134,-0.433,dOG,cAT,ubvcwaocxn,hfjmzeoylc
339,0.3495,dOg,0.2985,-706,apztfuyfrr
-0.471,pbzqrhhdwy,-6,238,-231,phiopxjcho
sdkskraibd,-175,CAT,0.3695,0.1165,doG
-0.174,rttwuzknws,dog,bhftwyblel,qtoycpynnm,pfcxtyrerb
pzebphgmih,wmpqllxvom,CAT,lkrpelevwp,dOg,-0.449
0.238,vsngtlmysk,CAt,-226,ojyktrgtbe,0.307
uvspvyctig,0.4045,0.316,-0.195,921,-256
bcoapclhxo,932,-426,0.2135,-0.312,0.195
rziuhitvgt,-0.0865,doG,wwcbshelpq,-0.2415,-0.3605
DoG,DOG,dOg,-0.018,DOg,lpmmvbrpah
-0.467,CAt,dog,-0.2555,DoG,CaT
713,-917,Dog,-588,-0.488,-0.2835
-0.017,qljgmwgqlr,cAT,-267,-0.0115,cat
dOG,dOg,0.3255,0.442,-0.3365,-206
0.3765,DOG,0.294,rdzcaxchee,890,lpfvuhkhjp
-721,-427,Dog,0.1565,2,crjnyjpeuw
pigqtnfvov,cat,-0.3955,dog,-0.007,-0.331
0.2485,-514,DOG,Cat,quzsbrkwyz,rcilztbxoi
980,sredmnnwaf,0.331,DOg,-0.0675,vwatsahfoj
dog,-872,poruzzugkp,DOG,-0.406,dog
hlztahpfkt,qzfmytvckx,CaT,eghdiuvpol,caT,0.1975
ysiqncgaxw,qvvcuhsrgq,cAT,-0.217,gxpttxqloy,-0.27
bauyynkbqb,cat,cAt,-879,530,-29
