bneayeovyu,tvfpaxxnnd,PET,hwygujmepi,nrhbpleskp,vanxoaydky,gguwozqpxm
0.193,-0.4865,doG,916,362,0.197,CAT
xgufimvmpx,CAt,DOg,drbidvityb,gkccvuldmi,iylsnrbskf,311
135,ogcmkkzbmb,dog,bjiuooplne,doG,654,-0.391
DOg,jfnfceddqc,DoG,gshixvxrov,ejimvabcjn,uvqtsigawh,-333
-0.24,ytfadvjqas,Dog,howdqvktfv,-0.218,exujcxzeza,0.3905
-0.09,-822,gtucoelszr,-0.1825,juxbplaoup,-713,taclpbpbav
jclufxsgxt,-584,cAt,-0.1845,-0.1725,doG,212
696,355,DOg,634,afifbshnnk,-0.4905,dog
0.2435,0.0285,CAt,rjjqxwnuam,moysdjemnk,-987,860
-0.46,CaT,-0.319,qpqswxxgqi,-0.1935,875,nfuxozejoh
mslxnqbpxu,-669,CAT,-689,238,175,-0.462
ycblqanjdf,-670,ingufcjpkg,221,-0.1545,925,pnshltembx
0.3975,-885,-105,-288,CAt,104,bdtzxvjnzz
nutrqjogah,cat,-918,859,0.1455,-0.2225,-0.3965
0.141,CaT,DOG,pwymmuwhmx,-435,0.088,cat
821,vpmqfvklol,DOG,hgivrpcipx,-833,mymdavydln,lsphzscbmt
147,DoG,cAt,206,-0.4005,147,147
-0.3045,-0.195,dOg,DOG,-38,141,-0.0815
0.456,iiiddruweb,DoG,0.3485,59,jhqigwxhxa,-276
-0.228,gychgklofp,caT,321,CaT,Cat,apsbccnhju
0.3275,epojudqniv,Cat,yvznqhdlpt,331,csdlrhwary,487
-0.313,0.027,DOG,CAt,-0.061,DoG,-0.0685
63,-0.4855,cAT,324,484,810,cat
0.24,mqikibltiy,dOg,0.195,-606,qntfkybpiq,aaekltekgb
-327,0.323,105,cAT,efkydptuum,jlbgcericl,xaofhygbhy
pjujpsiurf,-174,-799,caT,nhtjpqeefs,-0.3345,-0.187
0.0565,cAt,299,CaT,CAT,CAT,lfarkxzafd
-326,syzeqktuab,CaT,lxqbyuztjr,-909,-581,urenkypnlq
wnevqyxgwj,cAt,dwuarvqvwx,cAt,neuhkbywps,rlnevkhant,-391
755,-0.2705,cat,-826,-933,121,0.376
epbuwxxbua,dOg,caT,awcxxvbzwg,197,padjdolhcp,-0.2225
442,0.244,-0.342,vneeiiridz,rdxfbzbgnf,jkvqahrlxp,izkppztlaz
iyatwesutp,137,cAT,-628,jsnugbqbxz,cAT,0.281
890,9,CAT,gsszhpjleb,-1000,Dog,0.3465
ougunaxzgs,0.08,caT,cAT,doG,ovccnvtpnj,73
xzufxtdvgq,nrekeopqyf,dOg,857,0.2025,-786,-0.044
-787,795,0.326,Cat,-0.232,kccbacjrkj,xisnrmocop
vnofwyouph,DOG,-351,0.127,-0.317,yaywtewovw,0.072
cAt,113,-535,egknlccgys,420,147,-191
-0.3415,jxqbmktojq,-0.221,-0.348,0.049,luhxcqzinc,dOG
-0.05,gxupbxlvrn,CaT,caT,kjvtyzqkph,caT,klyrtshegh
-974,vpxjdwojwv,CAt,jlbocmokbp,781,472,895
ujzdcygsqg,dog,doG,birxcpotfw,cAt,0.199,dog
946,0.0495,cAt,mbxdalyvbu,caT,doG,-0.041
trnowvajkk,-0.0245,cAt,bugeshifis,-671,895,-991
-0.151,lqtnfszbsv,CaT,-945,bjnvscfkit,CAt,0.221
lijtbexppu,-0.1015,cAT,-954,654,0.005,rayipymbrl
-504,cvuoqjfnlk,DOg,fmiylumeqf,0.095,dnbmvbfkkh,-0.218
CaT,CAt,CaT,-0.0995,798,0.1065,nelihyxwzq
gmgpqxdsbb,-874,vwmihqfsta,0.3665,946,610,0.1245
ypwoplpydh,DoG,cAt,-0.0235,-0.112,0.4775,-141
-0.3875,-0.1985,cAT,-0.435,646,-0.168,qmyerglovr
985,286,190,DOg,-534,caT,ubdbjgsoub
slezokmlyf,spujchqyth,cAt,357,ucbyzndxpt,ubfsprnpbp,0.1025
-0.4925,-0.1655,cAT,iwvbdqkhik,346,-712,DoG
uznuyappml,864,jgmztfvldt,tddxqtryfd,CAT,-284,-652
jcokhjekec,dcsjplrurv,CAT,doG,DoG,smzpridily,0.2215
-0.4035,umwghopdxc,cAT,yxuzughdez,CAt,-999,cmpjeyqqqr
srczyamnim,721,-0.121,inmsqlbgbt,avejazxvkn,DOG,228
13,cwuwhwjepo,cAT,bmdzfczivo,-0.03,-232,zvbmvevycu
DOg,iobfmryeyb,caT,oeozmhatlw,0.489,DOG,-0.18
hwpwchupdw,39,-66,oppqdsudtc,-0.4655,zmluontxxx,0.4365
571,376,394,CAt,cAT,-576,-0.277
-0.149,0.3015,cAt,-0.41,twimwutlnw,bvageroexc,764
xbdzzihesd,-627,dOG,nkwauuywfi,0.218,ruusmxusyt,0.287
dravhdkkme,-0.2835,Dog,-304,mvcdpqphoo,996,-0.168
577,-0.412,0.29,0.001,-911,473,zycgvjibbw
0.157,318,cAT,-0.4505,exaergldvd,-432,rvajxdedzb
cat,0.2305,dOg,0.3875,-164,sqdrudhpwy,-143
dOG,-0.1505,-0.1415,qcjwitgryg,-0.244,nnorlccqhc,0.099
Dog,qyafqiqysh,-0.322,rlwgrfnoco,-427,-396,729
Cat,372,CaT,0.0215,Dog,sogscpxbfk,puttuvnszb
-0.0875,775,CaT,xeagedeiyi,60,oueyozpgim,365
xpvxapqbeo,CAT,Dog,-0.461,679,-0.161,-440
dog,huczvrdziy,dOG,-863,0.38,-0.0885,-0.442
dczmagckuv,0.3285,CaT,305,-735,-0.3245,amtgpqcgxl
