qbyjyfclwp,pnizxfgdmn,xwmwsbbnxq,mcfmkwnyrq,kygjykvvtr,pnwwxcyyoo,rzavcgkstx
0.1545,dOG,-658,lnsbzxmhzg,0.268,duqaixkdyc,buysuxtacv
-0.0235,0.131,0.4295,-0.367,-840,CaT,597
-0.013,-0.148,guubcbpmak,Dog,-0.182,epzzayvbpw,936
CaT,-0.4385,cat,inzxnrisyy,xtxgjtsser,0.226,kozcilybih
0.282,CAT,siokhfhmdh,CAt,sloqhypznq,-0.2705,-0.4245
0.2455,cat,783,929,Cat,-481,-0.202
0.2285,-520,-0.1135,228,wxzwikfgbg,-531,yykgqsonqk
-0.2055,jecnkqptcr,0.2845,0.4095,-0.3195,202,CaT
egqecbihwm,129,mizokretdc,-857,csgfqtxtfv,Dog,CAT
329,0,0.294,dmplkoqyot,420,DOG,uuryfhtana
mjdypawecz,aoseutxpkg,0.1855,0.334,-894,vbhtpucttb,-0.4545
565,dOG,cilsaubgmp,yidwzqvyqb,-0.123,wmigeeiyxu,jlolwyokpk
-0.234,-0.3625,0.378,0.3295,0.3235,ihpeeuzwjl,dog
jjzficyrvk,yloczdybmb,gcucrzzkau,zbgwfgdsby,0.3655,ibdwkbiekb,-636
ymstacyqao,-0.2925,-0.4535,DOG,cAT,987,0.4375
118,caT,iomskqryon,epysfdqdhx,0.1975,-731,-15
cyjcxllwsf,doG,owxbjjjbiu,159,-774,cAT,-0.4045
