dsrawcmqal,wvtvzgyafw,alzbjtewjc,wvaavxghpo,ravmyqnice
CaT,-0.2455,0.263,-27,zfdgvmppik
Dog,458,-574,vrbfeieabw,774
-0.141,seqxludcoy,spfbuibdpi,crmdbqgvks,wlypjemdfa
zgxvymokyo,plwrjpyzlj,ozcngohggy,azlkvezyqi,-2
jqkzrwyxax,-910,xigxafcvwr,qopiqknacr,asypsyjvnq
nfdwbwqhnc,upqoatifqt,DOG,85,cAt
572,0.3015,cAt,0.372,lyrghbrpkg
-455,-241,doG,121,936
0.3475,DOg,-0.1075,Dog,0.136
-0.2005,-905,-0.4615,loutrskyew,-944
-0.441,kqxasulhuo,-0.3675,aepefdcmae,wgzqjdvckz
0.169,-0.0075,-261,-0.0765,ratfepbrzj
-0.486,221,0.357,497,hwmiokamgm
ynlvnwnysj,qasxyapdai,633,epnlytbhvv,339
iwotlacvwm,0.208,-0.3805,593,0.3245
0.1815,-0.178,-281,CAt,-0.114
809,-0.352,0.232,qjamgikweg,-0.3845
714,fzghuzaqkb,-0.1485,-0.1225,CAt
736,-63,0.1085,126,795
CAt,tmqboifcqn,148,-0.2505,-0.016
-0.064,vmqeafaddt,126,0.419,0.0995
-2,974,0.0755,lelmsvqaez,0.3955
tpgwacuibf,-0.308,0.2725,DoG,822
cat,enpqrxguwr,-681,542,yfrfgxpris
-0.0065,wpiozpuypz,kibfkzcyee,0.172,-127
lxbmjwqodr,0.1565,-0.138,qoabajrvva,0.088
479,-0.417,-0.276,-612,cAt
DoG,130,hfzvqsvzpe,-381,aapmemtnhq
Cat,623,0.255,oognqlqwua,caT
Dog,-0.484,-0.196,0.217,0.3405
uwtfhvrogu,dOG,ybpazghxsw,862,-983
481,doG,-0.392,0.3745,-0.313
sbjwssyvfo,-225,rrgkarzcif,69,nupzaocbxb
0.437,dmyfnnxtsd,ovokqpkaaz,doG,-799
54,ycbbfzuhin,726,lorcnfxwvy,-0.402
-0.378,856,CAt,0.2565,dnriyzdpoe
-0.0795,fwkhqdwbtk,usiazpinqj,-0.054,-734
Cat,0.346,CAt,DOG,-0.137
cAt,-0.3215,667,-691,-0.4395
-0.4875,865,CAT,0.1365,-0.0845
0.2395,0.452,-486,Cat,103
575,-0.094,fapstwohtg,593,tnkhgvnqfk
-0.101,Cat,-0.17,-0.245,659
DoG,hggykbmqdh,-0.2045,260,0.4385
cAt,CaT,ctfkzeezpw,-257,-708
-722,0.307,-0.3535,0.105,mtholpdsiq
-463,-0.087,xrutbrpjjf,-721,-924
0.0875,doG,0.4615,-570,0.453
834,727,-0.1675,rkcawggjon,759
0.3705,-869,aepojsggft,jmjvgkyskx,CAT
0.4445,-708,0.0615,aujhsfvnjr,-0.342
gtorknehzr,0.35,-0.2815,pwulaiddic,0.4605
-0.41,0.3,149,535,447
xcushdsjjw,cAt,-652,jxqhfyvuhq,Dog
0.05,DOg,679,584,484
-30,Cat,0.204,-0.455,hulgrjvchd
cAt,ewfmhmdciv,557,DoG,lxmfevbwhh
caT,-0.0795,0.366,868,htzgieqtra
0.3285,0.282,-0.075,0.0215,-653
htoffhwrkl,ueghskgjta,cat,-154,DoG
-0.439,qpicgvvvwv,-249,nzmhhyhnzq,fjrrokfruu
-0.0215,-0.3375,DoG,0.1585,pmjelluffv
-191,-0.0215,0.1145,yfqkvryjhl,0.0495
0.0095,cntzndvvza,vefshuxcmf,-0.0235,ylkxtputvy
cmjahqrmbs,-0.1395,814,324,CaT
0.4985,354,CAT,637,DOG
dOg,-2,0.071,-0.0295,-552
0.021,0.3325,-0.3025,cAT,gvsvusenmc
lgxzdszowg,-561,DOg,coqekpukia,CAt
hjzjjcitag,0.4735,Cat,-0.121,-0.208
