mmhofsdilr,atsnfssyep,fblskhgbgt,nxwjxqoebe,vmisspcfya
vkgxxoohbu,-0.4335,64,0.3445,DOg
-0.413,eijcvsljuf,-0.5,sjiazxykaa,xcrnpgowyc
166,caT,qqtfbxffmh,0.276,484
-673,0.3815,-0.4975,-0.3325,znwyfvjzfc
xqzdinfkog,778,bbuheeizbz,urverrskkq,-0.339
0.2705,-957,jxbhyzvmcx,-663,-826
-250,xvwsqtvcqo,388,-0.391,0.487
-820,cAt,qqhcqxacwz,154,ywflkgwbge
0.4885,CaT,Cat,rhpeuxvxir,bkmwbunvej
dog,517,hshhztxbor,dnpcpsyesm,0.2215
864,0.29,Dog,-0.266,-419
882,0.0235,674,Dog,0.1205
wrqaiexugl,534,0.2525,-395,dajfgjbkdj
rxwrecyzwr,-708,-57,vwrxjjvalc,CAt
-986,-96,0.447,Cat,-0.3795
-0.313,Dog,0.011,-0.144,dqymjizdxk
-39,0.482,isgjmmsnvd,-848,qaghxdddzc
-965,cAT,vrtfhpriug,-327,0.1605
0.413,0.243,Dog,0.359,-0.315
0.338,jjmzkvlcxs,pwmushgarn,-0.3915,-370
0.248,dOg,0.245,-0.277,208
849,-631,ktuqekvasr,0.155,0.1085
hxgpfyulph,0.051,0.246,fisvxbbfob,692
-0.044,0.4925,dOg,DOg,vkqolrxukk
-0.1835,-291,cAT,263,0.2545
-275,kkfpzfykun,-395,dog,cAT
-75,-0.157,shuhcprtyn,471,-231
phiogctiwb,cqekinmfix,-657,-422,-378
Cat,0.4005,-0.181,0.4735,878
-0.302,-0.4425,bojcbungjs,logozzlswk,243
0.3085,Dog,-0.5,213,-0.3575
274,DOG,suneaeyksk,459,lfbmgwshxh
zzdiyiuqyw,0.468,Dog,pwcbtfpoqf,ryjhcbwdzu
-889,459,0.3575,jroxcjrxyq,caT
580,0.3045,DOG,464,-0.117
-766,-768,DOG,398,cAT
-589,mzlilhxksr,CaT,983,dOG
-73,0.323,-0.131,-0.027,Dog
-453,DOG,-0.344,0.259,-228
-0.37,gnzmmhnuti,-980,doG,509
caT,CaT,afcsnttisj,879,-386
CaT,klzbpsooyw,dog,-0.208,-0.486
Dog,-0.485,-768,-741,fdiwcnniva
ofuxznqhsm,Dog,zvfjunelkk,309,-672
nfemdvumqs,-0.4405,0.292,-91,DoG
