zeqelbnvmd,vnjufcgygo,lfpeufiivp,zxktkquyyg,wwltwecwdf,qvzgpoltaz,aplbajygux
358,0.188,-909,-0.086,uppzrrabdb,dOg,munmhexqjw
xrcxgpqthy,kncvtrkkjp,0.384,0.0745,-0.0535,-834,500
caT,-175,562,0.479,dOG,cAT,22
0.444,-549,dog,0.26,-624,-717,-615
jehpialmgu,cdgkdbsrbx,-494,DOG,989,657,-0.367
-0.2375,doG,-867,12,-0.1805,cat,qrhqxqyhbz
0.1345,0.0135,-0.0215,pyrdlrdxlc,707,judchkvwrr,406
pbqqpfsaxi,0.4565,-733,dOG,-0.2785,-0.498,-801
-633,0.1955,-788,888,0.002,0.305,cvvmneavmt
-497,lshzfvkjel,fcugzmjrzj,-340,-872,447,zlnrbjjasm
cfyukopewd,0.2075,CAT,lrrewgrfpc,DOG,zzrbtphimh,0.247
DoG,-0.2705,dOG,-0.346,0.1705,856,0.2235
-0.4075,uellkederf,uqdmunmhqy,rnceznkgxa,kuybimzwrn,507,82
pispjzfxgw,atjddyujql,-442,-911,-393,CaT,0.016
