nmmlsthbia,uqairfqvaw,ijfnbmxhah,kztitjyzea,ysvxaemkur,noqyamjkng
0.413,DOg,CaT,xnoywcjkbv,501,hftpyefspc
mqovdxvqjd,-71,-501,-0.2295,ylcboqnsxb,cAT
-928,0.4985,-0.4695,-0.005,-990,-240
-930,Cat,-32,-289,511,qhlzjyojpe
-0.1265,vikgpfqecr,DoG,nqmnbdjkrn,-634,0.349
caT,206,-0.14,tmkizpxkdh,czkrlinysw,efwgjivdty
-0.198,0.071,vbonkuhhjr,DOg,299,-0.403
vmrnefswug,728,edsrgeuiei,uowjlcfvbf,-0.225,-168
CaT,doG,0.2255,0.0275,-416,ykyqmkeoko
-0.402,-190,cAt,qwptzrcnij,CaT,-284
DoG,-677,-192,pmmlmkhbrx,618,-0.317
tfccmmrsdx,80,378,caT,hhwwnwswcm,0.223
ntnjkykhql,xzpxiyulwy,-538,qzoigyexmp,hbmkoukpiu,-624
28,-667,rmluvkqkpv,-0.4305,0.341,613
-859,-0.432,dOG,cusdlivfvj,suuuzlbsbu,doG
vkcbrumlim,382,CAt,-124,-541,ipusmtbjxw
63,340,DoG,xcnykiybtv,0.497,CAt
0.0685,0.0935,zvsbilvtcm,cat,afipvilzch,0.2425
-714,CaT,caT,-640,CAT,meoznksiry
438,446,doG,nmnyswytxm,doG,891
279,750,500,doG,-0.1385,-340
-759,612,gibzazlhyl,CAT,-424,-837
xjkwxgjujp,-912,CAT,DoG,-820,839
-318,-0.1795,dog,edequaeqfd,111,-416
nggpvkpqai,-846,qxzwkcwydm,-744,-604,0.346
-631,CAT,966,cAT,DoG,dog
vprpkwdigh,-94,-0.2695,-85,dOg,eqqbhgaekb
sxtetxhnxo,-0.4915,-242,luaiveckau,-0.3165,0.282
qgmnbbotsl,-0.2335,wevuckzowx,Dog,hprzmhqlco,-917
pzogkaqahe,dOG,0.0985,oggzkpooxm,499,-0.427
-0.155,-159,CAT,-203,0.286,0.2245
fkqnfatrtu,0.2635,0.315,msclbwejwh,139,0.1555
icafwqumht,179,ritkfwowio,813,0.4495,vrcfmcyfmd
-192,cat,jegknufyce,0.369,130,-278
-0.147,-273,qnhgczlzik,fbxcyevoil,-476,693
-515,bosugnlitn,-0.049,252,-0.085,nqzkviubxu
-768,-617,dog,-706,0.457,-0.4735
-0.391,cqsimamhna,CAt,0.481,300,-0.4225
doG,0.2485,mkbqpebkjn,smbwzhplgd,cat,747
-135,-0.162,DOG,zxekhxxmti,-0.1325,-469
uqvvyprsfd,-0.4835,dOg,rnwjrhgner,sjrusbsqow,-254
