mlkjwxrnzu,dxrxdmpwqs,havrfsjokd,PEt
-0.3005,-32,bxouqbjvew,CAt
kaugtakvak,-801,krdqbdqaja,cat
-998,Cat,doG,cat
-291,-0.192,CaT,CaT
0.063,aqqxfudyln,apnuxpehga,CAT
-128,-80,DoG,DOG
dog,butddrftdu,-0.409,cAT
twckjtyekp,7,0.221,0.388
-54,-0.3045,kyzohdqtao,DOg
kmdthhejus,-0.165,wphapzqnmc,DoG
0.432,tyseanyxyp,mmckdmygif,DOG
-0.021,0.2965,115,CAT
DOG,axoryqohdz,686,mcmlhoolsk
xeebgukvdc,677,0.3145,CAT
CAt,0.258,0.237,dog
220,-0.02,491,dOG
iszkckkqiu,ofsjsfrslt,ahtgijkzqe,-593
-204,cAt,DOG,cat
-0.2695,tqqqlulggh,DOG,dog
CAT,gjptclccjn,dayllhtdds,-381
261,zvsezxrhoq,-0.408,170
-526,-713,CaT,CaT
woutwgeinc,911,nmdbohpxha,DoG
-162,-202,-0.3165,cnazeososv
570,nyralwixus,CaT,CAt
-0.46,-0.4225,0.1465,CAt
-0.2565,894,-874,caT
259,-0.43,tcmelmgxxn,DOG
946,bnsvjlmlsf,cAt,CAt
CAt,DoG,0.0525,-311
-152,-0.387,bzjyvhhjym,-0.365
qubwizkcqr,fkopzawneu,-0.22,-0.4565
-0.404,mpkkrmpily,522,dOg
932,unenpkwsap,cAT,DOG
-120,0.256,jqosesgbtc,0.2445
cfikulmjlj,CaT,0.156,DOG
chelwldvdb,-3,aizjjdbvnk,dOG
bjuaxusrcv,-0.379,-0.321,cAT
xilzkpbhmw,0.0295,cAt,DOG
-432,CaT,691,DOg
ygrlyscyrk,DoG,0.136,CAt
bssnquutzb,-407,678,CaT
0.369,cafblwxcdf,0.0095,dOg
-0.484,mzalmgwexe,798,mkqvuxpzps
485,-898,iwhgsgkwdu,cAt
186,lsudaeaizu,CAT,cAt
-0.0235,-589,862,dOg
lzghtfxssd,dknbvhfwfx,cAT,zqmovkhpgk
0.3635,185,-384,274
-187,-575,ywhbjtuxqr,-0.121
0.404,CaT,-0.4945,dOG
dmcjfzujpg,DoG,-539,0.0605
300,0.367,254,cat
106,-490,Cat,dog
jhhynwtldo,-165,-0.455,-757
732,ofjlzbcnbj,0.4135,cAT
-0.3385,agwvodurhr,496,CAt
0.2615,-286,-308,dOg
366,-898,-0.1765,CaT
CAT,0.445,caT,CAT
0.2,-396,dOg,DOg
-935,-0.0885,0.1935,CAT
eqsnffidzf,0.1145,-0.237,0.49
511,ohjfopozzv,nsriwmwhid,cAt
Cat,0.312,938,CAt
cAt,dqbfgsxfno,-175,-797
dog,-58,CAt,runinthmlm
0.3015,znlejvcknh,-668,cAt
0.1375,-185,DOG,Cat
CAT,eqkjlgsftq,cat,cAt
-664,0.2445,smoovbwgov,DOG
838,-543,-0.3935,caT
wkhgnrxgbg,kyfshcascd,0.318,-0.271
0.278,cxewhvoljj,499,893
dOG,0.279,urmyvwojxq,-0.2265
dOG,0.131,-929,CAt
-0.2145,fholfzpioe,-834,DoG
kmgaguqcun,0.425,0.2905,CAt
DoG,-403,Dog,pdomvxcqkq
0.4645,wywgtxycur,-0.437,CaT
bfsimervwb,69,-27,ghlgoohlqt
0.265,0.276,CAt,Cat
dog,-534,-73,cat
-0.472,265,eknnuarfed,DoG
