escupizyke,ipcyvedqsb,gskdngyfik,nluqcmxknm,jydcepuwas,krcsrllrql
dOg,-0.125,707,trfovwachl,ynqelbohgb,dog
mfjfpsimqm,-458,855,DOg,-900,-0.101
ubtnhiqlrd,-94,559,0.464,225,974
DOg,cAT,dOg,CAt,0.4765,399
-0.2065,970,bmowbpftab,0.2035,CAT,-0.4085
-456,582,cAt,CAT,ghfmjmxhle,udfeexetpl
DoG,-866,960,gceafxqjil,-0.202,ifntjomntt
sncscadbyb,-0.283,xmpbwkmzkv,-742,jnekncwdyb,cAT
0.245,szcbenbknr,cyzibmpdrt,124,yojtbqkbdj,-526
921,-336,-153,124,kcpqcghher,hsgcghfdkf
cpfqblxwah,0.419,jwcpwkvrhy,CAT,-773,922
zbnousovjm,DoG,157,0.0915,-0.181,nevklpzvam
DOG,agdpkqizjv,urmutefsdn,-734,tvwdohzxdl,0.062
ljaviecbfw,Dog,0.1335,485,Cat,-519
-0.302,954,908,vivqnksnfv,-0.294,-0.156
iobyythxib,dOG,570,109,bfmopxravz,684
czdtnlsdjy,0.478,-0.025,-678,-330,-548
0.456,0.498,DOG,potfllvhjh,-0.4945,mwxwzsfwgu
acuwczssuk,0.4765,0.2345,kywnasvizs,busqngbbcr,qgxzjdqgkd
ajowecdqgt,xpcdhaqgaq,DoG,-0.2565,0.0845,gqhjiejurl
-0.0815,0.0425,-0.2835,nacuojbuvi,-271,0.227
dOg,cAt,zmycedgsnk,aurohhjsuw,0.3265,uwiompqrse
