hhmyjhrben,pet,ihpgwqeijy
0.2885,CAT,-0.134
-335,-0.256,0.2975
dOg,dOG,-62
DOG,dOg,-0.4665
mxfapnfule,DOg,yjgyxcagcj
zrihlletli,mqvzmbcadt,-0.326
748,dOG,-766
-678,caT,ccbgmgeccv
dOg,cat,cat
-0.365,-409,0.39
76,cat,0.197
oobljholsm,cAT,-771
ecymooskga,cAT,-699
0.2485,Dog,426
xuankuctpl,cAT,Cat
CAt,117,-172
ewkxkqamaw,cAt,114
lfvwefkmeu,cAT,tkrhepjmvx
854,CAT,0.212
-0.3365,DoG,yzzujsgpid
-0.177,-432,190
ucmhmdwney,CaT,qmnrqiqotl
-849,cAt,cat
-715,887,0.193
doibnhilus,CaT,-815
DoG,CaT,-95
-953,-192,oadrjzxbvj
DoG,Cat,-0.131
0.275,sytcmqmssk,-0.353
8,CAT,DOG
yekovhkers,-0.123,0.0315
CAT,CAT,podeowdclp
ngvygaslhp,cat,DOG
-876,0.381,DoG
yavlmxlbjc,doG,ydagdzyjci
5,cAT,-0.381
0.208,DoG,bbmqmehjvp
-0.351,doG,-925
0.1635,doG,0.411
-0.232,-355,0.4175
lrsqowimuc,326,-240
0.4775,DoG,egnnsycrjq
myoqtemath,rayyphrsku,0.0355
-0.3685,548,0.328
435,DoG,-990
rcjomathud,dog,598
lzzxboxqnq,cAt,doG
-984,cAT,-544
891,cAT,0
188,DOG,kvxhtiuoae
laxlvxbaqu,wetoxsmghv,0.4825
0.4245,263,-681
0.0215,-529,CAT
