yzywyzeayx,anjcyityax,qupbpmzmad,rvrgklbcek
digboqewmm,0.312,0.203,saujbkhbca
wgwoetvumx,465,-0.0895,-0.1215
lhwavdidfb,0.3755,0.1695,dog
oxxlpblzsq,tkprwyhnwy,-0.4005,ntemwonudu
cAT,cAT,-0.3535,ycuypspukp
0.0705,0.479,655,DOg
793,adqdqjzdxz,-0.229,caT
fxrufcbnpv,rkipvuxkxl,DoG,Dog
-853,szbxnrxlgq,0.052,vpwmzmwptu
0.2835,krmfrovmlf,-379,nzgowmoils
831,bwfbxvhklf,0.2765,-0.437
-446,lfealokgyl,0.43,Dog
caT,-0.446,CaT,0.329
0.109,scbsglbpws,-130,dOg
hgrzenrodd,njdpmccazk,0.379,516
780,ccbhcfxoxo,-522,iqeggpsrdn
Cat,CaT,ytdsswgeqm,-475
0.081,rzcxhxqzmt,-0.1195,jslbtpphlq
nmbpimktpb,-0.2185,dqsllkwwfl,dOG
998,-844,0.1585,caT
qsoekzvwtb,doG,Cat,ypbqlsxqtf
jspcobfmvl,CaT,0.415,0
-654,DoG,-459,adphqiljhb
ctdcvtsxxx,wphoksmsvx,0.3815,-172
0.178,qfcbbolloy,oxwwrljlqk,-0.3675
626,-357,-501,866
-258,580,CAT,534
yhuolvmzkz,0.143,ziqmlluryx,uokkjveqhh
0.2245,dolfrwyjcx,chvjrkujha,0.338
-606,0.4455,0.0255,838
0.3345,pycwvoosgy,0.0645,94
cAt,-0.337,963,0.082
lsubiazqzj,miqfskrqgn,CAT,cxadpsgchs
-595,631,0.353,0.4965
lkoqmmrmgu,Cat,65,dOG
-470,lmhuoznmgl,-0.232,-0.4305
Cat,99,iqfesqqdpb,-164
203,-447,-912,411
aeklehzkvu,-702,-205,-897
cat,nqzuxzzkvx,-0.445,359
593,lcbsqobbia,350,0.285
0.202,fissrdgfsc,-825,kosdlccyzd
wfayqonlat,akdveiivpf,cxqcgsrkpc,guahizgjwy
0.2365,DoG,ffchsokvzg,0.0165
-0.389,CAT,-551,viqhhobipl
-327,rntacyifsk,hsxdzpipeb,caT
-286,ouufykmkpz,-0.229,-94
138,-330,cAt,fyntmhmlmz
