sntdeotwoz,zvprlqfslm,koolcnsfbz
839,difgcwhndo,zcsvptpici
-878,doG,scwlowohkq
0.3275,0.128,-56
DOG,740,hbcfqqpvqh
0.1605,CaT,cnrmgghufx
0.0085,Cat,-0.169
vkwbkhflje,dOg,mcbmseclbm
gtmobtvdmn,108,0.491
zgswublbrc,adieapgrdk,-330
DOG,-0.314,0.031
-0.0075,24,-0.415
avtfdooyqk,kiumkbciar,-0.242
-0.4405,Dog,997
-0.158,hbddqzrcta,0.188
-716,-0.194,866
-0.253,-0.085,-282
Cat,0.0135,17
-37,-0.4665,-0.1
fajnsrsxsf,yshxzoocmd,dOG
0.032,manyixqosx,325
0.368,821,-0.1195
-892,uotsxoeoyk,-0.277
cat,361,CAT
0.177,pjkhzpobsj,170
-0.1595,-649,766
jjudaexdio,455,-0.317
0.1465,DOG,gxnlqmsudw
0.074,0.176,67
tzhnncqpwl,Dog,357
0.17,kqyykkcddk,caT
-0.1285,190,zazbzfxjmx
CAt,dog,94
-0.4025,CAt,CAT
0.0655,myxtfaotqf,CaT
zcrrzvwqyy,xpbcpsweii,chwzwjtqxk
-0.2395,-488,dog
ibzqierrxp,Dog,-0.442
-200,dOg,846
0.426,-0.054,0.3905
64,-0.0945,dOG
194,0.3245,ezkaqsibjp
-0.2865,0.4765,priqtiotfe
qjkctavyao,-0.3565,-0.425
ucgwvuoitr,-0.1685,-655
363,-160,huidupvrll
-272,fumqjuoxbj,DOg
-351,juoycciugu,mahubxsmoz
503,-333,dvvhdpjrky
277,onvawrcxgi,176
gxaghlubvk,xugjzryxmi,trhzvnbsit
doG,puahnaismh,944
tsbcocsraf,-518,689
thodmajtwi,jhwnnycgqr,riuiodpvkb
Dog,ngngzizucs,-679
mcqlfcdoro,0.1215,wylqbmondr
-0.1875,571,ipeeidxwrc
wkkwgrtfuz,dog,divfengshd
qbvogjbnxb,0.12,-158
-80,0.057,wwotcqppgt
dOG,CaT,vmfeegxity
dhpxmlvlnl,cioldkrsaa,-590
0.4845,elludvuuqc,anudciptaj
muweztyspy,168,rlbbmruesb
0.062,nzlokjrewq,0.435
728,427,-344
nhzzwjowtv,-697,-622
-0.2285,caT,-0.4975
648,doG,-0.0495
-0.1455,-71,926
-0.0385,fmjkgcrobo,xhocmuylkx
hvwykbuqaz,wzljetfzqa,bpcrukqnvx
-0.048,mofbkbjxvk,-918
564,jeteahgcux,-0.1505
Dog,295,DoG
-648,spraeqacpu,-0.1065
-0.4405,0.0735,428
0.416,-755,489
