yuqwkqwwpc,pet,birdudfaga,dieyfxuyhg,mtfikgswmr,kyitttjped,hcnaqriird
0.162,cAT,otjlshmtvv,-149,zgdtowxmcq,cAt,bopykniksx
fbmxfqujzv,CAt,kkpwsqugxt,-0.045,0.1465,befillynvc,etjgnnsbxi
-521,DoG,fdaxvlzvvx,-739,gdqolfxmtv,0.3465,dOG
-0.453,DOg,doG,-0.0705,jwgefqzpoq,cat,bpltvvnvka
-0.142,dOG,-0.1085,CaT,-0.4515,DOg,xowsanthgd
-0.2995,DOg,dtcuuqyfvj,-0.402,cat,0.24,-0.292
Cat,dOG,128,-0.286,-0.1285,faoyqopvae,yidgaadsnk
0.1475,cat,955,lxzwzmtlkk,-0.1435,0.4065,mffznlomvn
242,cAT,-592,imenchoonl,-73,hfkbriteyi,ybybxolpna
893,cat,-0.071,87,0.019,dhvptdriyc,0.277
utitfnfjsm,-0.437,rzhcdzoozy,-699,-0.486,-0.4845,443
tsqkvvqfga,Dog,-457,0.347,791,447,0.288
0.011,cAT,-978,792,-342,0.288,636
-896,dog,ayjiekdlrq,-0.3155,-0.154,CAt,450
caT,cAt,-0.3545,dog,-0.2335,0.228,-0.04
ptxmmxjlun,DOG,0.4515,dOG,-0.1545,qrmycnzqnq,flqegzxfmm
0.4445,CAt,DoG,0.212,297,dog,-129
dOg,DOg,309,vevfndumhq,-0.3225,anxaqqefgh,nxdelstinb
-0.09,avnaeaatez,-588,Cat,rgzovruwnb,cAT,DOG
-446,Cat,odrnrtlyko,291,CaT,0.176,tedxbfyiln
dOg,dog,hhhslyzxom,-0.105,-0.1715,doG,jfgxwpwatp
ivrodllkls,wzgzjmvphy,lzqkptknht,466,909,0.151,-0.239
-837,doG,-390,DoG,-986,88,0.4315
-0.2705,tdectazvix,ouonklpnxg,dmiqptioqd,-0.418,dOG,0.004
-671,CAT,810,ntgmpwkfos,DOG,-717,DOG
ivjfiqjirv,Dog,427,-339,cfppdrofvf,0.228,Dog
dpwexjvdbi,-22,cAT,djgmzfeyjy,177,aqixrqweyj,CAt
0.024,-443,ybppnqsvds,-0.2915,-162,52,-40
934,662,881,350,jyswrdyxej,-178,0.4785
lqnkmuarnh,DOg,zvuemjlnoh,DOG,0.4815,632,dOG
0.005,Dog,bkykvsgdvu,fvvzbwavam,tqsudfohwb,928,orlzbjeowd
765,CAT,rhhrbjggir,-867,0.306,-920,0.016
-0.134,dog,-0.034,0.09,zlbmnwjajm,869,0.3955
mittlgxfwy,CAt,0.2415,-986,-0.488,inzocdlopz,bzqboxvhwr
620,CaT,-0.0135,tfoxiikxcc,801,-0.4145,rtjdopxtle
dOg,CAt,-910,0.3305,-0.213,844,CAT
lquqmydtpy,-575,0.4785,-0.396,0.0435,0.4645,761
fqjthuujgz,cat,-0.02,0.054,311,-358,823
-998,Dog,CaT,DOG,709,CAT,282
-115,cat,plithhvvmf,saujywpavx,dOG,-0.4315,lwikunabcj
-714,dog,yeyitvtvyi,Cat,-0.496,265,867
-125,doG,-0.162,ghmmezvyqb,196,tluswiayxt,992
-0.235,-0.0015,-0.4005,asjcesapfr,562,DoG,-45
0.2345,dOg,gksqygalaf,DOg,qpziqimgga,mhmemlsbpy,-0.114
Cat,qfvailhome,DOg,956,bwkztkgnmq,0.022,-140
mrkggmgtpy,479,caT,512,tejmaxjncg,-163,ayclemkpkv
0.1145,cat,508,543,0.2455,cAT,-359
CaT,-0.1345,szqeoygtib,owkawopegy,pfvvtddmpu,-292,eszlfqzxjv
xqilbkaabn,CaT,0.297,gkblhkwxso,0.083,cat,DOG
