qmowhpzhhd,wghhzkcgds,fyyldevkif,cnlhxmojkm
dOg,335,500,805
tsmixwkwtx,niudrwzurz,-524,wwiqywyqhg
853,772,Dog,471
CAT,yqrxmvvhau,721,fsrfzocdeg
-0.4615,lewtxmsxxz,-0.4455,oofsepzsof
xquqxtultt,-460,CAt,qnizghkfnc
710,DOG,0.052,978
354,0.398,977,nxaonuwoct
Dog,192,26,CaT
563,-580,-39,CaT
741,-683,-0.1945,ouuuwvojmn
mjnllysqgq,0.291,0.196,dOG
-322,-0.49,-90,-0.4045
ypujixnphs,lxzjqikhty,DoG,-0.2305
774,-0.2175,382,-0.407
0.0005,-0.0355,0.294,-0.2025
838,0.3975,CAt,cat
dzjpwjqpln,blfhdaxdcn,-344,-101
-41,-0.3705,fjzwhfdxle,CAT
-764,myhmuvkizg,-706,CAt
693,-660,0.0955,-630
pxglihuqmp,0.179,-0.04,-0.394
-0.24,0.0465,Cat,159
-0.3455,wjuibnjccp,-0.284,DOg
-0.1645,mnfffzyyll,dog,Dog
833,-191,nanujfukuv,-0.1585
dog,219,Dog,0.401
DOG,rbrdmuepal,0.1595,0.1015
885,mcubwsvvql,-0.003,krsiwywaxo
-276,-228,Dog,jdanbcmfdf
kuqrfunsak,-515,CAT,ngbrvgteyl
anprgiqfpg,dywtyhmhsf,0.31,-63
cAt,trnrazhvkl,0.293,0.173
-25,idcfdejnkw,-250,433
0.1345,-477,0.1505,717
0.0115,-20,-726,dOG
-831,caT,-581,usncbmdvyg
0.1245,-0.144,-0.323,DOg
0.1985,273,201,0.1575
-682,-369,-0.055,0.1155
0.3945,fpjmgkuwvg,0.0855,-0.4885
CAT,347,-0.4145,853
pukbgitbnp,rhnajnjejo,caT,-0.414
npgaohwqdc,-917,cqtdgfejyz,vdjufjoupp
dpvdbjewii,-0.3935,-686,-0.181
uaemqfvakp,175,0.3345,biehudocwf
0.1395,85,qhyezgiskw,-0.104
godicybihd,550,glglaqtrfq,-0.064
-0.4425,-160,-0.259,swqkaxxxyg
-0.08,-0.275,cvhummzeho,-529
0.0905,DOg,-0.4675,0.4355
sbqxgcwgke,DoG,-0.3955,dOG
cAT,dutntdpigj,cAt,672
-0.292,CaT,-0.3695,-0.198
DOG,zdatzebapv,-793,-0.1335
dOg,0.3335,0.326,lthviqhutx
-102,870,-0.1845,fvqmpcfird
cAt,DOg,0.2515,0.3695
plqzqcpbdk,-323,tpeqimbjbv,-0.376
-0.043,cAt,811,qowyswxffg
-556,-785,60,jhomzbyiyq
0.0685,0.4935,idjrflowkl,680
701,0.14,-0.279,-529
0.15,-238,cat,pfklficewc
Dog,0.2165,992,-371
0.466,0.0615,-0.259,-0.486
126,sqshdrebks,hgmzsrgdjb,-947
cat,775,0.2105,0.4035
-502,wphtlvsxgp,wadlvbkzuy,pltutdkdkp
0.4555,59,847,caT
CAT,kvrcebepoj,snbhuurozb,trkjcgcvst
caT,0.403,596,CAt
cAt,5,471,bpooseybzi
-0.1765,rfggewumnd,760,-0.263
0.023,688,Dog,614
0.1145,-0.4685,fyzlchamno,-0.2855
mtbteskblj,0.248,dOg,jengoqjgax
-0.2725,0.2385,0.1015,vhrxdkkfmq
itwhhktyrr,414,cltazgswgo,pomgzmqjfr
