imvrjjboay,gfpnkkcljg,wcbqezgyzh
-885,-0.1295,caT
eawykphrbr,cfryorbqec,btqnrcjmam
Dog,876,cat
0.1675,ohetudeqdr,-0.4745
mkefcnrgmq,xlkywtodfw,-384
-556,-0.265,evvkdedsqp
-0.2855,igusfhrhpd,zhnszmyexj
qhbwlmduxb,-0.163,yewxwczpmp
CAT,dog,begmqxijiw
latgktgjbk,40,611
0.243,cvcbhuvfdp,-0.2855
-41,-882,DOG
piyuptpmuj,0.2815,0.1215
miugygzdiv,vsuxkcpwvc,-0.415
Cat,-505,0.32
-0.3115,CAt,0.3565
upwqqdbjdo,311,-282
518,515,Cat
-81,CaT,0.028
qbxcnnvtpb,-0.4895,xgxfplelkq
CaT,810,udtkelcaot
-0.2355,773,dOG
0.0075,-106,cat
aekbcqesyo,374,dOG
-0.3395,DoG,0.2925
izfnuguiat,cmywyoiyvk,wlxqavkprr
-0.4305,hqswdxjlju,cAt
-468,zcqgwchlbw,-0.178
doG,0.371,-538
bihnsidkfu,kwytcaikol,657
-0.135,DoG,0.03
324,435,xfkbdwmgik
-0.27,zfajzokcal,bleuelsbhl
436,qhcrrpnvmu,CaT
-452,nrzstvgrxu,0.1225
ptginnuese,lqgskzkdhf,caT
284,0.4075,-0.3275
keotnnjdpp,-564,DOg
sdjgckaqtw,-0.2205,286
CAt,0.0375,cat
-78,sgfrtqdkrx,jodqkqksbh
xdybzjkniy,-586,-0.4105
-0.012,-0.291,549
fybvjdyzta,xochkuzean,0.44
0.393,-309,DoG
-0.285,0.446,-117
bqecmeyimi,983,Dog
dOG,mejucjklxl,bzjxqiynrp
0.2655,-62,agxlqfiasy
dhcvcmwxuh,dOg,ezgjsrgjpb
0.018,jyrcffxtkx,dog
ujjqweiqxr,-0.482,0.0835
cat,484,185
-862,DOG,tsbueizfda
966,cAT,qxktlmhuvx
0.339,0.205,dOg
-0.231,-0.2365,xnznhsenkm
0.0065,oecacjenfv,DOG
-0.3825,410,631
dbevtaffyu,dOg,34
ytwwylcyhh,0.4105,0.0965
-314,120,mayjkdfoyx
cAt,dOG,Cat
-128,-0.1575,vofnonfkte
zcyamwljht,zpxnsfpsvk,doG
0.4085,tilzwzpexf,0.063
