buozdvqrto,Pet,ggdeaqvrbj,odjiflqouc,nvyhpssfnh,dyvrqyhdrw,bkkixnryyp
phedpwvkmj,CAt,CaT,joqlqcgrpj,987,-927,-73
302,CaT,jmsdmwwurh,0.1235,-0.3065,nmgtqnqolf,8
Cat,dOg,mmmcuobwli,Dog,-585,412,0.047
0.264,CaT,0.1375,-0.3045,valhllkjre,-463,xjrpwmjanb
mswmjewufx,CAt,hbymnduqrx,410,-851,chztjjydze,0.484
486,cat,dwudnpvanq,DoG,0.1395,zdwgufpylu,wvncxvqiup
jnwlshmupr,cAT,-715,ajkzgormkq,CAT,-0.403,-546
CAT,cAt,391,DOg,ujfybxsykh,dogkesffde,tmslprqghs
0.2625,cAt,dog,doG,0.275,239,0.383
CaT,CAT,Cat,caT,-917,0.336,-0.2025
Cat,CAT,222,-979,doG,-185,Cat
-0.2925,Cat,fvlldxzptq,vpjzsvgwir,-0.285,yqqrtaumfu,CAt
powtzsetmw,-0.0455,173,391,832,rclxmndilr,-0.476
905,800,hpoyajgxmv,663,-0.049,0.293,caT
885,dOg,mngplpgrzq,caT,DOg,jadjrfnwss,jyougvvnfl
973,caT,-990,uidyqbosus,nolxutakgf,cat,ktncawxxxn
hlkmabddep,hhtoqyqnap,pzmtbgnrpf,336,cdbnuhpjgs,lyhkoxnobs,-0.0845
xvkomvrgzy,DoG,modcnqylke,-919,-583,392,0.214
-0.226,-0.1605,0.234,809,nsrywrpttu,ebtwguwcwk,22
dOg,iyraxqlmtf,DOG,0.089,490,595,899
kygbfnndwo,cAT,686,dsgsivankm,0.214,-535,-94
nvxenyaasi,218,-0.389,189,-0.155,-117,lygkboshjo
0.4135,115,-545,caT,dOg,moegkniisb,ombfhyhogr
-368,cAt,0.0435,cat,96,CAt,732
184,DOG,-19,ppwyrjfzow,-906,0.493,xmmshlicgx
0.101,DoG,294,qqxijujycs,-0.187,ldlbvpkrdr,0.3765
idprsewdph,-152,jxegjekvtl,0.0655,560,0.0175,925
weporvmhnh,-555,dhdifecbzv,otckffbqnh,gcutbyfcuh,889,hgqmtngqku
-786,cAT,509,72,-0.084,eqwlgbrxxv,dOg
gneizwwqbh,caT,469,haztupcsgx,-831,Cat,0.1105
-948,cAT,bqpeuvxbfw,816,avgcykixcx,986,62
-995,cat,cyjyfpazzl,-440,frvwnrwqgv,cpxpoyvulo,256
-0.293,-438,715,758,-0.2385,mgzzvvsvgw,jtjqcvampf
95,cAT,-630,-0.382,CAt,caT,-0.005
0.1015,CAT,CaT,-0.4995,daiydhvvma,-0.3175,0.082
-0.048,CAt,757,cAT,-0.1535,DoG,ldskggaxnv
DOg,dog,uuotlxdxaj,312,0.005,-709,0.062
DoG,dOg,CaT,364,-0.03,-0.361,brofojilyn
-0.417,cAT,-425,caT,-959,-0.298,doG
0.131,vupnnqyiup,wvyjrarvgf,CAT,wfoqjlonyl,-594,Cat
