khmqgjssag,rwhoxyaxqx,zrlvloeqyh,hzwcydosry,bfkyqoxwij,umpmommgxq,vmnplfnlyd
mmistikyjw,Dog,0.0305,hoxydldinn,186,125,wmkqlxgecz
-0.0435,xupqbymerj,dog,62,gqotlqzfkc,-0.322,nllaileczw
DOg,mokjnbwwkm,CAT,emineparsr,ujayjrnekh,383,-0.181
-781,-0.183,dOG,361,dOG,-0.2595,CAt
DOG,cAT,ljislkkcqr,caT,0.192,64,djvhqqfffu
DOg,voodqdsusu,-814,tuizeudaic,-12,Cat,sosklmwmnw
ghxypsxnnr,-0.077,-449,CAt,-0.3455,rabsyfqlji,-943
uonebtfyrg,0.147,588,zzcsxugxhz,Cat,-494,wvsmggffxt
0.428,uelzoffqfl,393,-0.2545,caT,232,-0.181
olzbiyycjs,-0.0655,fnvjfkxwyj,-0.2275,-325,155,105
-702,ipleosenvd,jrwvtzexjj,-0.1635,doG,Dog,-990
0.2205,0.2215,-68,0.435,xgmniofdqd,-0.4685,dOG
-339,0.194,oaburpymok,unrjssgnsl,bnylffkizs,asgcdwsuor,-973
sbljpumzkg,-0.264,puwahpuxgv,Cat,0.033,0.025,ikueqfzgnv
768,kgimvcjzmy,tdspxpcedm,caT,pweiymkhvr,-0.0475,615
-772,-524,-98,0.072,-639,DOg,xryucnkivs
851,lubzdsagzq,-0.3175,-239,-0.4275,0.416,doG
204,pfurwirwpy,-0.0015,-81,-20,hrxnrijogm,dog
0.193,DOG,lrnzwpebex,-206,-0.106,-0.0315,cAT
0.4705,-501,icgldmqagw,CaT,-360,ooyheghiuw,-0.178
0.013,Dog,0.0515,-849,DOG,0.357,doG
-353,834,doG,330,0.04,qkewrkbcrp,aussvxpxoc
438,0.4595,0.058,0.3455,CAT,-658,-690
42,-0.2095,cat,naiykxyubk,136,0.132,zmtcdgvtqs
412,-0.2135,phlqmxeqqa,gurnoqztnm,-0.0945,jtlwsdemxs,-992
950,-153,0.303,0.3455,21,-420,604
-0.4425,-150,dOg,842,242,-0.2265,0.4935
-45,cAt,-0.243,Dog,rdxjqwqzsr,112,0.286
yuwtduionf,Dog,-0.0745,wlrqnqmtoc,0.1185,-457,zhypxtaurl
pgjzklpjvq,-874,0.0955,bturwasgao,caT,-138,0.3375
-0.454,638,73,CaT,-0.1205,CAT,bpfzyrrnxj
gsrkcpzpcl,dOG,-0.006,-949,0.437,-0.1905,cAt
DOg,CAt,lqpoujvbqi,ebrpbyildl,-557,0.2185,wttpffsyva
-0.019,-0.062,-0.1185,-0.4085,-0.2805,caT,doG
422,0.461,jcffumvssz,0.2605,cAt,611,-174
