qxkrfmexih,uemqzaxwgv,ugtlgtagvz,ggptqseaha,asabgdejjp
927,-402,204,CAT,czkciqadsh
0.1785,akmkvzaxrk,cAt,-0.1755,0.332
CAt,dbevoigtbs,0.0365,xnmxfghlze,rsvfvocnpl
-929,ltqntnzjex,afxnhrltjg,-338,0.123
0.1715,0.142,CAT,137,0.289
hawntipqko,DOg,0.4775,ulkswmjwim,-0.3315
0.107,ztbbfcfefl,itvjcchefr,-620,doG
-0.496,rogqdxouak,vrgwurfytt,dog,yebmlumwot
jtfflehxts,tvipqsvoan,-679,-0.288,-339
aotjyemmqa,499,-139,0.0445,370
-0.116,Dog,Dog,-811,-906
-0.118,Dog,0.057,602,seaxojeltv
0.2185,saklrjrzvr,0.381,0.285,cAT
ewtohvhthy,dog,0.0355,-0.323,frurzwmoqi
CAT,-763,505,DOg,-0.285
rgoqlndacb,wxfewxfgcc,-226,swwfdnjaca,cAt
-0.365,0.3865,-0.4225,-410,doG
-936,189,-0.0075,-312,-833
775,Dog,vxxluzclwl,Cat,dOg
CAt,CAt,-0.082,819,393
-0.0935,zafpbzmbct,0.1355,985,-823
caT,cfyicsockh,-0.2145,aubchhxpgk,qgyzzxarvc
njtowkmgjo,jjvupyqhrg,0.4975,-0.4025,733
lggiwqcbaj,0.3075,-0.2775,0.478,0.2895
Cat,-450,qdsxqptwzv,pscxsobyuk,0.013
euosiruuah,dOG,itptixvdsz,542,0.047
xvlqlgmhli,blwlugcrfc,-0.2015,0.203,-849
-0.1345,0.263,717,caT,ypihcygygs
262,726,-0.443,fnyqwmsndo,102
uypbhylwgn,-343,0.248,-698,0.2325
nzctaglmao,xhsyolczpu,0.108,-933,-0.318
DOG,CaT,-765,0.435,DOg
20,-0.1155,-0.483,0.3675,430
35,259,uxhqvknptg,bqgbqnoyiw,DOg
