pqynzzetpn,osnrlejomy,PeT
-730,0.0295,-714
0.201,-0.2505,CAt
dog,fucqajbpeu,cAt
ffihcjcdly,Cat,fxpxflqobu
CAt,-350,DOG
-999,-0.0175,caT
0.2115,-229,CAt
278,pundqkwjti,cAt
-0.084,-0.1505,CAT
-0.429,cat,CaT
-695,-918,CaT
248,jislgjfohk,Dog
pgasigldhr,411,dog
0.09,797,CaT
cat,CAt,DOg
0.4375,CAT,DOg
DOG,-96,CaT
CAT,524,doG
182,-320,DOG
-245,367,dog
-0.451,-0.2175,CaT
-0.0305,95,dog
doG,bhkaizkrua,0.359
0.349,mslwxwzmvq,CAT
arhwaffixf,dcdfyprvce,-714
707,rfytpytlro,Dog
-188,-0.1075,DoG
urxsjxkfpa,-736,kcfthyzxet
819,0.278,0.0715
222,-0.2995,927
0.011,sawergdbko,-110
588,-0.0045,dOG
383,-23,0.3125
-0.1695,0.311,wxtphqcuab
0.3165,-842,0.168
755,iuguztzpxi,DOG
238,eoorizwxug,cAt
0.094,swsxwtmrfi,DOG
0.2915,owtjetpalv,dOg
0.493,zcmvctxziz,caT
0.4765,-0.1775,doG
abhuuawojz,-51,dOg
cAT,lrnxikkwqh,-0.496
jvscetpdmx,0.0225,CAt
-0.1555,0.267,DoG
-953,cAt,doG
-351,-160,CAT
-0.498,-0.106,cAt
jficznsvsz,CAT,CAT
-92,xphtcktbah,DOG
-329,youcxjmfye,DOG
-0.097,DOG,-0.0735
