uwxpvobzwt,pet,icppwaodpl,qugtmwetss
doG,doG,DoG,-760
pviwelrqnz,CaT,Dog,-380
ylahvtvhnm,cat,-721,-0.314
stvlkhkdkm,-0.0365,517,177
649,450,-0.3865,cbfgtzzsza
-571,CaT,-0.4985,CaT
-0.4775,Dog,yuwvxfsjoy,710
-0.3285,DOg,dOg,631
0.2955,CaT,takpvhhpoy,675
-0.34,DOG,0.258,-0.4295
-989,-619,0.0295,-309
zgkiyigxjy,DoG,cztgotpmzn,-33
964,CAt,-745,cAt
936,49,-405,aakmkgknnf
aivbmdobpb,CAT,lyufuqflrb,-446
-863,CaT,CAT,djnjoeapmf
DoG,761,wxhbtqtrbk,-6
vpztekjuwb,dOg,-0.427,-0.1335
mjtmfqrvjn,cat,ujndrnlrut,-0.253
-0.3955,CAT,ipdhlhklai,doG
dog,0.2905,caT,mtjiymtkzm
-783,DOg,wnmireilsl,jltkteewfh
dOG,Cat,691,0.4805
0.423,dog,ufoifoacea,-0.2035
-0.3375,CaT,0.3795,uxovxavroq
sboeujuzbo,qrkeolmzxm,dog,dog
0.1515,dog,0.2665,-39
-792,CAt,dog,-0.192
-465,osonhjvsxo,-436,0.1515
ttywwdtcev,caT,-389,-0.1295
DoG,cAT,hpcymadhsv,jbetyyfxqm
-0.3925,CAT,-0.0615,0.199
-0.3685,dOG,pfglibcjap,CAt
0.2655,CaT,0.466,drtcdrpoio
iirgkrzuni,cat,DOg,-381
mgpzbkvxsz,dOG,uxgfduvpml,jcqcxwpedz
DoG,0.2565,635,585
DOg,dog,sndtnxcutc,Cat
aqxierozin,DOg,649,dog
-0.108,Dog,mcfidvtevs,CAt
9,caT,iylyycvwyg,0.3015
arovckjapq,Dog,-0.4245,skxwxfsojv
fpjqxfmlei,DOg,-501,xjmcbwvfyb
rsdxixteqi,CAT,-0.5,-212
0.2005,DoG,DOG,585
76,DoG,vhygwnijyv,dog
mnciagxcxo,Dog,-636,0.0315
0.4045,cat,-0.4475,968
500,Cat,jyktpaybal,DOG
qjdizbttex,qlnysxlhzk,997,hhwggztqas
cAT,-582,0.2155,fgcunwxfjo
-915,Cat,dOG,210
553,DOG,850,0.337
0.0025,dOg,-259,dOG
0.2995,CAt,onokixiwlt,-0.116
Dog,qjqnjmvlwu,-172,lqqoroaajz
Cat,smjdwrpxel,-283,idzcriwnoi
xkiheyignx,dog,Cat,-0.429
yjazxypywh,CaT,dirdikwnfd,caT
dOg,0.262,-0.3285,dOg
-931,CaT,CAt,dOG
-0.4215,-0.211,-439,619
0.4135,Cat,DOG,-436
0.2725,DOG,-776,DOG
936,Cat,-0.4715,384
-363,cAT,bwpsrlkbrg,-0.4215
gdpydngvlq,doG,-0.025,whunfsuirj
Dog,Dog,0.095,eivasdpdgq
agtsqptdoo,dOg,-320,DoG
