mggkfvnyhv,hjkziojhxg,qhwqirfrvi,asvxdwuqaa,faheqwarcr
DoG,0.2045,-507,-0.121,-0.183
Dog,dog,-596,0.168,796
dOg,0.4815,0.088,doG,kyglpbxwge
utbdfljaxe,CAT,0.1595,cAt,yigcuplbjh
huysmmmgdm,-0.047,huoyyliumz,-761,-412
0.0655,918,doG,Dog,-97
wqslwrvskz,DOg,-522,0.003,dOg
geiivusxca,lwgtgdcsgr,srzmqupcuu,-842,0.114
-772,jxzdiusrqk,lntzrucwvs,nhohxwrqke,644
515,718,zgyocblbol,0.011,0.202
-0.019,68,gifvevsaqi,faolqtogld,767
0.319,cat,940,-0.047,770
usyvwwinzb,yywcqxgyft,184,-0.032,0.2255
hlpnjmbglm,edksjgmmge,sjxfnxzzcr,lelraalenq,dqpeggnesr
DOg,utttmnbzhg,cAT,ibhotpwomr,-0.292
-926,CAT,vogljscgbk,0.1315,0.1615
0.4335,-793,433,pphntysiyy,-0.4725
89,0.1585,815,0.401,0.4415
-155,gqpvdxgqyo,zsoajcbfqq,-673,qnuucnojri
doG,uuxdvogbwh,sqnvdzxerq,-0.363,-0.2875
qximxmxnby,0.2365,-0.271,-656,481
-574,xszphdfoqw,-929,-29,0.4315
773,-0.038,Dog,zygxfnprul,cAt
-0.2175,cAT,33,0.3705,559
dxkurvcmus,ecnsswcftu,-97,-0.2385,cAt
Dog,orixiqrtjq,-279,jlmrvshhts,-0.283
Dog,0.138,143,160,aokwluqkut
894,0.1495,isvjrnhqss,ggafmytkjk,0.2975
DOg,-0.347,0.1975,CaT,430
kdfttmxxxk,cbrtcxrvdm,lbovgfggxn,701,dog
-582,-853,DOG,-0.4995,qfxfqethzl
553,ysmosctscd,-78,-0.2625,-0.2735
-0.1785,716,-0.117,-719,qmsnuxwiwl
mstxodcrbc,vfyryyuiot,cAT,zsqycesqng,CAT
cat,0.0565,sxfeseunnp,415,0.3625
Dog,ildigapprn,0.3035,qamdmnojap,401
ubkxwezyyd,bkxkojnnmp,545,rnltgtjblh,caT
0.2165,-404,-716,-0.4125,0.3095
-488,-0.071,-529,0.105,DoG
jsomdkehiu,0.3605,-0.425,DoG,-116
-0.062,924,-0.355,-791,Dog
321,0.101,-0.245,Cat,757
348,cgwgfrolon,-0.1395,80,-446
ukiyodabxp,0.179,-0.469,jtgleznsqt,uqfrvahfwb
