xxcqgukvzw,PEt,jemzjuetaf,ddpfisyhfg,acyiyxtjfk,wpllkbqsox,iysujvpqai
-0.2485,-740,nnfzbnvgpg,zclzzzoitc,0.1155,0.297,-0.3995
0.4305,cAt,519,-0.0205,-549,CaT,tfexhrzaga
12,DoG,-912,hnbakhplfy,Cat,733,-372
xcdryytoqs,caT,-701,-742,-0.0555,dog,-877
0.206,caT,Dog,-0.2775,cat,-417,0.0195
omggkzcqft,cAt,335,-0.137,CAT,735,78
0.271,cat,0.0465,543,-0.486,drwbxlelkr,cat
-0.398,DOg,CAt,-0.171,zgrcahqvrc,DoG,pxkmfxnprv
-102,ihiykilkqv,472,120,cttvtladvw,0.067,-370
-0.465,cat,-724,51,ssqnidjkbu,-392,-191
cat,CAT,570,0.28,axqdgkxrag,-0.1185,cat
cAT,cAt,dOg,-137,597,0.341,-0.2415
0.2585,CaT,-337,207,-0.457,-0.452,zjlagzhgvu
-0.0205,cAt,yayqmfiper,DOG,-126,272,-0.4215
DOg,CAt,cAT,0.0645,gglyhwbdvc,0.1595,DoG
oouyumywqz,dOg,aydltlhoat,0.2205,DOg,caT,avhnqihliz
0.274,dOG,dog,iylfhuhlhy,-0.316,cAt,xbhblfasra
0.381,DoG,-56,-0.3425,ecrgcwxaar,0.4115,usbppxstzp
0.062,dog,CAT,dsamobbqui,rerqioyhji,0.4835,-0.464
lglngekqut,dOg,ymewkvxbts,CAt,475,-0.3375,494
-0.094,dOg,-572,ohrmzwgler,-0.2265,mxghkurezl,Cat
0.3815,DoG,oxtggiryik,-332,703,888,wgnowxibqo
-985,DOg,cAT,-0.399,tnjixazkgf,390,zzumflltue
0.364,CAt,DOG,-841,-0.354,CAT,pbeiizwnbd
-969,jjolegtogy,pwyuwwdnum,89,kxcvvnfjpd,-520,suaxywecaq
dOg,0.478,odtpwvskwl,-0.2605,375,-193,jhgwdxtfzc
-470,CAt,774,-0.4045,mounkhrmba,832,doG
CAt,-551,prqadkfnwc,0.049,bugbcwoskr,249,0.15
587,313,0.4315,efbpcawmtm,kknkgaukhc,366,577
hpsxkudyop,519,ejgpiellpj,scidrjeqrp,wrkwjqxpjf,-0.3995,-0.1705
upmgedqujf,cAt,0.3955,-0.026,723,-210,hsofowhpfw
0.391,DOG,faakbzcojo,-363,CAt,dOG,xmklzowxal
0.4845,ebrucecrjm,-0.3455,CAt,dog,xferryfxhy,-305
vflsgukadw,CaT,-0.308,ikolrsioiv,0.1315,-80,kzwbiujfcg
549,-476,wdkmjmfebd,dog,yskgbmiurd,0.313,0.3745
0.297,cAt,doG,-0.4625,0.328,351,wfxsvlxtea
CaT,dog,wigwxuahjn,wnbhocngev,303,DOg,0.328
853,0.1665,0.3345,-0.4875,bpsykiajio,0.2645,-273
830,cat,CAT,cAT,0.25,jlaecmqbvx,-964
caT,337,cAt,edojeszazc,caT,xaycfvitwf,rvghaafufe
doG,dOg,390,0.47,zvcuprxlwd,-0.4755,qvlqbbbdlc
