lndmwechnm,ukbetgbgst,ynknabxujd,pguzmukmvm,yjzbzvkfuj,gmpbnpdyip,wldsuqexru
uexmzvsjzu,dczapyhvid,cat,0.029,-858,xrmtzqobgs,-892
dOg,0.1175,0.2845,-0.3655,lgcukszgfw,kirvqeihei,-64
cat,-926,CAT,799,-0.24,-0.3825,-0.2985
offqnudeqq,snfwslkphj,-510,vqofreliaf,-0.1695,tmfcocjtto,-0.2105
zsqftpnhzf,908,cyblqteckh,CaT,pitccioxrs,CAT,Cat
0.265,pkowvwodaa,caT,dfrhlinzdl,0.3805,0.3025,DOg
-0.456,973,-385,-0.1915,caT,-266,CAT
0.44,CAt,DOg,mjvwfbcpmc,0.346,369,-0.133
dOG,-563,cgagfdnsep,-640,-0.096,883,-0.038
0.074,hcybshnakt,-0.466,-0.2675,ekjavlqnql,phqmyjvqav,946
0.2375,uafzorxadb,0.4225,mzhswpmwnf,339,0.2445,360
DOg,180,-0.055,817,-919,832,-327
0.124,qrwfyomiox,920,jhoknhehmd,-160,iznsxazqew,0.0935
cAT,-835,mftzrvlydv,-826,gmqzgwynjz,cat,cgyvlmuobx
qhnocwcych,-0.3745,0.363,0.231,-835,0.329,0.441
dfkzgijwcs,lollkevxdj,0.1885,-3,145,0.2895,hnxpcogokh
733,jvukaqpikz,-0.4125,-642,ybqxeclevx,-313,-777
888,DOG,559,947,dzjetetnwy,jwqocyxvqf,ncswfttilp
doG,fovfijsijr,eejmzirxsj,jqmymlsddk,0.4675,pegyuveufh,cpwddcrqzg
-183,kebqhclcbn,901,qxtfstnjkm,DOg,-0.0415,CaT
-700,dog,0.4515,vkjtbzfgcu,520,-48,ivakkptwxj
nuceopnpjj,-683,0.0245,wqankvyexv,425,0.31,doG
-164,-774,Dog,Dog,-0.2995,sdqwmfadac,791
njkqqesbad,0.3795,ilroecxzjy,utyevhiekk,0.316,-161,efglxhbtjf
ouaotvpvjv,xuczzwgpgg,-405,wovnanltcw,jswczyqvwd,oifbseyjdn,-784
cAT,doG,caT,kypczqmmmx,-0.3085,0.3105,-89
-0.3395,vxgbtdztym,0.48,DOg,-0.079,-0.3145,cjpdtcluyw
-985,-750,-441,0.4635,doG,-0.3955,816
fckfvgodvw,cAT,0.2585,ocnonodhng,0.0555,0.019,0.4885
0.3315,wwtngphcsi,-84,131,bumigasotg,-900,ujfdgmkell
ambehdhbhg,-0.3435,-776,dzozgkagun,ebgbfqthbv,udtjjkqrpe,caT
cAt,dog,cAT,cat,dog,bkrwcngvzm,154
qgggjdtmzf,0.149,dnpbwsygqc,0.4175,Cat,caiplufsdg,-0.1015
900,-97,dog,-287,0.3395,dkbifzsskm,0.0665
dog,-873,lqgkhzaxiu,xiprtsitqx,0.482,586,0.2085
sqnfuweihq,383,-570,xlrkwjwebw,fngmgbbejj,-156,-36
-957,adsigxnycy,-0.2265,CaT,-0.3815,0.059,Cat
-432,-0.0025,-637,-368,DOG,cAT,lxqmalzngq
-0.3715,pjtcvhkrrh,cAT,407,965,888,874
-0.4345,-836,28,933,ximggljdzw,110,qauiozopuc
660,qctzybfdba,784,hihgkfmhip,-323,-0.048,pjbiwxfwel
dOG,-852,-723,682,0.199,-140,502
559,-206,351,ytnarjfwse,-426,-0.1415,-0.2805
wvdwmbttqd,0.04,-0.185,252,dclseuibex,-0.384,815
xqjaegjwju,-770,tzqwalebra,-0.222,-40,-0.386,CAt
CaT,-485,0.2405,Dog,638,Dog,421
-0.3225,yknodulvwu,0.349,0.434,0.299,benhclekff,ksqoxnkjld
0.2795,0.4175,0.298,dog,-0.2285,-0.1265,-940
-0.1915,-888,dOg,-0.4425,-0.253,0.3875,-0.152
-0.1105,598,0.2085,0.0115,bqfrttapsf,0.437,cpwpkqzwnq
-707,-12,Cat,trfbcgrnim,-754,-0.472,-787
icqaiadvzy,857,347,659,-291,zndlkqrvxg,orwlixyydr
jcoxfddcgf,-0.2975,-0.3015,674,-0.156,cAt,-0.0695
