dsyyohvwwo,ltziegjpaq,fuggxjvrib,rrgmzpcvbe,jbbbkbxtsd,pet,jwneupacis
0.377,wgfrnowyfa,otmbcugaaa,-894,-752,doG,-901
iqpejkpypj,cAT,lyosmbnraa,crnicscbit,617,CAt,-170
-872,fymoodzsha,gzxydfgltx,-622,0.0945,dOg,DoG
pofpsqaxqm,-0.4885,-0.0675,rkomrmkykn,0.116,997,lnftdhbpct
CAt,284,Cat,0.045,cAT,cAt,lxukhpvvkc
ulvesapfvd,CAt,0.4185,0.1325,ugrjnslkso,cAt,0.206
-0.4175,321,-905,339,-828,dog,-0.301
-89,0.445,768,-0.4015,-0.051,doG,fsqpdosyoj
DoG,0.281,0.4915,spxnezajnt,fqmqtuabdm,-148,dmtufgrher
xctdphkgth,gjrgwmwenl,0.1575,-477,-589,CAt,zegsmzcijy
244,fbhdgwexeh,-0.0555,CAT,DoG,-593,caoabxnrgt
uhoscahjvf,0.4015,bmamklrtie,Dog,dOG,doG,bqznugempy
dOg,caT,-606,276,-535,dog,gzxessvoxy
dxzssugggt,dOg,fwoijzvbtc,-470,fpmjqmheyx,dog,-0.0315
0.324,CAT,-527,131,0.1565,dOg,-0.1515
CAT,987,-0.4085,876,229,iixumdluuu,-0.195
doG,-0.158,CAt,ukizqhtvue,-0.2725,efgxghmzjj,gfgkubolcd
CaT,859,0.0095,ceogxfuyso,373,DOG,ygkqrnqdrd
kkvqdycofw,DOg,tjnvgtmmht,-335,-0.4455,DOG,565
0.045,0.232,zsididymca,0.4305,ynaxlkkfnq,caT,flzwrbokoh
-0.2385,ykdhcuuoaa,280,0.0455,-0.011,bpnnluckdp,eqdtiqaozs
365,-895,cat,-989,Dog,CaT,dqxnfdbqmg
oemshzpptf,-0.162,25,-682,0.1705,dog,CAT
spvdyuryxy,0.1515,pdtvtgsywx,-0.483,615,609,-290
0.498,doG,-997,0.0265,-172,DOG,nxwksrkmks
vpxpaadabf,xvvrrmelrm,Cat,-0.0845,jizpepwlhv,Dog,bgnczuyida
-0.0175,-0.2955,330,0.079,0.2375,Cat,wlfvguakko
dOg,48,lhiduzuglh,-0.4535,dOG,348,hsielzvroc
0.047,rverecaxno,0.4985,-0.1555,-0.091,CAT,tlganpqqxz
-218,-224,dog,ssgiezgfqd,258,cat,qkniipnuna
uegoghaedz,yqryrhbenv,ycseczfilb,-0.4325,509,DoG,Cat
-431,arabslihrg,-0.4315,874,-323,cAt,0.3855
0.3645,-0.009,katvujamst,-938,-117,549,0.284
0.418,dOG,ernmugkoth,mmsldqzese,656,dog,cAT
CAT,mlykecctpl,479,163,kpnrmoxlib,caT,0.1525
doG,0.441,-497,dlxtifqilv,-0.3045,DOG,835
cAt,sddfuxzgdf,-470,-0.4645,-0.2185,dOg,0.396
-0.0325,-0.382,-611,dOG,-0.077,DOG,vqemnsxaww
0.2775,CAT,0.2425,qzzdhparqi,xgjkkocnee,caT,0.078
