bpddnablpw,norjyayzkf,kcijqfrzmy,peT,dvchdzyhny,ymjzvcdzgb
dOG,Dog,-572,-0.078,gupridlsor,dog
0.319,-0.1175,hueiprdnjn,CAT,dog,0.1385
0.3245,694,hdyebpvxll,-0.1915,-152,kykrblzlbx
0.475,ehvdtcjzed,doG,0.155,ycisueauio,-0.1755
-760,oqcvqwximk,0.298,Dog,-0.276,0.444
wlgxdowynw,mxxpathxzo,0.3075,dog,DoG,319
lvkocwnbwb,-0.1115,-708,Cat,-0.217,udhqdofzhf
-0.3495,111,-0.0545,0.174,-0.486,-446
0.398,cAT,potoxfkhba,cAt,840,-54
DoG,-0.3915,rayeaixchi,Cat,-654,-487
748,-638,wmpvhhxilb,816,-949,-0.3775
dOg,addftwmlmj,-0.317,caT,0.275,745
0.186,-0.0575,wnwnpxoued,doG,wchbztekwc,rdtyulvifs
caT,bpaunspiqu,994,Cat,0.4705,wlsvkcneke
129,-596,DoG,caT,575,0.0895
jvbtdokcsy,mrriwpcids,0.4475,-0.122,478,CAt
0.113,dOg,392,CAT,-0.464,75
-9,0.079,1,DOG,-922,759
dOg,-354,pqjmgczydc,Dog,jwlwjxiqeo,0.372
-128,hyqrrxlcax,yjtibvwvvl,doG,340,dog
709,-333,0.3945,doG,myhvkvkpxc,-0.2895
308,stifkiduzf,432,dog,-0.354,-0.08
0.0795,cAT,zcvautgifw,-65,0.4645,tyrapvpuzc
570,jhpanywwcc,-0.0475,cAt,vdjxmqnyoi,0.225
-0.0745,-0.1245,0.457,cAt,0.246,84
0.404,118,CAt,dOG,-314,gradchlafy
CAT,-0.1395,cburuxgqjj,Dog,ehpxzldtpu,0.3185
274,doG,-0.127,DOG,-910,ggfuhzibwa
Dog,-20,-0.0255,CAT,489,vtnyrlrlyp
awsnaidbsa,kpaffelqjz,-696,Dog,661,-0.2335
dOG,CAT,-246,Dog,hxmqjcvjpg,0.058
0.4995,0.2475,-0.2375,dog,doG,dcwbgngtos
507,653,zsezxkgksa,dog,DOG,xasklmyrjd
22,CAT,-0.283,755,-596,-0.1145
ndknslhpzt,uyrmtiyipb,-512,pgkntzqwoi,DOG,0.2345
-0.4875,DoG,-569,Cat,jkmtoticgv,CAt
0.3315,0.032,Cat,cat,-0.235,-966
0.3225,-0.3925,462,CAT,-0.0215,0.4365
263,635,gykhlcqccx,Dog,xgogzciwmz,wjhsasbzsi
qbvtboiwqk,ygoquuanro,0.24,dOg,0.4165,418
276,caT,0.439,12,0.0235,-174
dukxmpqplz,0.4955,xkkecjwias,dOg,jzcarnfqdx,988
-0.189,vujqkmldza,vgmjhslbps,DoG,-349,-0.1985
DOg,0.367,cAt,doG,0.011,-0.351
0.107,cAt,iayvmudori,dOG,hluafvklor,hvykidaygq
fnykuektdd,DOG,506,CaT,0.0355,-0.0625
-0.44,589,breudmtagf,dog,hoqccfiqtj,891
0.177,157,yrqnwkferq,cat,bopmcynxdw,-0.0815
732,59,nojvpcytwj,CaT,-0.4325,211
0.3215,0.2245,kmbjpurspn,-396,pcosljliff,DOG
346,DOG,0.4775,DOG,0.4365,-0.0255
657,-376,xyyojbmjae,caT,0.2205,794
jfhzvxjxcq,thvwirrqkv,0.318,DOG,-0.2375,DoG
-151,frhjvvucji,ucssmzdatq,0.218,0.31,-0.287
ntvvarhwou,-0.3555,glrudrlvcq,CAT,-0.15,dOg
kqenitfkib,dpbzxmptmg,229,-0.492,bvgemgbqii,-0.378
823,ecxvdlykdz,0.0175,cAt,aaffroyqoo,0.4165
cAt,esdveauxuo,-0.2035,CAt,cAt,0.29
doG,-0.4085,osaghoenxw,-0.436,unsifadxxx,CaT
DOg,cat,cat,caT,nwbiecwjgr,Dog
andixwkpzo,505,CaT,-0.256,Cat,0.2595
306,-664,0.075,dOG,-0.218,CaT
-0.064,752,sblbxinjnx,dOG,jrvhjeanza,82
gaulpxqsqa,-411,0.147,dog,14,CaT
-633,-461,dOg,-451,CAT,cAt
cAT,tcegdhaqoi,0.1445,-309,wrhtravone,vmdffzywjz
svlfozokbq,fjxqceaodb,0.2695,Dog,kqvnkhezhi,-929
0.047,979,227,-896,0.156,yebfxyywtf
-0.489,382,0.0165,Cat,964,ahgkugbfxo
rloujbahco,-515,-199,DoG,dOG,156
euayzxdhji,-685,-0.2585,caT,0.4345,filsekjziq
CAt,0.157,0.425,Dog,255,0.3405
774,CAT,cxnrttusfr,iapuvkljfo,0.0795,tpgvhqavmr
gjdkjbwxki,336,79,dOg,arxebxmhln,-423
irlmhjlxbv,0.4095,qcpasnnuej,DOG,0.476,213
-727,gsybxbfhzx,-155,Cat,-0.2135,0.293
-189,-223,dOG,cAT,oyjfmqexfs,213
Dog,cat,613,ggesrmogrn,Dog,bgssbqaabv
-0.116,yifhtgrziq,uwlgkftfvr,DoG,-193,wnhkuduggx
cAT,106,0.2475,-294,-0.3135,oxbmzpwcsj
pqhyozkmig,CaT,984,dOg,pdoxiebpeh,dOG
xwnqflzjrx,kitimwmpfs,npfyachcbw,CaT,suuaxinfry,558
Cat,DOG,0.3075,CAT,0.161,-142
-200,0.357,-0.32,DOg,-0.154,-0.1315
