wxaosimbyz,ehtmdfeomm,PET,zhebnrdmar,hxsswrbmjy,ihqcugprnn,brzfvooqbz
rhfemkedqu,0.316,dOG,tyvbrftxgv,815,icrhbyxfya,-925
cAt,doG,dOg,-0.4875,309,989,ameutxamgh
yieooqdizq,-0.3925,doG,-0.392,gsvckuygfg,wbqtnygocl,-0.008
0.117,0.3355,doG,-0.449,pohfqshnfs,-0.0245,-0.1475
54,-0.459,cAt,DoG,-452,778,sggcozwlpk
0.3925,537,Dog,0.1055,-0.4,ykxwejtfae,cAT
-0.3105,0.1035,-224,dOg,jmeaulhcok,0.3395,caT
-130,-0.195,dOG,ennlrnrfuh,yeoyyxriuj,-0.426,rhotcilyuf
-57,CAT,Dog,0.4425,0.2905,948,CaT
0.1675,fxyozgfeal,caT,-166,xnshalwbwi,-394,-595
-0.2745,dsswrpuohm,CAT,0.053,cvnkthhnwr,fxqtaqeeju,-378
goqihoicqr,-0.4455,DOg,-0.3685,mpzetrqfoh,CAT,uhnjfihiry
ilyhtjyffj,0.1955,-368,-0.1735,CaT,-0.0225,-144
762,861,Dog,0.023,-859,0.3495,-0.3085
-195,ykakpeegdl,DOG,xvayeobndo,0.4115,yzfrnfxgso,0.0685
-0.149,CAT,DOg,caT,-856,-0.0555,480
