qiyjilgyhi,fhfricxiig,nafezjdsbw,gadhpfacve,PeT,vjwssnnwry
0.0815,xzcyejsntw,756,-0.4895,0.118,xnqfddbavd
391,ynacgzkmtv,-0.252,Cat,dOg,jjaotcowim
-756,-458,0.0415,-985,CAt,ekzdobbutg
trjsmuypqj,cat,hoybxktvmb,hcrkemoeys,DOG,rlvnzvwbxd
ccxaledcjw,CAT,-691,498,cat,-0.0975
-300,-0.4955,48,yomdmpotza,cat,cAt
czsljbizoc,-0.0525,bdsonboais,-281,caT,zcvaocebno
Dog,rwuxurubzu,-0.4455,478,-409,682
0.3075,hpbkqdtvnd,0.115,0.227,CAt,qazavojvsg
khyrywzxyo,-536,inwufhwclo,CaT,cAt,0.307
-0.125,72,sejwewqvar,qwlpfmkuou,dog,854
-880,qrkbsspplv,svqbqwvqiq,sifiezwdlf,doG,scdhvlkcnw
-803,Dog,-0.2135,919,-0.1085,CAT
-921,-0.363,-439,dOG,DOg,-0.0985
597,ytojlzudzx,lmxexwoejf,0.293,CAT,0.276
dOG,caT,244,gavaiwhwqy,cAt,Dog
DOG,xzwvelpnrg,0.229,-586,cAt,cat
DOG,odfhujpkcx,796,dOG,DoG,crnuowezok
989,cat,drlvhrgych,648,CaT,0.497
-0.4005,-479,238,620,wcmakzzigc,ytindlwvex
120,-0.2745,kqtdcwrhpg,CAt,Dog,DOG
-0.4055,zxyfumhnui,zolnlojuau,dog,DoG,-0.2935
fmfyefkvnw,-488,-0.2065,gldfbkpzdj,xptgkopshk,-996
DOG,lfmxzowkwc,0.0835,721,lalyrvdily,tjsekjfqhz
uylfgnvjbs,960,0.253,0.054,DOg,recdcifxvl
ogcsmgydkd,fnuxdsmbol,174,DoG,cAt,zgbnjzkxhg
ucyxnkcfob,-570,904,433,Dog,zdliqqwtxu
Dog,njbkkyfgwt,421,0.4655,doG,puaqupwtvb
-335,CAt,dOG,jtjrosniau,Cat,-0.3105
qftangmapv,uckkxsxzdp,dhekuhpeyq,-395,CAT,ceksarvxdl
zfmjbnubkp,CAt,607,-666,cat,ngzqjoopwl
vfivzioamn,-55,vyuhppiczo,gocdxrqcrz,dog,109
428,208,-77,642,CAt,nextndfsrz
nztunohvvn,cjzrzfsdcw,bgtgezejeb,DoG,0.1985,0.182
dog,DOG,758,0.4995,Dog,-0.2285
-0.388,ndlxiugcfp,0.366,0.2865,DOg,-197
-58,510,-0.445,-0.4225,DoG,-536
-0.3285,994,DOG,Cat,-0.4455,935
-827,510,429,0.4705,DOG,qqxlpbntti
DOG,pubbimkvtb,whnaevcgvf,caucyaeyzo,dog,-218
zvdxqcznnz,0.3115,-38,-0.4195,cAT,-516
eedioigczq,0.368,cnyrzvcffc,467,dOG,-578
-122,855,oftvkylcij,jggisrcius,DoG,0.444
dOG,-0.282,0.1435,DOg,Dog,106
0.4095,-441,-269,-587,rylejartzc,-838
-0.2385,208,0.222,bkmwttuwju,cAt,0.4375
Dog,450,rrhrueudim,-350,CAt,0.162
882,0.303,450,-366,DOG,0.053
cAT,0.4295,-0.3465,opwxiptbhz,cat,0.4
easnhxmhhx,-534,ivepbhdaix,-0.321,CaT,-169
DoG,dOG,-279,fgbzgbhzxi,DoG,-0.1635
-879,0.3425,-0.0425,cAt,CAt,-571
DOg,-0.4135,qnhkxkbjjn,0.1715,DoG,cAt
0.423,0.0535,-0.141,wrrscifvie,dOg,doG
qxduigfgfs,-806,-672,843,DOg,-0.2135
0.1375,fvtewlrohf,-591,0.227,cat,fezughfvub
-805,ekfftqrfmd,vglqzuwerr,0.3675,crwtwkdegf,346
-479,Cat,-0.3615,qdivfmrqmf,cat,uyltwyowwi
cAt,-0.435,-218,-184,rdepirozcm,qhkylptwtm
-0.398,0.028,0.3955,0.3475,-0.1715,CAt
-600,0.4755,0.011,0.1545,CAT,-0.3
npmlxwntaa,-0.3795,0.207,239,cAT,309
cat,doG,sonfsiwonh,0.4085,dog,0.3745
912,caT,442,0.319,-609,0.395
-0.0215,0.1135,-0.0795,ciwhdmtwhi,0.4605,gyxqfzgjts
-0.409,0.1185,fliivadbhh,-0.053,cAT,cat
0.459,jjayrdzjis,fnkrnvpkwc,cAt,179,-0.4395
-706,civxjnhqoo,-0.2935,-0.152,cat,754
-22,ldftpuxhvu,bwinerrlji,-0.15,CAt,Dog
caT,-518,0.444,Cat,DOG,0.1235
DOG,kzipjvoidb,0.279,cmvmtncknb,dog,-324
-760,0.2435,fluluxpgsq,dngvfmytzw,DOG,rcchneadcu
0.115,324,-968,DOg,DoG,-0.449
-508,-938,0.0875,cAT,cAT,Dog
dog,0.1445,-0.374,839,dOg,dOg
-658,-871,rfypyeymeh,0.4225,dOG,-651
hsdmlaxiuf,-0.3315,epuspalzaa,0.393,0.142,kxiczixidt
814,0.429,athstlmwbx,cogxisunno,dog,-0.2695
0.3855,0.143,-0.0225,Dog,-0.366,xnsyvymbxr
0.1145,32,0.068,CaT,-0.4525,-387
-0.1255,taovfphlnu,-0.126,-0.4045,cAt,0.3625
lffaszydqy,CAT,88,184,wbfvpehejm,dog
CAt,stceikmgzv,dOG,-188,CaT,-468
577,142,jllccrqsgm,caT,cAT,yunwrafika
-0.377,-0.1965,yvabfghyam,-443,doG,jvedshkozm
0.076,731,-0.332,wdrvlctcjx,CaT,-0.485
-688,tbfkkpqgtv,caT,-0.334,dOg,-0.046
CAT,992,0.392,0.383,318,qzwvhvdegj
0.1085,-0.273,dOG,301,Dog,-257
kcfekodfte,0.292,-0.372,908,Cat,-0.0505
dOG,478,0.3455,-0.267,cAt,-296
