onvrpzfbib,rhqtdskfgn,PeT,vuhfpzmiqg,cupmzxleaq,xrxvvijsly,lmotmphfvn
-0.3485,dog,DoG,-0.261,-557,tkggpydvua,-844
zklafrruye,843,CAT,147,650,DOg,qcyivssevy
0.002,mvjawlrpue,doG,513,-336,244,oyrgcaxpma
-571,-0.201,DOG,-990,388,CaT,0.468
doG,0.1615,0.0965,638,0.305,caT,0.231
0.308,dOg,DOg,-790,645,oxbtmkgsib,dog
961,vhxqhteiik,DoG,782,Dog,stdaogropi,657
-0.113,-0.0565,doG,0.159,-0.4985,0.1115,593
-150,0.114,Dog,0.14,CAt,608,-584
557,0.4445,DOG,0.0705,wgtzunxswq,753,-736
-264,aqtruxgzrn,krdjtujgpl,opeyzcvsqv,-0.463,-0.1025,unrngltnza
bhvygbdoyp,-867,664,-187,0.302,axzoewoafj,-0.0745
-242,mmcfpntjqe,353,qronmppoix,-0.0635,athwmslcnb,Dog
0.47,iokuwldfdp,jwkpisqedp,-0.074,-425,zwabxwzzfm,0.2165
DOg,0.3005,-591,638,298,yphhjcbzyj,-0.299
177,cat,cAt,110,0.266,-424,doG
203,cAT,dog,qaonkdfdnh,0.184,edwwcqiabq,doG
atmqoyyphu,CAt,-668,hvmvrvkpqj,-483,vatgsedztp,796
-0.345,CAt,0.356,dzsyddlirr,472,-722,mwwgmbotkj
plcjolqzsy,nkolrhsihs,DOg,-0.3135,cat,prdirwvxaj,-0.346
598,381,DOg,-200,-0.042,DoG,cAT
cat,-529,cAt,DOg,0.4415,jbhzkbztrm,oagcwsitfh
Dog,tkuolsyvss,DoG,67,-0.4205,-0.2305,cat
0.179,-176,DOg,0.427,doG,0.281,cat
0.2385,-837,dOg,46,DOg,126,359
-144,pujcflfars,dog,fhyalfstoj,534,974,-0.322
0.406,Cat,dOG,245,-0.497,701,jcnmmnrdkn
DOg,0.23,smvjetycrp,-699,-532,564,cAT
238,0.04,caT,kaxnczxzuj,-0.127,204,-19
0.183,-0.3815,azzzosjjak,kybsarcers,0.364,hmevixtmfl,vvfnsmarie
-815,0.0105,dOG,hqnbvtiayq,0.1305,-0.235,-558
unybuatbxj,-925,0.413,xuhvxxgwxv,-0.2915,872,0.1675
qcbggmewwm,endiqhiynj,dOg,DoG,nrwkzwocqo,0.2835,ancgmejvyq
0.3935,-517,-424,-902,uopppkjksw,CaT,zyfqnrqdsy
qipoeccgfx,CAT,51,-770,CaT,451,0.114
108,qdfbqrkdfu,Cat,DOG,cAT,tddecrnktf,cAt
xfagkoyvou,ftohqzzktj,DoG,-539,yvcizphcho,-718,eqcqidpgsy
-0.3315,-936,DoG,452,73,wmbzxivjqb,-0.4945
ylinrigojq,-132,0.143,0.485,-907,DoG,835
cyfhigowzz,zsqjbiryyb,bkvgmejcfm,676,DoG,-0.4065,lcqlwpcpmv
-0.3815,-0.228,-0.303,qdpyoloagm,krmwloxfeq,caT,362
62,kucryywecy,0.155,0.3335,392,-0.194,dOG
-821,Cat,cat,dog,caT,jzlzehqrpr,angskghtpv
-0.4605,DoG,wcblheicxu,CAT,-502,lblppjtfue,rfovmrwmam
0.0495,-435,841,hrubjzfeec,-0.2165,249,-0.33
oqzvhbifnc,scxzpaanvt,dOg,0.102,0.037,-387,700
-0.4085,543,cat,ukzaphnddr,qyapmndgeg,-0.012,DOG
-470,dOG,0.3005,-0.366,-0.2505,642,-0.3045
-142,ebupqmitga,cAt,872,0.3695,sskitkbhzy,-938
-653,562,-461,dfgyhhekkv,-0.4495,voihuhpomx,dexdjhcyte
0.0975,wegxohjvqs,caT,doG,cAT,-0.2305,odqfhwlfjd
658,177,-479,-457,CAT,-812,-524
hvstklrved,pxmcgrlywq,cat,-0.144,72,-0.4875,dog
646,490,DoG,tvxlxzgsrr,-0.127,dwplwmlmew,DOG
928,CAT,hnowatmzkc,wfzivnmfwc,zcupzjwbib,-0.28,jsffxddipl
-0.0285,0.299,caT,cumbczkrwf,-73,DOG,-0.13
0.347,0.03,790,0.2575,826,ontjybpmad,130
hbtmnwjqnt,fkdajqouwg,CAT,mykuxbsxsf,rqieohdrdk,cat,DoG
-0.0345,iprxlzzyzp,CaT,zkwqntyqnh,-0.486,0.346,0.0025
366,0.4325,cAT,-629,-199,0.194,0.128
dog,qaebaxxamu,doG,assbqpvocs,cAT,237,doG
0.0655,550,Cat,ucyiwbuwnj,icldoojner,Cat,ofngrtieey
172,127,cat,-386,yqzgzabrnv,aomsyqbfmp,-552
qbzbargdun,0.2995,CaT,-617,asyyozjtqu,0.4245,-0.2305
dOg,sghvufixbg,cat,-933,854,cat,0.4575
dog,dOG,cat,-0.481,dog,-62,-0.432
0.489,856,dOg,sirfggsqnm,0.3145,575,-0.3905
cAT,-0.4475,0.129,doG,ssfkwqslny,-0.082,-0.3255
nkcroibqog,734,Dog,xboeaoxhqp,-367,-0.3915,358
CAt,64,DOg,zkkpwvlfbf,-803,ceanzxxekq,0.253
CaT,-522,CaT,215,-25,-0.1215,-992
caT,180,doG,-0.3735,-0.1895,qmtlvjjuhn,fgocrontut
700,gephcdrzat,896,-0.4465,0.376,0.4925,-0.3985
cat,pewnykpmul,doG,DOg,177,zbncwrlown,420
274,viyfdhgmnb,Cat,pshhifuetg,-66,0.308,ahftykcpop
zogakjlhbs,dOg,354,-0.4355,346,DOG,540
0.4795,-0.336,cat,CAt,-0.223,118,CaT
225,ewpwkfkemi,cAt,godqsxldtc,ezvwnelzil,doG,-771
-935,prjhptfahb,doG,DoG,-0.216,814,-611
-449,-753,CaT,0.235,gmlnhcnzak,0.032,0.2695
-0.278,vosvffdaqm,DoG,udcyrngxvy,0.2165,feibzxcjib,-72
osilpicchy,qnxlrxhsmk,CAt,-0.42,0.36,0.3905,-0.0405
oenmyefwnb,spnukodkxu,dOg,0.4205,-811,slcjznhccd,0.0895
368,yhzhkrscmf,DOg,dog,0.014,-627,-970
888,-0.413,Dog,mpgdqlyqik,ekdllftzns,CAt,-0.3925
ayfxigaqhd,814,pyjnlnowkd,728,asemkdutfb,dOg,-0.296
-202,-760,DOG,395,xzuinqkzbg,0.2155,xtljumehwu
xayebzkyuh,-0.0855,-0.2445,sxsqycsozf,0.0285,wccinlbgza,0.1615
doG,-350,dog,wsavplybsq,mzzsuhcvth,xqhrvcocgr,zrrycsfcfy
0.0895,781,caT,386,CAT,ctdmlwdghm,dOG
