tyadrfvyje,ddaegvvgpr,qgzvfaqebx,ljhhjjypnz,ofissrdtpi,boueqgiykc,hljxgxyulg
dog,hfwewxitzj,-0.2165,0.23,-0.399,jjujgpnups,zjiaiqfmki
-0.3285,723,218,ckrbovpydz,gqqjzhulws,539,dOG
kbppoxsauo,884,xvvltzkaca,oiueeyawfm,zwwufswzbo,Dog,uauiezhcln
yzwuczyyjt,tspbucrnep,0.0385,-0.0895,hwkysvkuvh,cvcreckfcl,0.0865
-0.462,-0.4235,-626,0.0055,-0.475,fiyrywhess,wlduaztcsa
ncsagxinis,CaT,wyluyyoorn,772,kfcjmdtzmo,ghlkcsolox,-0.2645
-14,0.2085,270,-0.1915,fyebytllqd,114,hodzazcnhe
-0.073,cAT,dog,-934,-0.105,vuulhtzuwk,ldeqxjgvug
-13,Dog,dog,-682,DOg,orivxqjwgb,-32
796,prrfhasafl,-0.1945,CaT,qenuujmugz,0.0375,lvrkzhboty
0.3195,eciufljszu,CAT,-135,33,-0.2655,0.1295
sbairkiais,-98,-178,0.471,0.1465,-0.204,cAt
nlugbnuxho,nhhndwivle,dOg,-639,0.413,lkrdwxhawm,ujimnwtqap
aznktfjgvy,xbnihvngts,DOg,DoG,cebeayqgjh,rlpanycdng,-114
ccuorzxius,lorazirpnb,igcqjqzlez,caT,-956,227,416
720,ojbivuwtxj,qklrppegkr,-0.2125,cat,161,-0.3225
yzekogxtxd,0.1715,CAT,203,ifdpznevur,651,400
doG,dog,0.1475,-113,fscijzhycu,-0.3205,339
lhkgnqxbqe,ckemtffdpl,496,-0.0745,Cat,wgdzfrzddf,osgtwiozyg
gpjptwszxm,-0.3585,0.1125,316,fuvcllexcd,515,woflptffgd
gywauuxkcg,xezovlipzs,dilfcvjkui,-553,223,-0.4515,klqsxptgfb
630,dog,849,0.0565,266,CaT,Dog
0.2355,-717,wqqnhrejrk,zdwbfslcvr,-368,zowfbvktyg,-0.412
926,712,-509,944,-0.2275,-612,doG
CAT,-0.135,-330,gvynhpdqxd,-381,DOG,dOG
rfylbmayua,svxdjhfetj,0.202,-253,ifrsnvchuy,doG,-379
nmygvsjgnn,-702,hgpstagamz,-638,aizchlcdlz,doG,wefvdlgcfb
0.3855,527,0.0945,-830,DOG,0.249,326
awolpibkqq,rbalrtgebv,jmafaygcjh,cAT,kipifasrrn,-325,919
dzrhmblaoe,-688,-0.2425,klhsovlfjv,-0.098,0.422,doG
xxtezbbwmw,CaT,uyanhvgldo,332,-278,dog,ylngzirzee
87,dog,jkicfrcihf,hfdsyianof,-76,-0.1505,0.12
tnxitmemhi,-972,0.254,-948,0.158,-0.4895,-0.3545
101,270,896,-669,CaT,461,fhshnslvuc
dog,-0.143,lmttauzxkm,trrupmdasv,0.1315,hudedmfhvx,-0.4755
411,827,DOG,-529,124,0.374,dog
ixqtpwynok,-0.4325,-385,ulygnaxjnn,dOG,bkxwhgsnlg,jdzjiybljq
dog,-328,tsjmpcuaad,-0.0205,vuistiommw,0.4895,DoG
-631,Dog,-0.232,-0.0925,-0.313,cAt,-302
