pdezwecgee,khzeholvgo,esokoihuko,ciqdvuespf,fwldbebfhk
-0.038,23,phkozxqwpz,-512,-223
0.4635,DOg,jsgqeakxer,-0.1825,dtpnhmusex
0.366,sguycjnved,-850,qgkxweedpw,0.3585
-337,mmslnjnxan,kfmyrybpkx,mqqkbzfnds,dOg
ncxeruilhn,-0.4345,560,xcfcpllthj,-0.0975
qxtuaojdew,-782,dOg,qcozkdwoba,esguhxjjfw
0.387,pnhghitufk,DoG,0.119,540
-752,956,dOG,xhuqzlvxux,-965
-0.371,-638,ktjmwmfqxf,mzdtjyyfwd,0.4115
56,377,0.2895,-457,0.371
0.4265,-210,arokqpgprn,CAt,DOg
-0.01,dog,zajgtpkfxt,0.194,-460
zzgmhiypwy,755,zmdgmeilmo,-0.44,-0.2055
dxdqdaotav,360,-519,-0.284,-0.4945
DOg,yxdpqutzch,-375,DoG,DOG
doG,vwlxbureqz,0.1305,-0.491,amwscmvspv
dog,jsoeaflskk,0.3035,qalifojrrm,dOg
wxdkhcgvzr,nuvbsidius,akcpkybkur,269,-691
-0.045,CAT,qbguowaqjd,405,212
xtaudumbfm,kzefwfaxha,zfxgxilauc,0.259,dOG
-0.4675,nalrzbsfjo,yqfielwxyr,227,xwhlktcpes
pkkwanszhf,247,khjetcejfc,DOG,wlniwqhcfi
0.253,-125,CAT,307,dOG
-0.0365,-5,-0.227,0.261,-0.4375
gkzeiirmnh,479,dhitqsgusr,CaT,doG
-546,Dog,-0.4275,pblbmxyehu,leglyvfvyg
-332,-0.196,-0.173,ovtgxpshnk,haskohwxmd
bgmgwlyqfo,-0.31,-687,-852,outuubpkqz
qbwfewscur,0.012,dOG,0.375,-667
606,xgzbenrtdq,algeqlayhy,291,lotjnlamvh
DoG,dggzzqvxjx,-0.074,uvtqpjhvks,doG
gnoqshsihp,njzbdmvyyg,-614,-0.4685,-0.45
llgodjgasf,DOg,0.3685,-362,tnawwnfkbl
169,0.392,bfhbmozxcp,108,CAT
701,kugmqkgezj,-0.4705,oklrstrwvz,204
-0.5,-83,-0.1595,0.088,-204
0.374,-578,0.143,-47,0.341
numibbaqyn,xmhradchnr,-714,187,-0.038
lgpenngrca,-637,-905,deyuvaixhz,131
0.311,dOg,-256,btjuifuvmi,axtcgvoeqx
fmholxsrms,obegfmrhqf,-707,CAT,cAT
tsjicqjdwe,37,182,-0.395,602
cAT,mebtptjhhd,cat,0.2705,334
-0.404,252,0.15,-683,-684
qpxnfysyou,0.1015,tejxnidzbn,0.459,bvxmkhtrxu
dOg,0.204,-596,0.2305,fjqvtcwckp
jsjbpheorf,bnkxdrscbo,-883,cznewszvuz,caT
DOG,cat,-0.4615,gradtdsjpk,0.2695
cat,qcbqddutqn,615,caT,vqlzebpqvi
0.287,169,0.121,833,qfhthgsvme
Cat,0.4145,-0.138,wkjcrovbrv,-0.303
585,978,-0.495,0.0015,-602
ygvvkdqtcr,zmzqztzmhw,cat,DOg,jfomiakqof
-859,cat,dvijxuawha,-800,qbqiaexxvg
-0.216,nlzmugppuf,-0.1705,702,0.2765
469,qjifpiwwfp,xsttvbswey,Dog,jkstzygtdt
-313,wkfkgfoddq,dOG,savmadyzyb,DoG
175,ocdvaucfpd,-643,0.0475,okazatalcf
-677,cAT,dog,0.241,ycudohiwzn
cAT,-0.345,0.454,CaT,654
rnnwsxzswt,DOG,nfoddwiqzm,0.2215,0.333
ojalwhddgw,-354,kvixtjtjql,-0.3795,CAt
0.266,voigtxphjy,dOG,cAt,-907
DOg,DOG,epwarialyk,dsmgevdabf,-0.2255
122,-751,blvrcuazgk,657,-64
ptwzcmngcc,coyzhiefab,icpnuuukez,0.347,ylmjffxtno
-0.3905,267,0.326,dtdpsjopyb,-446
bdarqcvbys,740,DOG,CAT,qpxeodicoa
0.402,0.2085,btjnxgjqwg,0.3595,DOg
zldllhcqhq,523,0.083,0.3155,-734
-0.342,-0.4115,scfffycwuz,pgnosabzpb,-31
tckagupmdb,caT,-0.035,54,gjbpalebkn
-969,hggacwujwr,-114,-540,881
aqwrqyvgif,DOg,yraqidnwfb,-172,ailusszufb
-0.2635,Dog,ugabiispyi,0.218,crtbbfkqjf
457,-0.2585,494,135,cAT
284,571,fbitkwpgqa,104,hazhkoqdqn
stfdcegacu,dOg,tlnalgmxnt,552,0.229
qkgqbotmse,-0.348,-826,-135,550
-939,cAt,bdsyxzizod,vfrnkygddz,jtnmapyfkz
-123,boykkgcqrx,-0.2455,2,284
novlquixkt,0.254,acxmxcwowi,-590,-812
0.2375,CaT,-0.1555,CAt,-0.29
pcjxhpqjti,-0.5,708,-782,-267
0.075,782,DOG,-858,uadvryeton
-0.121,doG,doG,-78,847
0.1675,-0.4885,-0.4335,-0.1545,187
0.2745,CAT,-774,-0.1605,-557
949,ugispghmsv,-75,awwpuasjlu,-0.2465
CaT,cat,-861,-19,ttichwhtvk
uinglqrxhe,hwcusbkuhw,dOg,-0.134,-160
-0.349,ygkwjagmby,fzvvmlalxg,edjhvehudf,-0.4915
lvjyhooith,482,-869,0.4785,DOg
