pcpxhittfk,ujaljohteo,qgmztsymrw,pfqxevzfnp,eapsbrnaaz,xklkianlrs,pet
DoG,ctxzrfergl,ftfzfnisde,0.0145,gqbamgheii,-0.1995,DoG
siossgroea,289,0.481,-0.2555,dOg,-339,caT
0.178,0.062,CaT,doG,-0.2745,-55,Cat
0.0945,dsaltkvpwh,0.4945,-202,talhwwxaio,52,Dog
-495,ztzhooxrfu,108,jceietovle,0.176,-0.1195,DoG
-0.0955,eohtgfcchp,-39,0.19,0.4045,DOg,Dog
-0.3455,-0.3805,-807,-0.384,0.3045,532,DoG
Cat,125,-0.043,CAt,CaT,-0.0245,DOg
-955,ktajcfmxkf,ehlifxdfsd,874,-0.0465,izujymwdsc,Cat
bdahgyiirz,937,ktwdomszmp,cAT,mwdxbjtoxo,-0.0985,-0.422
-691,0.0885,-361,-336,dxoqppkmbc,zybacqrtch,gmrwikulhh
-821,qvpwrrtqxf,Cat,-0.1035,bciyndscrs,-0.425,CAT
phfadbiffk,366,-0.4665,-842,-0.1365,862,CAT
0.1835,-333,-0.181,caT,0.2005,564,CaT
DoG,-272,Cat,Dog,0.182,DoG,0.377
423,yimzptbqve,Dog,wuufjzxklp,-0.024,Dog,Cat
0.33,nxtnzgebgy,cAt,cAt,jxesvevlch,dog,Cat
0.08,-0.1185,cAt,yupoadpvts,cAt,yuhldqnson,cAt
305,cyxxshlbcu,CAT,mdeevwzwzt,CAt,DOg,151
804,aqqehqzlys,cat,-881,DOG,0.455,394
-487,vkptypuswl,-0.492,cAT,382,-0.209,vxryjddrxc
tpjtcxghye,0.116,-781,-0.0315,mcwywdlfnw,hkwivxnwft,jgqvgchcxl
0.0905,-0.1835,-0.037,cmgcexzgvx,CAt,doG,dOG
-339,ifkcrbjyiw,578,zfyetcjqdw,tflashqzyp,zcfvktczhf,Cat
-883,920,951,154,dvbqgbiyhe,-162,0.082
-0.2325,-0.39,-0.234,-0.0975,-72,dOg,DOG
hfwpvrlvcv,ugdqsynbmd,DOG,xcuhphymes,-348,-134,tekugcuwyo
