ltfyupnquw,bduyfldcph,pET,zwjncjramq,txogxnuuam,bwctnzbqxv
mgmvsvtxvt,rjtxxzviuk,dOg,-34,-0.3185,-396
0.0265,uelzgaejjf,CAt,-968,napwobejfn,yabtezcvkf
0.414,902,dOg,-26,oxqexlkhjq,-254
ysdotloazz,160,CaT,uygtdjiqht,-0.3455,DoG
-0.0795,0.1285,CaT,-245,fyvxcjfncn,215
0.0465,-0.3895,-386,0.139,cAt,ujzazjofqp
dOG,645,dOG,-749,Dog,-0.1245
Dog,vhuiyfsyou,CAt,917,0.3235,0.4225
0.198,-59,doG,0.4145,-0.446,DOg
-294,0.4805,rspzidhfau,-0.0445,-0.18,owchychjfk
vktyknmhwn,978,Cat,eodqetbhww,-413,10
DoG,0.263,cat,DOg,coyzqjvhzx,twsskipite
ufiqwtnfnp,12,doG,0.4095,0.1325,0.305
mamykiydop,cat,DOg,-453,rgiphfllda,698
-0.416,-0.443,DoG,dOg,-0.4,0.0565
-0.101,-272,jrlwjldivs,fxntbjwhqz,-278,-153
-0.3145,dOg,dog,kwasnpungj,969,doG
