rfiomqnquq,zmjpvmgnmk,kwlhrnhqfe
-687,doG,-0.2625
0.128,sspkphwsop,vmerpnbgfc
-2,843,-77
-105,oqfvwaaskd,287
CAt,-432,-527
DoG,nkqhuzvsfb,-0.474
CaT,-0.2575,-0.4455
16,-0.3915,203
0.2345,0.125,doG
uvhqwqibnz,xusqspsksn,-382
0.2955,jrggtqcrxg,jorhsgqjtl
0.3,idmddyamwb,0.067
doG,narvnyyqki,fntwdamsyj
vxauhnbukf,DOg,yaztdcubbp
tzxyokitvm,0.4735,wlhztzfeox
-0.087,701,lmmszigzvq
-554,77,397
-286,eatdwrqcll,599
zkwqcqzkez,DoG,-614
0.446,saphmnpzce,DOG
DoG,333,-791
911,sonzsrmvbh,-0.4755
0.4225,-615,0.3495
0.106,0.0795,-0.117
85,DOg,-0.0105
-0.323,-0.304,573
kfesumrwvh,dOG,pbzznhzaiw
bcwjxrxlvr,CaT,-0.0345
CAt,dog,voarcworut
-229,0.4575,-608
tlnfmkvqmb,-0.2155,ojwrfdenqc
xzbuptnkws,0.454,dyixnpnjpt
knhnixxchm,0.0075,0.401
-0.1475,0.3905,dOg
xejdulokez,sxluedwucq,cat
571,-790,861
thslmerpts,-0.105,dusmjygcss
jhsbntpwjr,764,-140
CAT,sbgdodcnpb,-0.3315
8,-0.1995,jymhmtoorp
124,DoG,310
229,qnzsviiptr,-32
472,DOG,-0.43
908,0.15,-602
-185,qiorehvlwh,0.301
lncrqioyod,-559,mmnuseuebw
cAt,272,CAt
-283,pfqunbtqcw,-0.051
-405,cgfextxxft,-0.152
