vsiqldptrj,PET,ophiekxgak,emctwfomie,aqvfbdepla,tlvnxsmjlw
0.3595,dOg,0.4795,-696,CAT,-0.473
-337,DOg,wjbbprhcwt,-0.0875,slpjdqbcmq,hmuoqoeqoz
cAt,cat,unuqizqpmf,ftvyqxcayh,xaudktqmhl,-0.185
902,onvdaokiph,0.4175,cfgoorhacb,fedbuykgjd,-0.2525
urfvvshsll,cat,qhkqmtcpvb,-880,Cat,zifzppkbxr
rcdhrnrbkq,CaT,dog,0.181,dog,0.0485
bqgnjqoihf,550,frmeqinrqk,-655,eikzjunssb,DOG
-0.238,dOG,-622,398,yqsvkxykpb,-95
-0.0665,caT,282,-154,kqsyustxtu,97
0.236,Cat,xmvrtsriss,-676,-0.0115,DoG
qjubzhreak,dOG,dOG,-164,-328,-0.361
-771,uwffbsnomp,278,CAt,vpglaqwycf,685
-0.141,CAT,qcecixzkbh,cAt,fbtlfuwwjn,brjwbeqmwo
doG,dog,wygxanookh,0.4825,701,mscrrydlhl
-0.2795,dOG,331,-118,caT,ibihygqzuf
cat,CAt,0.2685,Dog,0.415,DOG
CaT,DoG,DOG,684,-79,DOg
dOG,0.17,gtsysufrdu,tjszxvrbyn,-37,-825
voaapekgax,CAt,0.2135,jfinvpxdta,-474,0.4575
-510,cAt,ivmmyutoth,-65,234,-0.342
301,DOG,-0.0995,0.4855,DOG,997
0.365,CAT,koejumippm,491,-0.3405,-0.0025
CAt,CaT,-0.3105,-0.3,-12,0.3755
qdjotzbnkz,DoG,hhmmqirtup,laszniudtf,-0.0105,bvkvbbaptw
-0.204,cAT,-0.0395,DoG,DoG,0.464
fjinimwjzs,veupyycpsu,-0.0235,kijukdnxra,-603,-829
DOG,CAt,-259,0.2215,xcjnddibnp,xuwzggbfte
cat,dog,223,0.0165,lwiycqkizt,0.331
CaT,dOG,-767,-0.4565,DOG,dzjhpcbnpu
485,cAt,dOG,913,gjcdxanwlf,ylzupjpnqq
-965,dOG,pbrpkroavr,CAt,dOG,-137
0.198,DOG,rrdfkandna,cAt,-670,433
umjxcvnkzt,dOG,-535,ggrvsulqua,-0.08,-0.0905
0.0745,Dog,wfitumyyvw,-104,0.4925,-489
-652,0.46,0.3095,vfjdlwmzsf,-312,-0.18
-321,cat,qdtwvfzxbv,CAT,316,DOg
-0.448,-445,573,zscqahlznb,pxcpaotgiy,-0.248
-0.4465,Cat,-44,ffsbrbwxtd,0.323,CaT
-0.18,DOg,fgmgfshiqo,956,cnltplkysk,cat
eheisdyooa,imzvcumkdt,mgtkwqtaez,oorzqtktks,rmirvdahvl,477
