iaapzubmiy,wdyfdztxyg,rlbozmvubb,idpheamvif,enktahicis,muahmwubct,uhxzxetyph
-334,hhepjsinpl,CaT,-0.215,896,rbqraaecql,lguwflhgpw
dOg,-52,-959,519,0.2445,-774,urnhtnmzjg
dog,-0.079,xuyzwwpkrc,0.274,0.456,unglnbpusn,stbrovaqmq
gaivcrcgjw,0.2635,0.3745,jjedozwfbq,CAt,zgpbmplswt,CAt
ppmvmmrnvb,401,-0.1405,dOg,ofbwhfsznv,ixrhqytlrv,ysxfvsbelb
osquudpggx,-0.481,dOG,626,112,-992,dog
amfucmadeo,-0.0105,612,649,hezdpieeow,0.0265,0.4705
-462,uqocukagqs,0.0065,CaT,-838,zgeygxrhvj,810
824,CAT,499,CaT,206,-344,306
-92,ksvmpiicaa,zfxikgstnx,-0.137,-151,653,wrznzucvyd
-238,-895,txexpmcrkj,-0.415,161,CAT,-0.4635
903,225,0.3065,klzltwxmbt,ejmbufcvuw,-0.052,CAT
0.3165,0.1295,0.113,trbhbjbjyq,-0.3595,0.493,-216
188,-0.3155,lieerhqwcm,650,-0.425,0.197,-0.356
hhhzrpsjss,cAt,0.331,-0.4095,CAT,cAT,dOG
Dog,-0.4415,-0.2925,cAt,kuewakwqfs,60,dog
CAt,-0.459,huywlbbljy,csqgnyfejf,-843,762,cAT
vbavnoslpg,613,0.43,-706,DOg,ufmvowuknu,-436
742,-642,-0.1665,0.4285,upyjrlgpsg,-0.077,-160
-512,-0.111,exwuqgypdf,vxhrtoxczn,315,CAt,695
auukyddsqv,CAt,CAt,CAT,-0.1775,0.453,rpzmszghsf
0.0215,CaT,rkafoxeifz,DoG,CAt,zzwosjojpe,bapttvrkbo
0.417,0.1875,Cat,DOG,0.4845,-0.3035,dOG
0.4845,-0.4805,bzjxgntgnm,iyvfzaxzqx,0.379,-831,-162
525,-767,nhagvijwaz,DOg,caT,697,-0.447
kbirqhxlby,946,rrquijlnat,0.428,47,cAt,-0.48
DOg,-0.4175,-0.407,-987,-0.062,glgseiweji,Dog
xmvptdiqyk,caT,vvjalwdper,spzfmjhaso,bvrktlgksy,757,-0.3975
