gfloitnmth,krstwzbthp,uejvyafawo,fvcldhborw,vplddwcenc,rzraifsrmt
-0.3985,0.4615,-448,CaT,DOg,0.3205
-467,0.488,-632,208,-0.0155,0.1725
evtosybsca,-690,pzcwxgrqlz,kompibtyps,674,263
0.0575,-0.056,-0.3375,zekudqcrpd,sggfvvewwe,dOG
-0.275,DoG,13,fkvvyavbxe,0.122,fpydycseap
0.095,0.143,gnygvpxycr,blzpezqlco,-320,amqfedozbb
0.161,-73,DoG,wxqpshbyrd,-0.094,0.321
-0.392,lqlmofrftz,sujlksjuyw,CaT,zqydkbdcbm,23
-0.1185,-73,dpsigdthbk,ocmehohppx,962,412
lukdipprcx,857,-658,958,-0.479,51
-0.1615,kgitrbgrub,-0.397,-816,-0.2735,-290
0.173,-0.412,szbjsbdbji,239,tkwcscebfy,-767
jyemikkymg,245,0.4295,-0.0865,-189,vlwysmmolx
cat,-0.2,884,0.349,caT,ywsjbyinok
CAt,-917,bnzjvfbwyt,-0.034,atqstxtuim,cAt
648,epgqwwragl,oovbgtblrk,cat,137,615
0.045,DoG,lznxsvurhv,94,-504,23
0.2605,-613,CAT,-388,777,-0.2965
200,Cat,jhtqdnpnfu,iiwjzocdwx,-274,Cat
rqcuzbjatb,-408,-981,0.0735,DOg,Dog
-794,vywohezept,cat,tcvzuzmruj,51,cAT
nxzwootkkb,524,-0.3025,ujtdszmewm,-52,-0.058
-666,umfkcdujxo,703,0.107,ljbcrsujwe,cAt
176,-0.0075,0.2585,CaT,-0.154,kbapvjglqj
pnuldshfyk,sbrvqedksc,-0.287,vwrctwidwi,116,-840
eikubowzlu,renardrzuk,-0.475,Dog,-0.0995,cAT
-0.341,765,Dog,CAt,DOG,-0.461
-216,zbkqixnbju,cAT,723,0.128,0.297
-21,cAt,0.1955,dog,fnenrsgcpr,-0.3635
-712,CAt,590,609,anvbrczhpi,-0.4735
453,0.3015,-0.477,DOg,-0.0225,650
ktbcntjhsi,puzpjojzyf,0.482,zlzfqhuvno,0.3075,gluczjbxts
-360,aaxjmogxrk,rphyvywbfj,qtuskxpnvl,0.0185,976
0.379,0.2035,-0.2265,0.154,idznvqvcmx,0.249
jglvmlpaig,tehndumxcu,0.383,-2,567,cat
xprsznyees,0.392,dOG,133,bovvrdgdpf,754
hjyvazacid,0.254,-0.0585,DOg,-0.4805,683
DoG,cAt,qkmomrxvyj,yypdqlbllt,-0.192,DOg
-440,0.022,0.061,619,-973,cat
-0.2705,qvnkyfojet,41,0.3865,-495,cat
-0.2865,doG,490,-240,-0.4525,asptrwqbnb
doG,-150,pekfxuniej,Dog,0.368,yppplkmjzy
DoG,cAT,Dog,0.358,vcyharpkbp,-0.325
48,569,0.0585,508,373,dog
-193,lvldoadrfo,0.195,antdzixads,176,-806
-0.2855,caT,-546,-811,843,-154
931,-387,-188,380,-0.1645,cdkcvdulob
-745,-0.299,CAT,-0.226,-566,Cat
doG,-589,-112,-877,enexkwcsme,556
-0.3845,678,-0.2875,778,495,zdrpwzexdr
0.0335,491,-0.385,-0.418,-0.096,vukchobpkc
-0.256,8,0.4565,jnrovkntij,335,-794
584,-433,xknltjilmj,480,826,dOG
DOG,-0.019,Cat,0.165,jzvbjkzxbq,621
cat,389,775,-355,wmwoedugrh,-0.3655
-0.47,-835,CAT,406,CaT,0.074
-0.2795,akofeccysz,0.0885,-532,CAT,0.2465
847,0.366,-276,541,zfujkirbov,-0.1355
741,cAt,cmsynedddm,-0.124,-0.4615,roxacjkxpq
-0.0355,-286,doG,14,27,0.2245
-0.393,cAt,-121,Cat,311,-0.134
-61,-0.005,-0.058,itahveflyr,zttwwegnwp,0.3345
431,957,CAT,caT,Cat,dOg
kxzczygvfu,CAT,DOg,jmfoofidbp,0.1865,qlanclgzcf
-0.2855,ltreqrcvsy,abeehpzatx,naznfynodw,elxxjoauzy,-0.1255
gbfphmjsyk,ieoyokgvky,duxetmbuaf,ykcuamchrb,-51,kxdkijswkg
327,0.1195,-267,smutwjqstx,0.4145,0.4805
DoG,DOg,0.4135,lkgtejrtex,-0.3855,Cat
npdoagwbom,0.398,dbcqesdmcz,gcezyeuxek,133,759
-0.065,160,xwoyqhrnzb,yawmqidfud,DoG,Cat
cAT,heotemnykx,xxlrzlcmwx,694,etktxsuahl,783
iimhtuvurc,-0.4175,DoG,cegidmiyyw,-0.15,104
rnzrgnozfx,xsgyjfhbqq,-326,cAt,450,awwmhpcwon
doG,-185,0.2125,273,-0.35,-0.402
afczwakmvr,cAt,839,-0.13,Dog,248
-0.0055,bknainxnyx,tkmwdsvshl,0.261,-674,bhcbirjuxr
aviltwahrq,0.264,dog,-870,-0.258,bvrcuwpfgc
932,dOG,caT,0.4275,CAt,pslrkewvcj
-0.125,-600,0.331,dog,fphdpwdhbj,0.1195
0.1815,996,gfssscahkk,-0.003,fncxxvpjqn,cAt
thnoywcahs,-0.1865,xggyprqkku,-0.3775,491,hzfrtknixv
CAt,fxyctzmjlq,-0.276,bpeenklwyv,fnkgnhfhxg,0.409
jimahmytmh,-0.4945,855,-919,xjoynagqld,cAt
649,caT,jvwrchdeda,Cat,Cat,ibouvqanuf
-151,zcmejglqxm,cAt,zaddqxuxcd,0.099,icivsqmllu
muixozuoun,tvefejtpix,cat,CAT,sfcfeovemv,0.1225
0.1955,kcksklpere,0.0205,272,znsiiggpkv,ixeuxsdkqw
dog,-633,caT,-0.413,-0.1535,0.2225
140,zhoxobsfzl,537,dapdfvpxef,588,qszffydvsw
CAT,0.3235,vhxarvdgkb,DOg,CaT,aqqjpfnfrs
