pET,qtioftbrzp,hcqhemzgot,gqwadvcyxr
cAt,217,0.22,337
doG,353,tbtdlclhku,-106
0.487,-653,CaT,0.31
dOg,-0.1105,0.379,jlgfqfruqs
Dog,-230,ggvqupsvzd,-0.0475
-0.4965,0.1015,0.303,cwhlwqxpmo
CaT,lptfekdzxs,hakunftlsi,dog
DOG,720,98,DoG
dog,0.129,-51,dmrborxmhw
CaT,-0.439,333,abmconczti
cat,-0.029,-0.0115,808
dog,dOG,halvbtidph,-0.092
cAT,hneebjmcht,-605,nckvudpdus
-0.0795,lvlndloalj,ggydodfmsi,DOg
-762,0.2275,Cat,-0.074
cat,-0.496,Cat,653
Dog,eablfibaxm,-736,CAT
dog,gwxngrwbgk,853,potowcwuzj
CAT,-215,136,npvohcjlgc
DoG,-844,akjrjyjmwg,DOg
cAT,sywtnsyzru,164,0.1035
619,-0.3305,0.1465,dOG
dOg,655,-683,0.4415
0.1985,cAt,-0.4135,-0.054
Dog,zkpemfvcik,0.435,-0.1105
doG,jigfwictbo,cat,-878
-0.321,497,CaT,slbveztfup
dog,374,gzaxsrvryn,kjtusmhwcz
cAT,382,811,-0.472
-106,-0.1375,-0.029,wkpofqxiix
DOG,cat,dog,-576
cAT,cAt,trqrtdqcjq,219
DoG,dog,-478,-891
bpnjubbaci,-810,gggbgpulmk,aguvayvixa
doG,-825,0.314,0.179
dog,-0.2615,0.1575,-503
vnbqvcdokf,rjklgdwyst,zrhxcnsgvk,-0.4555
Dog,mibzmygdoq,quoruydfkr,xszwsqbxnh
dOg,928,-0.1425,0.4255
-962,xmnhqqulgx,-229,0.39
cat,DOg,doG,0.0565
CAt,-0.0885,odokofsplf,lsissxkzfv
DOG,uosconpevm,iqahunulyn,738
soyetxjbvu,tnokxdumcr,418,kxslmqiqcg
dOG,kiiwzyszwa,qodpwvyygy,-0.089
cAt,-0.0895,-687,lhiikxgvgz
cAT,-467,dog,695
cat,iddnwaatpx,121,doG
-0.3145,hkpmnoqqwe,icvziruynj,-0.0585
gzridkmqtz,-0.181,-810,-559
biealkhkjt,-0.051,DoG,shkxasfnfk
CAt,-428,179,-986
cAT,wrbkpitcmy,821,142
ejvpbtmlwa,doG,vhnlcqjtxf,DoG
dog,-788,0.238,dqdyquolrs
