awigduqdcz,xvkafhhhth,zjdcgkdbjv,iwzjuaxrbj,opydftjghl,rawqdllaup,fozdvffghm
949,zzdsodcshw,-148,hvnyzabisg,brepaulbtq,578,xgalildlzy
dibhgsqcxo,ccxjqpwtum,-0.3585,937,633,913,0.3275
-664,Cat,-518,-0.115,-0.2535,0.3445,-464
-729,810,0.382,fvhjpyofua,-0.279,-0.005,DOg
-0.3665,566,dog,vkiseweivy,0.2955,caT,eqiccsfuvg
xsupmuawla,-0.0605,-0.2505,-0.317,cat,-802,-0.3045
-182,Cat,0.266,-0.4735,qlkwkzxpfp,aqznjfjlkv,0.302
0.059,0.3015,-0.2975,mqnnpybvvr,-0.476,pxfsklcqjx,dOG
dOg,815,-0.373,933,dOg,DOG,doG
-212,0.1665,vmiwsqkuen,-0.0645,589,DOg,-0.3715
DOg,DoG,DoG,iyrmssmbju,cat,sheyturngz,caT
-0.253,-0.3245,0.1735,-828,qirkzpfqpw,akakelmdqq,ciridrtmbn
0.047,recvhfcshv,-259,tbszebcbby,rdfyvyqnco,gbxjpqcyfd,-323
ghoxuqzqws,11,-0.1575,DOG,ufotgkyyox,ljlhzxyins,jwsotqtxpm
ioblnzayag,cAt,0.2975,wuwgawswvt,-504,468,-0.118
0.4625,dog,0.0875,-0.208,-0.1825,197,mcjemaumvp
DoG,-696,0.381,612,0.3265,CAT,-0.0795
CaT,-490,sukyrcwxfl,0.2515,ykdsykahmw,dog,-0.081
eztsmipdgo,-920,0.4265,caT,457,Cat,0.1935
-0.282,trirtbfzqi,0.1345,599,-254,boterhnxit,hoetvambrq
-348,-0.354,0.0565,CAT,cAT,cat,0.315
-278,-874,kxvcvscldp,yrsyiljqcj,CAt,0.495,mcsnvozfcu
-0.3445,-0.1995,103,-0.387,-912,CAt,DoG
496,0.342,0.492,278,DoG,0.038,-0.0295
cAT,0.2415,-604,pmlobnrcpt,-590,syxdrbagws,odfoomggov
-0.483,-0.0565,-0.231,763,vibncwxoew,DOG,moahaylmrs
-0.111,202,DOG,DoG,-295,dog,bbbtgsvguu
-981,-45,815,CAt,0.1655,251,cat
-592,-331,zasavmnkqv,DOG,-423,hymcxcjhzo,666
eurherznwb,-0.038,CaT,caT,0.014,-763,CAt
-486,0.085,dog,-900,brcudfpelz,-19,caT
-0.3405,785,759,DOg,kkjewpdqcy,667,uvhfpejulw
CAT,Cat,919,-0.0325,dOg,-204,0.048
cAT,cat,dOG,0.068,146,-102,gcykhuhfto
0.37,-403,-292,430,vucacaudrg,Cat,cAt
-0.16,0.2615,arfvuqbdoo,-0.496,851,ltbulajniq,xntkknswim
96,nkaimwyyza,ttibcrcsbj,Dog,fqypwbwrqm,hrybyjfzvf,-704
cAt,-0.482,248,480,rgnmnsnpxo,-0.3555,dOg
0.3995,0.2555,ipyrnuclzn,dOG,-0.2525,-374,erwifaqhzv
-0.06,fjaoblzlqz,klmcggvhrq,ppbuzztnxs,-121,-419,CaT
805,-968,bgyibpmbjl,-0.0995,0.3545,DoG,0.385
0.4835,-847,chmduedafb,0.468,615,-0.448,0.1
