pet,jlhgyewaht,usbdomtsqs,oxmpmgxuir,hgypxtcemv,ilgqdsujrn,yuzddpsbfi
dog,165,545,-458,231,cat,-280
cyehvjimlv,-0.184,lzwoiievxv,cqnrwvtclk,rswbkebuwz,-0.2375,cAt
cat,Cat,yjrlyhntfu,-0.2575,0.056,776,0.2065
Cat,335,sqvnwwzbba,mpbufkxezp,vfdwlqvznk,0.0325,0.0375
dOg,-684,-203,0.3235,Dog,223,881
0.4495,-0.1935,CAt,818,yfoyhxbocx,DoG,doG
DOg,iepamnacdq,caT,-455,-784,0.2875,cAT
uisqxpzsdu,171,0.416,Cat,116,qkzfxgsoxn,143
cat,0.322,ftlivuotfl,0.443,puhfubcahz,-315,-0.2595
doG,-608,Cat,psofggxtls,poaxwsytwe,-433,dog
mnvmzyuppe,cat,mcwqwejfor,-0.021,xcbefosrai,dog,724
Cat,hzxprpcscc,CaT,doG,-689,0.09,dOg
cat,874,pbxixmwluc,hqlltwrkxd,502,0.4895,0.0
Cat,Dog,-809,-0.095,-734,-150,0.0625
-0.1115,-0.2955,0.171,cAt,-0.035,349,0.219
cAt,930,xdwjytyall,dOg,-691,-577,-0.202
CAt,wcsjmidhbv,wuxvncqzpg,DoG,otqstqwkgo,dOg,-693
CAt,400,zehijqdeyd,caT,octmucospg,-0.2575,dOG
-0.1685,636,evnppjyufa,22,-0.1575,wshncjonsd,-553
-0.3,-0.199,292,pcrdpaczoe,509,-893,gbwxizfzhb
ltvanpfbzx,581,0.4315,rptrldohbt,674,wfnvuueoza,-874
DOg,dOG,-0.0835,CAt,-37,0.399,doG
-870,92,DOG,517,0.2795,-0.4375,-856
cat,fpcfujfdmo,-0.1535,-889,cAT,0.07,-0.1205
CaT,0.139,0.3775,Dog,zitkomsnpw,0.447,Cat
cAt,gnyxhkgejw,-63,0.4665,dog,hfrjdwltch,-0.1985
116,0.432,-377,CAT,-0.2945,DOG,-75
DoG,453,kgquctsemj,-142,0.133,-947,0.38
-0.109,kxtmmzhrol,-0.499,jxmishkldi,18,43,126
CAT,-0.4165,wthjlekymo,-0.18,friuemitii,-0.426,doG
doG,DOG,DOg,630,-0.3775,ukusfelggf,Cat
-879,0.097,doG,qfcocfhnlp,CAt,975,caT
CAt,0.3105,zxtaokqwnk,381,-378,841,cAT
CAt,plvmhmrsyd,-468,0.0085,-739,-337,Dog
kwympoikta,wlfbxetcxg,197,0.2245,wnfjyebvnp,-0.265,-0.366
CaT,dqnvlumppl,0.095,Cat,qehmhdpbsg,cmmwtrgffy,sovmqgsajr
0.2785,-0.1015,-0.016,dufbxtbggf,-0.4535,DOg,281
cat,-784,DOG,796,0.077,CaT,llpfyiqnni
fozptptsid,-245,yuyijgayms,-0.2075,cAt,Cat,160
CAt,doG,-450,atkdtkhsmy,izalxdfdru,CAt,wccdouobsi
