tkajyxoigb,fcyrfryaes,PEt,wkmemsfdnf
-512,0.191,DOG,oyapcnqlny
lgkorhqbfs,wkfjtppifw,DOG,Dog
cAt,0.0565,qhxurvbqcb,embjakezgi
-0.2225,0.14,cat,738
orklezozkf,CAt,caT,notjrjaezp
-561,-0.2185,caT,0.2195
-472,-849,CAt,tzmlzofbqe
-288,rdplosbeil,DOG,0.442
dangzteusq,-0.042,DOG,fuhgscmghg
DoG,-761,cAT,wiqxvmyczd
730,bqqznyoupx,cAt,-0.3175
oxqfpgxvbj,0.456,dog,yididbvgvi
esotlkmyne,883,DoG,-363
-913,dOg,cat,njgcvfxixh
lezukdxcnb,-981,lrrsngupdh,Cat
DoG,CaT,CAT,mqpnibsqta
CaT,nlazjvmpqj,0.305,-304
usiksrfile,487,DoG,538
-185,0.4145,-344,707
433,-265,dOG,938
swpnfjhgdl,nufrnxqckk,813,qflfvzxuyw
-474,0.1405,DoG,0.125
404,DoG,CaT,735
uudqnhoypq,330,caT,0.3525
ivydapurzz,vwunyqttas,DOG,-481
qompvezuns,dog,dOG,CAt
wsbrjbuofa,dqeerrfgbu,cat,909
dembdsirzt,-0.0105,cat,-0.4815
0.139,-0.174,-0.364,0.13
-505,90,-632,hfxlzlcncg
-0.2575,usslpdvofz,794,-89
casdrbdsfc,-0.2025,cat,-828
911,zuyqxgiqay,cAT,0.4315
rdqlfpyojm,-537,-0.259,376
-873,0.059,DoG,0.2405
-0.2185,-0.34,456,0.354
vunaiyvkon,yjhrbrrttw,caT,-134
mywytsmhom,58,dog,-0.327
dog,htusfqtaam,DOG,Cat
-647,631,cAt,119
-0.198,dOg,dOG,wvdmtunhfe
mjdcbetsjq,DoG,0.3045,udptixibey
-355,-0.001,CaT,327
878,DOg,qrskbisaso,-629
gofnvkmdwc,-0.116,cAT,wzrssnxkiz
672,dOg,doG,0.24
bvatxcprhn,0.083,cat,734
bnwikrstaq,0.181,dog,dOg
-85,-0.419,CAT,0.1695
ckmytmxphi,-0.3685,CaT,-767
dog,ckrrwdjrts,cat,hrqomdmydy
mrswcjymca,-315,DOg,zcculdduav
afdyyjtilh,-339,-0.187,-0.183
-191,-0.1055,964,cAt
wpeekpjiko,0.2545,-244,160
sjwmrkelwd,0.3835,caT,-964
0.1805,-662,DOg,ncbgpvvxzc
178,bbdfqesiau,-914,-720
ewmrjxtfdx,-0.2835,doG,264
dOG,-0.4915,0.441,118
0.175,181,-958,gkhtqamytk
917,CAt,-86,-0.274
qgwllpvdza,zlgctrlqqy,Cat,ywupkbmdyc
pjiarmbeqa,pcmtirqlmq,592,0.095
-0.223,0.2755,DOg,CAt
bihditquyn,qozwjkxyqf,caT,mxeiqolzsq
wiogmuoqav,496,CAT,-0.0625
-796,hwsojkofke,doG,aofvoqcuiy
827,0.495,dog,trxwfuubsc
-611,vxlfyyohom,0.2965,-0.3475
-110,-0.047,CAt,0.1945
-67,-0.1865,Dog,coywmrmmun
DoG,-0.04,-0.1275,jueqlqumcz
oogeptxqpf,574,386,vpgavcjbhf
dOg,-0.2535,olkrrumicf,-0.1
riygbohgvs,dog,CaT,caT
-0.119,juqjhioidf,caT,501
-0.0085,wrpbckaqzg,bqtxaluywj,DoG
jzeznxvgji,cAT,snsayhrsuw,qazmsvarin
-0.0605,nanllqwchk,Dog,-0.3085
DoG,nrcpwoaqbn,cat,328
864,-0.3755,CAT,0.369
doG,-0.352,DOg,-931
wmehqwvrum,17,dOg,DoG
0.285,DoG,CAt,-853
awxaiyxvfd,CAT,CAt,Dog
403,303,CAT,-0.3955
-0.469,0.193,dOg,-0.3505
